customer_id,total_spent,transaction_count,first_purchase,last_purchase
CUST10172,488.98,7,2023-03-04,2023-10-27
CUST10173,622.88,7,2023-02-15,2023-08-11
CUST10174,1388.27,19,2023-02-08,2023-11-23
CUST10175,874.84,11,2023-02-06,2023-09-27
CUST10176,318.74,6,2023-03-27,2023-05-17
CUST10177,1085.8,15,2023-01-20,2023-12-21
CUST10178,474.93,8,2023-01-01,2023-12-21
CUST10179,1345.87,8,2023-03-25,2023-12-23
CUST10180,1047.22,8,2023-01-13,2023-08-23
CUST10181,722.35,8,2023-01-25,2023-10-09
CUST10182,281.82,6,2023-02-09,2023-12-27
CUST10183,1235.81,11,2023-02-18,2023-12-31
CUST10184,1009.23,13,2023-01-15,2023-12-17
CUST10185,418.06,10,2023-01-03,2023-07-15
CUST10186,231.31,6,2023-01-05,2023-12-04
CUST10187,1164.49,18,2023-02-09,2023-12-13
CUST10188,1610.55,14,2023-02-27,2023-12-28
CUST10189,1293.81,11,2023-02-23,2023-12-23
CUST10190,1176.79,14,2023-01-22,2023-12-20
CUST10191,821.66,7,2023-01-01,2023-12-14
CUST10192,1127.63,14,2023-01-08,2023-11-23
CUST10193,1000.11,12,2023-01-22,2023-11-29
CUST10194,615.52,10,2023-06-05,2023-11-24
CUST10195,734.24,8,2023-01-01,2023-10-12
CUST10196,796.42,14,2023-02-28,2023-12-14
CUST10197,916.37,10,2023-01-03,2023-12-23
CUST10198,862.18,11,2023-01-02,2023-12-08
CUST10199,315.92,7,2023-01-26,2023-08-22
CUST10200,1416.66,16,2023-01-20,2023-12-24
CUST10201,551.08,9,2023-01-17,2023-11-13
CUST10202,1696.53,8,2023-02-05,2023-11-28
CUST10203,485.23,9,2023-01-14,2023-12-29
CUST10204,803.89,10,2023-01-11,2024-01-01
CUST10205,347.91,6,2023-04-15,2023-12-23
CUST10206,520.3,9,2023-01-03,2023-11-08
CUST10207,753.81,8,2023-01-16,2023-12-03
CUST10208,1238.3,17,2023-01-13,2023-12-09
CUST10209,1097.02,12,2023-01-06,2023-10-24
CUST10210,960.01,12,2023-01-31,2023-12-22
CUST10211,700.86,12,2023-01-08,2023-12-29
CUST10212,1151.9,9,2023-04-07,2023-12-26
CUST10213,534.82,5,2023-02-10,2023-06-29
CUST10214,845.35,8,2023-01-18,2023-11-26
CUST10215,1151.52,16,2023-01-25,2023-12-14
CUST10216,772.4,12,2023-02-20,2023-11-29
CUST10217,666.22,9,2023-01-22,2023-11-25
CUST10218,666.37,4,2023-03-12,2023-07-19
CUST10219,1564.13,16,2023-03-25,2023-12-30
CUST10220,777.73,9,2023-01-20,2023-09-27
CUST10221,684.58,11,2023-01-04,2023-11-24
CUST10222,399.9,8,2023-03-13,2023-12-28
CUST10223,1576.48,15,2023-01-13,2023-11-24
CUST10224,327.23,7,2023-05-17,2023-12-05
CUST10225,1768.66,15,2023-01-13,2023-12-26
CUST10226,1309.11,12,2023-01-02,2023-11-15
CUST10227,575.81,9,2023-01-26,2023-12-19
CUST10228,456.96,8,2023-02-09,2023-12-17
CUST10229,583.06,11,2023-01-28,2023-12-21
CUST10230,615.08,11,2023-01-26,2023-12-27
CUST10231,645.19,10,2023-05-20,2023-12-10
CUST10232,431.92,5,2023-04-24,2024-01-01
CUST10233,314.21,7,2023-02-18,2023-11-18
CUST10234,370.48,9,2023-01-19,2023-12-05
CUST10235,576.59,9,2023-02-04,2023-11-02
CUST10236,383.82,9,2023-01-08,2023-11-06
CUST10237,816.4,8,2023-01-16,2023-12-16
CUST10238,864.6,10,2023-01-26,2023-12-12
CUST10239,1221.99,16,2023-01-19,2023-11-11
CUST10240,894.51,16,2023-01-17,2023-12-18
CUST10241,1417.92,9,2023-01-18,2023-12-23
CUST10242,679.49,12,2023-01-04,2023-12-22
CUST10243,370.19,6,2023-02-11,2023-10-15
CUST10244,908.78,13,2023-01-06,2023-12-15
CUST10245,794.4,16,2023-01-30,2023-12-03
CUST10246,390.3,6,2023-01-28,2023-11-24
CUST10247,757.92,11,2023-02-17,2023-11-16
CUST10248,947.13,12,2023-01-16,2023-11-30
CUST10249,1102.86,12,2023-01-23,2023-12-21
CUST10250,1733.48,16,2023-01-18,2023-12-23
CUST10251,934.38,6,2023-05-01,2023-12-02
CUST10252,748.91,10,2023-01-08,2023-12-26
CUST10253,1185.1,10,2023-01-14,2023-12-06
CUST10254,1158.11,12,2023-01-19,2024-01-01
CUST10255,990.25,8,2023-01-18,2023-10-06
CUST10256,766.63,11,2023-02-25,2023-12-31
CUST10257,812.26,15,2023-01-16,2023-12-24
CUST10258,355.02,7,2023-01-25,2023-11-05
CUST10259,655.48,9,2023-02-01,2023-12-15
CUST10260,445.79,5,2023-01-18,2023-10-03
CUST10261,951.52,12,2023-02-24,2023-12-14
CUST10262,981.38,14,2023-02-16,2023-12-17
CUST10263,266.07,5,2023-03-11,2023-11-17
CUST10264,676.63,9,2023-02-08,2023-10-30
CUST10265,508.31,11,2023-01-03,2023-12-25
CUST10266,1485.99,13,2023-01-29,2023-12-05
CUST10267,378.44,10,2023-02-10,2023-12-02
CUST10268,789.51,9,2023-03-23,2024-01-01
CUST10269,356.98,7,2023-01-31,2023-12-07
CUST10270,970.03,14,2023-02-25,2023-12-23
CUST10271,1334.05,14,2023-01-23,2023-12-22
CUST10272,1071.2,10,2023-03-14,2023-12-31
CUST10273,619.71,12,2023-01-09,2023-11-15
CUST10274,1159.02,12,2023-03-12,2023-12-26
CUST10275,851.96,11,2023-02-21,2023-11-14
CUST10276,274.82,6,2023-01-15,2023-12-15
CUST10277,778.4,10,2023-01-05,2023-12-30
CUST10278,507.58,10,2023-01-23,2023-09-19
CUST10279,374.43,7,2023-01-24,2024-01-01
CUST10280,483.35,8,2023-01-22,2023-11-05
CUST10281,1043.69,6,2023-01-26,2023-12-09
CUST10282,774.84,9,2023-03-15,2023-12-16
CUST10283,733.91,12,2023-01-07,2023-12-11
CUST10284,412.92,7,2023-03-15,2023-11-30
CUST10285,657.25,7,2023-02-04,2023-10-18
CUST10286,943.78,12,2023-02-26,2023-10-14
CUST10287,633.42,8,2023-01-08,2023-12-08
CUST10288,941.03,13,2023-01-06,2023-11-26
CUST10289,584.28,7,2023-02-23,2023-12-25
CUST10290,499.73,8,2023-02-06,2023-09-26
CUST10291,203.97,3,2023-01-11,2023-04-18
CUST10292,1021.61,13,2023-01-05,2023-12-24
CUST10293,315.21,7,2023-01-25,2023-12-10
CUST10294,775.27,7,2023-01-29,2023-11-20
CUST10295,1308.26,16,2023-01-07,2023-11-16
CUST10296,495.21,8,2023-01-07,2023-10-11
CUST10297,708.5,12,2023-01-14,2023-11-26
CUST10298,988.93,9,2023-02-03,2023-12-19
CUST10299,420.38,7,2023-02-23,2023-11-27
CUST10300,968.24,9,2023-04-01,2023-09-20
CUST10301,831.58,8,2023-02-21,2023-10-28
CUST10302,642.37,11,2023-01-04,2023-12-28
CUST10303,293.14,10,2023-01-08,2023-12-05
CUST10304,1635.95,13,2023-02-03,2023-12-22
CUST10305,1156.3,11,2023-01-02,2023-08-31
CUST10306,528.91,11,2023-02-02,2023-12-22
CUST10307,923.62,11,2023-01-26,2023-12-17
CUST10308,950.79,10,2023-02-18,2023-10-27
CUST10309,618.37,8,2023-02-22,2023-12-17
CUST10310,415.62,7,2023-03-30,2023-12-27
CUST10311,356.34,10,2023-02-06,2023-12-20
CUST10312,613.28,10,2023-02-10,2023-12-12
CUST10313,240.58,5,2023-03-02,2023-11-25
CUST10314,608.85,6,2023-05-11,2023-12-26
CUST10315,252.21,5,2023-03-21,2023-12-18
CUST10316,858.68,8,2023-02-05,2023-12-02
CUST10317,666.49,8,2023-01-12,2023-12-28
CUST10318,854.61,7,2023-02-03,2023-09-21
CUST10319,643.85,13,2023-02-28,2023-12-31
CUST10320,252.89,5,2023-04-12,2023-12-20
CUST10321,805.34,7,2023-02-06,2023-12-31
CUST10322,1161.12,19,2023-02-12,2023-12-30
CUST10323,515.01,10,2023-03-02,2023-12-04
CUST10324,1007.12,8,2023-01-07,2023-10-12
CUST10325,727.24,9,2023-01-07,2023-12-14
CUST10326,723.43,9,2023-02-05,2023-12-19
CUST10327,308.89,7,2023-01-26,2023-10-27
CUST10328,928.93,13,2023-01-21,2023-12-11
CUST10329,63.5,2,2023-05-24,2023-09-17
CUST10330,1364.89,12,2023-02-25,2023-12-25
CUST10331,281.78,9,2023-01-20,2023-12-05
CUST10332,816.67,11,2023-02-09,2023-12-31
CUST10333,456.3,6,2023-01-07,2023-11-09
CUST10334,558.13,9,2023-01-18,2023-09-10
CUST10335,683.96,14,2023-04-08,2023-11-14
CUST10336,622.37,12,2023-01-19,2023-10-21
CUST10337,713.17,8,2023-03-29,2023-12-25
CUST10338,265.27,6,2023-01-06,2023-12-13
CUST10339,895.91,11,2023-01-06,2023-12-31
CUST10340,904.92,12,2023-02-17,2023-12-30
CUST10341,951.84,15,2023-04-18,2023-12-27
CUST10342,996.45,13,2023-01-11,2023-12-21
CUST10343,810.95,12,2023-01-24,2023-12-26
CUST10344,893.56,13,2023-02-22,2023-11-23
CUST10345,271.14,6,2023-02-28,2023-11-25
CUST10346,1454.44,10,2023-04-05,2023-12-13
CUST10347,709.22,10,2023-01-02,2023-09-27
CUST10348,1832.42,14,2023-01-12,2023-12-23
CUST10349,431.16,10,2023-01-08,2023-12-07
CUST10350,818.33,9,2023-03-02,2023-12-10
CUST10351,933.11,14,2023-01-28,2023-11-20
CUST10352,628.14,8,2023-01-08,2023-12-15
CUST10353,1512.8,12,2023-01-08,2023-12-29
CUST10354,1021.83,9,2023-01-10,2023-12-21
CUST10355,1008.79,9,2023-02-01,2023-11-25
CUST10356,1165.17,11,2023-02-02,2023-12-25
CUST10357,521.27,8,2023-02-21,2023-11-14
CUST10358,1035.46,12,2023-01-19,2023-08-26
CUST10359,897.7,11,2023-01-04,2023-11-30
CUST10360,545.91,11,2023-01-08,2023-11-27
CUST10361,987.72,11,2023-01-22,2023-12-19
CUST10362,1238.54,12,2023-02-08,2023-12-11
CUST10363,494.69,5,2023-05-24,2023-12-12
CUST10364,1682.92,14,2023-02-06,2023-11-29
CUST10365,198.71,4,2023-05-27,2023-11-02
CUST10366,660.79,11,2023-02-08,2023-12-26
CUST10367,943.55,12,2023-01-01,2023-12-29
CUST10368,645.93,10,2023-03-06,2023-12-20
CUST10369,1168.8,14,2023-01-05,2023-12-23
CUST10370,750.88,10,2023-01-30,2023-12-24
CUST10371,914.2,11,2023-01-01,2023-10-20
CUST10372,1463.35,12,2023-01-05,2023-12-17
CUST10373,1980.09,15,2023-02-12,2023-12-12
CUST10374,639.92,9,2023-01-16,2023-12-26
CUST10375,465.28,7,2023-01-15,2023-09-29
CUST10376,669.04,11,2023-01-21,2023-12-05
CUST10377,787.83,6,2023-01-04,2023-12-17
CUST10378,1348.7,12,2023-01-07,2023-10-01
CUST10379,766.0,9,2023-03-26,2023-10-03
CUST10380,1287.29,14,2023-01-11,2023-12-10
CUST10381,245.51,6,2023-01-23,2024-01-01
CUST10382,641.57,12,2023-01-27,2023-11-19
CUST10383,1080.63,8,2023-01-29,2023-12-25
CUST10384,1384.59,15,2023-01-05,2023-12-20
CUST10385,776.22,13,2023-01-13,2023-12-24
CUST10386,1191.25,15,2023-01-03,2023-11-04
CUST10387,492.04,11,2023-01-02,2023-10-29
CUST10388,1057.71,12,2023-01-01,2023-12-03
CUST10389,412.43,7,2023-01-10,2023-11-18
CUST10390,591.61,6,2023-01-04,2023-12-17
CUST10391,1499.98,16,2023-01-03,2023-12-31
CUST10392,798.35,8,2023-02-01,2023-10-09
CUST10393,1215.6,13,2023-01-11,2023-12-24
CUST10394,797.27,9,2023-01-12,2024-01-01
CUST10395,400.27,8,2023-01-26,2023-11-11
CUST10396,265.5,6,2023-01-20,2023-10-18
CUST10397,903.69,9,2023-01-12,2023-12-30
CUST10398,552.75,7,2023-02-04,2023-11-13
CUST10399,667.75,12,2023-01-06,2023-09-22
CUST10400,361.52,7,2023-02-07,2023-11-07
CUST10401,1076.57,12,2023-01-31,2023-12-31
CUST10402,789.63,13,2023-02-11,2023-11-01
CUST10403,1214.16,14,2023-01-20,2023-12-03
CUST10404,760.8,10,2023-04-08,2024-01-01
CUST10405,398.86,8,2023-01-22,2023-10-31
CUST10406,1436.17,10,2023-02-09,2023-12-11
CUST10407,485.33,9,2023-02-12,2023-12-18
CUST10408,1333.96,11,2023-01-02,2023-12-21
CUST10409,889.07,14,2023-02-02,2023-12-24
CUST10410,636.12,10,2023-03-01,2023-12-20
CUST10411,919.39,7,2023-01-01,2023-12-18
CUST10412,605.16,12,2023-01-08,2023-11-29
CUST10413,1076.07,10,2023-03-13,2023-11-11
CUST10414,524.48,9,2023-02-14,2023-12-05
CUST10415,653.64,9,2023-03-19,2023-12-21
CUST10416,605.78,9,2023-03-28,2023-12-11
CUST10417,1533.08,14,2023-01-21,2023-12-09
CUST10418,623.53,7,2023-02-12,2023-10-22
CUST10419,492.42,9,2023-01-18,2023-10-18
CUST10420,779.87,12,2023-02-04,2023-12-30
CUST10421,623.01,10,2023-02-05,2023-12-07
CUST10422,1235.45,11,2023-01-08,2023-12-13
CUST10423,760.99,8,2023-06-01,2023-08-14
CUST10424,1136.33,16,2023-01-24,2023-11-26
CUST10425,496.13,6,2023-01-31,2023-07-13
CUST10426,472.78,10,2023-01-07,2023-12-17
CUST10427,895.03,12,2023-01-31,2023-12-23
CUST10428,542.38,9,2023-01-22,2023-11-11
CUST10429,949.02,11,2023-02-02,2023-12-01
CUST10430,468.47,6,2023-01-27,2023-11-10
CUST10431,1111.91,11,2023-01-18,2023-08-01
CUST10432,721.14,8,2023-04-04,2023-12-11
CUST10433,886.66,11,2023-03-05,2023-10-31
CUST10434,797.44,16,2023-01-05,2023-12-23
CUST10435,378.82,7,2023-02-16,2023-11-21
CUST10436,991.81,10,2023-01-16,2023-12-25
CUST10437,724.7,10,2023-01-03,2023-12-21
CUST10438,1221.02,14,2023-01-30,2023-12-14
CUST10439,1220.18,15,2023-01-07,2023-12-24
CUST10440,921.22,13,2023-02-28,2023-12-26
CUST10441,321.22,7,2023-01-16,2023-12-09
CUST10442,230.77,5,2023-02-15,2023-06-15
CUST10443,674.1,13,2023-02-21,2023-11-26
CUST10444,363.7,8,2023-04-02,2023-12-19
CUST10445,954.31,11,2023-03-14,2023-11-06
CUST10446,533.98,9,2023-01-15,2023-11-01
CUST10447,638.01,12,2023-03-08,2023-11-06
CUST10448,976.31,12,2023-01-09,2023-11-06
CUST10449,852.12,15,2023-01-03,2023-12-15
CUST10450,571.66,6,2023-05-17,2023-12-26
CUST10451,631.54,12,2023-03-22,2023-12-27
CUST10452,660.9,5,2023-03-12,2023-08-08
CUST10453,861.38,11,2023-01-02,2023-11-26
CUST10454,1377.22,12,2023-01-07,2023-12-25
CUST10455,1253.84,11,2023-01-16,2023-12-17
CUST10456,1009.89,10,2023-05-02,2023-12-12
CUST10457,769.32,13,2023-01-23,2023-12-10
CUST10458,1171.37,12,2023-04-30,2023-12-23
CUST10459,450.29,8,2023-01-15,2023-12-13
CUST10460,682.23,6,2023-01-17,2023-07-06
CUST10461,499.17,7,2023-01-20,2023-12-17
CUST10462,1158.34,13,2023-01-04,2023-11-27
CUST10463,650.21,9,2023-02-26,2023-11-30
CUST10464,803.53,12,2023-01-23,2023-12-26
CUST10465,623.94,10,2023-02-27,2023-11-07
CUST10466,599.08,6,2023-02-05,2023-07-27
CUST10467,485.89,8,2023-01-05,2023-11-15
CUST10468,816.08,11,2023-01-15,2023-10-23
CUST10469,745.19,10,2023-03-09,2023-12-26
CUST10470,566.94,9,2023-01-07,2023-08-24
CUST10471,717.09,11,2023-01-24,2023-11-29
CUST10472,306.79,4,2023-01-01,2023-12-20
CUST10473,991.71,7,2023-01-21,2024-01-01
CUST10474,932.08,12,2023-01-01,2023-12-09
CUST10475,841.38,6,2023-01-23,2023-09-04
CUST10476,1126.63,11,2023-01-18,2023-08-18
CUST10477,402.87,7,2023-04-12,2024-01-01
CUST10478,467.49,10,2023-01-14,2023-12-18
CUST10479,1039.74,10,2023-01-04,2023-12-15
CUST10480,1012.28,12,2023-01-21,2023-11-21
CUST10481,343.93,10,2023-01-09,2023-08-24
CUST10482,720.88,11,2023-02-10,2023-12-22
CUST10483,747.61,9,2023-05-19,2023-12-22
CUST10484,677.72,9,2023-02-18,2023-12-25
CUST10485,1116.9,17,2023-01-21,2023-12-31
CUST10486,709.5,11,2023-01-06,2023-12-18
CUST10487,723.46,11,2023-04-12,2023-12-04
CUST10488,480.81,10,2023-01-01,2023-11-28
CUST10489,583.46,7,2023-01-09,2023-12-30
CUST10490,1230.87,13,2023-03-21,2023-12-21
CUST10491,616.86,9,2023-01-07,2023-09-09
CUST10492,499.64,8,2023-03-03,2023-10-22
CUST10493,570.14,7,2023-02-02,2023-12-15
CUST10494,890.33,10,2023-02-04,2023-12-10
CUST10495,1433.08,12,2023-01-04,2023-12-11
CUST10496,806.08,9,2023-01-11,2023-11-24
CUST10497,590.62,8,2023-01-20,2023-12-29
CUST10498,1217.5,16,2023-01-04,2023-12-02
CUST10499,729.17,8,2023-03-21,2023-11-15
CUST10500,851.47,10,2023-02-07,2023-12-04
CUST10501,952.81,18,2023-01-06,2023-11-27
CUST10502,720.5,8,2023-01-31,2023-08-22
CUST10503,718.59,14,2023-01-01,2023-12-21
CUST10504,866.42,10,2023-01-27,2023-12-13
CUST10505,1231.93,13,2023-01-09,2023-11-18
CUST10506,938.39,10,2023-01-07,2023-09-28
CUST10507,354.93,6,2023-04-15,2023-10-31
CUST10508,969.74,11,2023-01-02,2023-12-11
CUST10509,607.7,5,2023-05-02,2023-12-23
CUST10510,340.19,4,2023-05-22,2023-11-15
CUST10511,555.04,9,2023-02-22,2023-12-18
CUST10512,496.19,11,2023-05-06,2023-11-23
CUST10513,332.46,5,2023-07-15,2023-10-20
CUST10514,624.93,10,2023-02-26,2023-11-27
CUST10515,1359.42,12,2023-03-07,2023-12-15
CUST10516,450.8,9,2023-02-10,2023-12-07
CUST10517,444.21,12,2023-01-09,2023-10-15
CUST10518,828.32,12,2023-01-20,2023-12-11
CUST10519,453.84,9,2023-05-23,2023-12-26
CUST10520,1358.77,13,2023-02-03,2023-12-19
CUST10521,663.26,10,2023-02-17,2023-12-13
CUST10522,571.32,9,2023-01-05,2023-12-15
CUST10523,1130.38,10,2023-02-22,2023-12-24
CUST10524,417.51,11,2023-01-05,2023-12-07
CUST10525,644.2,8,2023-01-13,2023-11-21
CUST10526,1574.06,14,2023-01-11,2023-11-18
CUST10527,1083.63,12,2023-02-15,2023-12-11
CUST10528,1457.87,9,2023-01-14,2023-12-14
CUST10529,1898.33,12,2023-01-23,2023-11-04
CUST10530,798.55,12,2023-01-09,2023-11-01
