sector,date,avg_price,price_std,min_price,max_price,total_volume,volatility
Consumer,2023-02-04,97.81,99.66,11.06,210.67,18384900,0.04
Consumer,2023-02-05,95.89,96.9,11.28,206.22,22751828,0.02
Consumer,2023-02-06,94.45,94.81,11.08,199.17,17017193,0.02
Consumer,2023-02-07,94.29,95.14,11.02,199.95,20813183,0.01
Consumer,2023-02-08,94.55,95.69,11.04,201.34,18766612,0.02
Consumer,2023-02-09,93.74,94.68,11.18,199.11,13217761,0.01
Consumer,2023-02-10,93.84,94.84,11.22,197.56,12122780,0.01
Consumer,2023-02-11,93.37,94.47,11.47,196.33,18134703,0.02
Consumer,2023-02-12,92.79,94.53,11.53,195.56,12966680,0.03
Consumer,2023-02-13,93.3,95.16,11.73,196.85,8279524,0.01
Consumer,2023-02-14,93.67,94.69,11.78,196.5,12982956,0.02
Consumer,2023-02-15,93.21,94.41,11.93,198.17,16909091,0.02
Consumer,2023-02-16,93.68,94.95,11.98,198.95,24970132,0.01
Consumer,2023-02-17,93.61,94.92,12.18,201.01,27659032,0.01
Consumer,2023-02-18,93.8,94.83,12.0,201.14,37661877,0.02
Consumer,2023-02-19,93.49,94.5,11.7,200.8,26991975,0.01
Consumer,2023-02-20,94.44,96.51,11.34,204.34,12626933,0.02
Consumer,2023-02-21,95.32,97.25,11.22,205.53,13380494,0.01
Consumer,2023-02-22,95.61,97.62,11.5,206.8,13302149,0.02
Consumer,2023-02-23,95.08,97.22,11.85,205.86,14315746,0.02
Consumer,2023-02-24,94.87,96.86,11.74,202.56,10900848,0.02
Consumer,2023-02-25,94.1,95.97,11.78,198.7,9001007,0.01
Consumer,2023-02-26,93.63,95.99,11.11,199.98,6483983,0.03
Consumer,2023-02-27,92.82,94.96,11.27,200.52,9252072,0.01
Consumer,2023-02-28,92.56,94.85,11.48,202.29,7596115,0.01
Consumer,2023-03-01,92.41,94.98,11.31,199.8,6976907,0.01
Consumer,2023-03-02,91.75,93.47,11.06,199.82,9582808,0.03
Consumer,2023-03-03,91.44,93.01,11.31,200.01,7706416,0.01
Consumer,2023-03-04,90.85,92.94,11.47,198.32,6026178,0.02
Consumer,2023-03-05,91.13,94.23,11.3,199.45,7323892,0.02
Consumer,2023-03-06,90.98,93.47,11.52,200.58,6807512,0.02
Consumer,2023-03-07,92.22,94.82,12.13,205.85,5131202,0.02
Consumer,2023-03-08,92.72,95.99,12.07,206.67,5445538,0.03
Consumer,2023-03-09,93.4,96.85,12.03,209.08,7181380,0.01
Consumer,2023-03-10,94.89,98.49,11.78,216.12,5990384,0.03
Consumer,2023-03-11,95.45,98.94,11.99,220.1,6197254,0.01
Consumer,2023-03-12,95.02,98.22,11.75,217.61,6121418,0.01
Consumer,2023-03-13,94.56,97.31,11.67,215.3,6018234,0.02
Consumer,2023-03-14,94.99,97.49,11.28,215.69,6490334,0.03
Consumer,2023-03-15,95.91,98.09,11.64,219.71,5238642,0.02
Consumer,2023-03-16,95.09,97.92,12.02,220.0,4499609,0.04
Consumer,2023-03-17,95.5,99.03,11.57,221.81,3033534,0.02
Consumer,2023-03-18,95.35,98.3,11.19,220.6,2167665,0.02
Consumer,2023-03-19,95.9,98.72,11.17,221.81,2815557,0.01
Consumer,2023-03-20,94.75,97.27,11.42,218.3,2706390,0.02
Consumer,2023-03-21,96.08,98.46,11.53,221.79,2678190,0.01
Consumer,2023-03-22,95.76,98.24,11.57,222.78,2961013,0.01
Consumer,2023-03-23,96.83,100.07,11.27,227.71,2663889,0.02
Consumer,2023-03-24,96.07,99.2,11.03,223.59,2325053,0.01
Consumer,2023-03-25,96.17,98.85,10.69,223.94,2380838,0.04
Consumer,2023-03-26,97.07,99.59,10.77,224.27,2996591,0.02
Consumer,2023-03-27,97.11,100.27,10.64,224.5,3469009,0.01
Consumer,2023-03-28,97.23,99.54,10.6,224.36,3069695,0.02
Consumer,2023-03-29,97.74,99.55,10.81,224.07,3394423,0.01
Consumer,2023-03-30,98.1,99.71,11.11,225.86,3363746,0.02
Consumer,2023-03-31,97.12,97.58,10.88,222.37,2520122,0.03
Consumer,2023-04-01,98.39,99.05,10.94,226.41,2305357,0.01
Consumer,2023-04-02,98.79,99.37,11.42,228.39,1887479,0.02
Consumer,2023-04-03,98.27,99.27,11.52,227.09,1848365,0.02
Consumer,2023-04-04,97.7,98.58,11.66,226.95,1902408,0.02
Consumer,2023-04-05,98.43,99.36,11.45,229.12,1288354,0.01
Consumer,2023-04-06,99.68,100.32,11.38,231.57,1079835,0.01
Consumer,2023-04-07,100.63,101.08,11.38,232.54,1374671,0.01
Consumer,2023-04-08,102.02,102.46,11.47,236.1,1164207,0.01
Consumer,2023-04-09,101.17,100.89,11.21,232.85,1152259,0.02
Consumer,2023-04-10,100.79,100.74,11.24,231.34,926358,0.02
Consumer,2023-04-11,101.21,101.11,11.29,232.83,900332,0.0
Consumer,2023-04-12,101.87,101.71,10.95,233.6,1167269,0.02
Consumer,2023-04-13,102.43,103.18,11.17,237.64,1182104,0.02
Consumer,2023-04-14,102.4,102.66,11.25,235.71,1513267,0.02
Consumer,2023-04-15,104.72,105.0,11.16,240.09,1420310,0.02
Consumer,2023-04-16,103.69,103.42,11.08,238.22,1552580,0.01
Consumer,2023-04-17,105.4,105.29,11.08,241.53,2003678,0.02
Consumer,2023-04-18,106.22,106.72,10.84,245.24,1834562,0.01
Consumer,2023-04-19,106.26,107.76,10.59,248.63,1918969,0.02
Consumer,2023-04-20,106.03,107.48,10.23,248.03,1985727,0.02
Consumer,2023-04-21,105.83,106.8,10.02,244.7,1951020,0.01
Consumer,2023-04-22,106.8,107.61,10.43,245.75,2115996,0.02
Consumer,2023-04-23,107.38,107.88,10.46,246.59,1669063,0.01
Consumer,2023-04-24,108.57,108.63,10.94,248.64,1380905,0.02
Consumer,2023-04-25,109.42,109.08,11.0,251.51,1457895,0.01
Consumer,2023-04-26,109.79,109.59,10.52,252.57,1084124,0.02
Consumer,2023-04-27,110.01,109.92,10.51,255.87,1081145,0.01
Consumer,2023-04-28,110.3,110.59,10.21,258.3,1132122,0.01
Consumer,2023-04-29,110.08,109.95,10.22,257.76,1403485,0.01
Consumer,2023-04-30,110.32,109.77,10.46,256.67,1620194,0.01
Consumer,2023-05-01,109.17,109.05,10.42,256.19,1775335,0.01
Consumer,2023-05-02,110.04,109.71,10.49,256.06,1831917,0.01
Consumer,2023-05-03,110.47,108.95,10.99,253.2,1595028,0.02
Consumer,2023-05-04,110.78,109.82,11.61,255.51,1909441,0.03
Consumer,2023-05-05,110.39,110.36,11.45,252.32,1619708,0.03
Consumer,2023-05-06,110.86,111.09,11.65,254.32,1282357,0.01
Consumer,2023-05-07,111.94,112.88,11.75,256.39,1509414,0.02
Consumer,2023-05-08,111.93,113.41,11.46,254.5,1446685,0.02
Consumer,2023-05-09,110.37,111.21,11.25,248.44,1641795,0.02
Consumer,2023-05-10,111.7,113.19,11.28,254.91,1583111,0.02
Consumer,2023-05-11,113.28,115.0,11.59,258.84,1443086,0.03
Consumer,2023-05-12,113.91,116.6,11.38,261.41,1506748,0.02
Consumer,2023-05-13,112.63,114.84,11.0,260.78,1620443,0.03
Consumer,2023-05-14,112.67,115.35,10.8,262.54,1341279,0.02
Consumer,2023-05-15,112.86,115.4,10.53,264.12,1207744,0.02
Consumer,2023-05-16,112.62,115.79,10.62,263.9,1281429,0.02
Consumer,2023-05-17,112.78,117.42,10.97,267.5,1196942,0.03
Consumer,2023-05-18,114.33,119.05,10.87,269.72,1451355,0.02
Consumer,2023-05-19,112.74,116.58,10.72,262.51,1240253,0.01
Consumer,2023-05-20,113.76,118.35,10.96,265.78,1403594,0.02
Consumer,2023-05-21,115.16,119.38,10.76,267.46,1743670,0.02
Consumer,2023-05-22,116.21,120.86,10.91,274.75,1862327,0.03
Consumer,2023-05-23,115.75,120.3,10.78,275.24,2126064,0.02
Consumer,2023-05-24,116.14,122.23,10.42,280.69,2179034,0.03
Consumer,2023-05-25,115.23,120.48,10.25,278.81,1844929,0.03
Consumer,2023-05-26,115.36,120.26,10.46,276.88,2524241,0.02
Consumer,2023-05-27,115.27,120.21,10.65,277.17,2871494,0.01
Consumer,2023-05-28,115.1,119.96,10.89,276.76,3213809,0.01
Consumer,2023-05-29,113.22,117.57,10.78,270.9,3883674,0.02
Consumer,2023-05-30,114.09,119.29,10.31,275.27,3699041,0.02
Consumer,2023-05-31,111.4,116.01,10.56,269.43,5421909,0.03
Consumer,2023-06-01,112.85,117.91,10.48,273.95,5779181,0.01
Consumer,2023-06-02,113.04,117.88,10.09,273.48,5901582,0.02
Consumer,2023-06-03,113.7,119.81,10.26,277.99,6597817,0.02
Consumer,2023-06-04,113.55,120.53,10.05,278.66,7579807,0.02
Consumer,2023-06-05,113.32,120.56,9.94,279.89,8271135,0.01
Consumer,2023-06-06,113.55,120.77,10.06,280.06,8528706,0.01
Consumer,2023-06-07,113.89,120.89,10.04,281.97,7633410,0.01
Consumer,2023-06-08,113.94,122.07,9.78,284.89,6677430,0.02
Consumer,2023-06-09,114.34,123.24,9.64,288.51,6663051,0.01
Consumer,2023-06-10,113.97,122.63,9.68,286.52,6970111,0.01
Consumer,2023-06-11,113.5,122.65,9.68,288.5,5458235,0.01
Consumer,2023-06-12,114.02,124.42,9.42,292.4,4446138,0.02
Consumer,2023-06-13,113.48,123.4,9.73,288.6,3285745,0.02
Consumer,2023-06-14,113.0,122.98,9.84,287.32,3548109,0.02
Consumer,2023-06-15,113.16,123.03,10.03,286.32,3241403,0.01
Consumer,2023-06-16,111.96,120.85,10.23,281.82,2995221,0.02
Consumer,2023-06-17,111.4,119.91,10.39,280.98,3306577,0.01
Consumer,2023-06-18,111.23,119.54,10.16,279.83,2787643,0.01
Consumer,2023-06-19,110.55,117.62,10.08,276.04,3022877,0.02
Consumer,2023-06-20,110.35,115.73,10.05,272.26,2575280,0.03
Consumer,2023-06-21,110.76,116.59,9.61,273.61,2878235,0.02
Consumer,2023-06-22,111.98,117.88,9.63,276.33,2530439,0.01
Consumer,2023-06-23,111.69,117.63,9.7,275.88,2491304,0.01
Consumer,2023-06-24,111.56,117.42,9.54,274.75,2869132,0.02
Consumer,2023-06-25,111.47,116.18,9.58,271.88,2882000,0.03
Consumer,2023-06-26,110.19,114.52,9.47,268.54,2395394,0.01
Consumer,2023-06-27,109.01,112.6,9.51,263.5,2721144,0.01
Consumer,2023-06-28,111.15,115.48,9.76,269.87,2230634,0.01
Consumer,2023-06-29,110.47,115.19,9.38,269.22,2628953,0.02
Consumer,2023-06-30,110.79,116.15,9.3,269.5,3364534,0.02
Consumer,2023-07-01,110.85,116.33,9.44,270.91,4088940,0.01
Consumer,2023-07-02,109.09,114.11,9.47,264.61,4240418,0.02
Consumer,2023-07-03,108.47,112.41,9.83,261.23,3991948,0.02
Consumer,2023-07-04,109.19,113.48,9.73,262.71,3578706,0.01
Consumer,2023-07-05,108.05,112.09,9.78,260.37,4291095,0.01
Consumer,2023-07-06,108.64,113.0,10.13,263.65,3146525,0.02
Consumer,2023-07-07,109.31,114.05,9.82,266.19,3126249,0.02
Consumer,2023-07-08,110.51,113.79,10.09,267.08,3874613,0.03
Consumer,2023-07-09,109.85,114.6,9.78,267.71,4592882,0.03
Consumer,2023-07-10,110.42,114.09,9.78,268.53,4767690,0.03
Consumer,2023-07-11,110.43,113.48,9.82,265.68,7781904,0.01
Consumer,2023-07-12,109.33,110.62,9.99,256.01,6160364,0.03
Consumer,2023-07-13,108.73,109.11,10.04,254.64,7746680,0.02
Consumer,2023-07-14,107.68,108.08,10.27,250.45,7602710,0.02
Consumer,2023-07-15,108.72,109.46,10.25,252.94,5131556,0.01
Consumer,2023-07-16,108.77,109.9,10.16,252.65,4810881,0.01
Consumer,2023-07-17,107.79,108.8,10.09,250.97,5004426,0.02
Consumer,2023-07-18,108.14,108.78,10.2,249.81,6247149,0.01
Consumer,2023-07-19,108.97,109.68,10.56,251.52,5860552,0.01
Consumer,2023-07-20,108.85,109.73,10.79,251.85,5571319,0.02
Consumer,2023-07-21,109.39,110.86,11.3,256.01,5939028,0.03
Consumer,2023-07-22,109.06,111.15,11.21,255.71,6669983,0.01
Consumer,2023-07-23,110.66,112.73,11.59,261.64,5232048,0.01
Consumer,2023-07-24,110.58,113.67,11.37,264.54,5761629,0.02
Consumer,2023-07-25,110.05,113.86,11.34,263.99,4770594,0.02
Consumer,2023-07-26,110.95,115.09,11.0,266.84,5115506,0.02
Consumer,2023-07-27,112.02,116.9,10.96,271.6,6568043,0.02
Consumer,2023-07-28,112.87,117.7,11.18,272.71,5629240,0.01
Consumer,2023-07-29,113.49,119.71,11.15,279.57,4790339,0.02
Consumer,2023-07-30,114.38,120.63,11.07,282.5,2837153,0.01
Consumer,2023-07-31,116.08,123.44,11.29,287.97,2126389,0.02
Consumer,2023-08-01,115.66,122.68,11.72,287.03,1834192,0.02
Consumer,2023-08-02,116.82,124.54,11.64,291.98,1886976,0.01
Consumer,2023-08-03,118.12,126.0,11.77,293.98,2064254,0.01
Consumer,2023-08-04,117.06,124.1,11.73,289.02,1467808,0.01
Consumer,2023-08-05,116.83,124.14,12.05,289.11,1778117,0.02
Consumer,2023-08-06,117.43,124.8,12.42,291.39,1418980,0.02
Consumer,2023-08-07,116.65,124.67,12.32,290.83,1279296,0.01
Consumer,2023-08-08,117.34,126.02,12.28,293.69,1212794,0.01
Consumer,2023-08-09,116.9,124.88,12.18,291.46,1379302,0.01
Consumer,2023-08-10,116.7,125.28,12.07,293.03,1643446,0.01
Consumer,2023-08-11,117.19,126.51,11.73,295.0,1861989,0.02
Consumer,2023-08-12,115.71,124.86,11.67,291.84,2120737,0.01
Consumer,2023-08-13,116.6,125.99,11.86,295.52,2625970,0.01
Consumer,2023-08-14,117.27,127.62,12.19,299.62,2233082,0.03
Consumer,2023-08-15,118.68,130.65,12.47,307.24,2874965,0.03
Consumer,2023-08-16,118.88,129.87,12.61,304.2,2552510,0.01
Consumer,2023-08-17,119.23,130.73,12.18,306.86,2258025,0.02
Consumer,2023-08-18,119.75,131.21,11.86,309.15,2241264,0.02
Consumer,2023-08-19,121.41,133.6,11.11,314.09,2470018,0.03
Consumer,2023-08-20,119.07,130.17,10.7,306.59,2982864,0.02
Consumer,2023-08-21,121.03,131.94,10.91,311.27,2900776,0.01
Consumer,2023-08-22,121.75,132.41,10.76,311.98,3065098,0.01
Consumer,2023-08-23,120.62,131.33,10.74,309.94,4645508,0.01
Consumer,2023-08-24,120.38,130.33,10.92,307.18,5714716,0.01
Consumer,2023-08-25,120.39,131.41,10.76,310.74,4841068,0.01
Consumer,2023-08-26,118.98,129.52,10.84,307.41,4661634,0.02
Consumer,2023-08-27,119.72,130.5,10.85,310.13,5013836,0.01
Consumer,2023-08-28,121.22,133.17,10.21,317.04,4272486,0.04
Consumer,2023-08-29,120.7,132.42,10.34,315.06,5300150,0.01
Consumer,2023-08-30,119.62,129.96,10.57,308.91,4343911,0.02
Consumer,2023-08-31,119.41,129.67,10.75,308.58,4427821,0.01
Consumer,2023-09-01,119.17,129.15,10.76,306.85,2224932,0.01
Consumer,2023-09-02,120.66,131.47,10.06,312.22,2990817,0.04
Consumer,2023-09-03,119.73,129.58,9.93,306.14,3395726,0.01
Consumer,2023-09-04,119.86,129.67,9.72,305.79,3835871,0.02
Consumer,2023-09-05,119.15,130.1,9.54,306.98,2399338,0.02
Consumer,2023-09-06,118.71,130.68,9.33,310.08,2032641,0.01
Consumer,2023-09-07,116.18,126.67,9.2,300.58,2168399,0.02
Consumer,2023-09-08,115.47,125.13,9.44,295.09,2714474,0.02
Consumer,2023-09-09,115.68,124.91,9.38,294.21,2823489,0.01
Energy,2023-01-01,130.93,58.61,35.84,196.31,12548716,
Energy,2023-01-02,130.15,57.65,36.4,193.89,11968324,0.01
Energy,2023-01-03,130.94,58.55,36.6,198.0,13168405,0.02
Energy,2023-01-04,130.59,58.24,36.6,197.29,12523966,0.01
Energy,2023-01-05,129.69,57.87,36.29,195.88,13118523,0.0
Energy,2023-01-06,127.74,57.4,35.22,193.48,12637921,0.01
Energy,2023-01-07,128.44,58.44,35.01,196.88,15304430,0.01
Energy,2023-01-08,129.98,60.09,35.14,202.45,13794417,0.01
Energy,2023-01-09,129.88,60.1,35.57,203.15,16990807,0.01
Energy,2023-01-10,129.69,58.85,36.91,200.78,17722237,0.02
Energy,2023-01-11,129.79,58.6,36.32,198.56,19106319,0.01
Energy,2023-01-12,128.74,57.73,35.94,195.16,15973028,0.01
Energy,2023-01-13,128.32,56.84,36.45,192.8,17137643,0.02
Energy,2023-01-14,128.2,56.95,36.82,193.28,16838768,0.02
Energy,2023-01-15,128.1,56.44,36.43,190.64,23679809,0.01
Energy,2023-01-16,127.73,55.72,36.5,188.61,22294176,0.02
Energy,2023-01-17,128.12,55.22,37.51,188.7,24344634,0.02
Energy,2023-01-18,127.57,55.46,36.41,188.14,32764059,0.01
Energy,2023-01-19,127.37,55.11,37.22,188.36,47989444,0.01
Energy,2023-01-20,127.76,54.77,37.13,186.37,54435337,0.01
Energy,2023-01-21,128.49,54.46,37.59,184.81,51825224,0.01
Energy,2023-01-22,127.17,52.98,38.83,181.95,72759926,0.02
Energy,2023-01-23,128.11,53.63,39.28,185.04,99080476,0.01
Energy,2023-01-24,128.51,53.92,40.1,187.27,180122312,0.01
Energy,2023-01-25,129.28,54.31,40.07,187.84,270927211,0.01
Energy,2023-01-26,129.58,54.49,39.92,187.91,320457391,0.0
Energy,2023-01-27,129.49,54.57,40.56,189.86,146498144,0.01
Energy,2023-01-28,129.48,54.51,40.69,189.7,136654870,0.0
Energy,2023-01-29,128.58,54.05,40.98,189.74,107345884,0.02
Energy,2023-01-30,129.26,53.54,42.94,190.21,118893501,0.02
Energy,2023-01-31,128.6,53.57,41.31,188.01,120248733,0.02
Energy,2023-02-01,128.85,53.36,41.49,187.54,163409596,0.01
Energy,2023-02-02,129.25,54.22,40.61,188.94,125771418,0.01
Energy,2023-02-03,130.32,54.45,41.7,191.25,123840220,0.01
Energy,2023-02-04,129.94,54.39,41.76,191.49,89627087,0.01
Energy,2023-02-05,130.03,54.78,41.29,192.05,114917859,0.01
Energy,2023-02-06,130.68,54.64,41.67,191.59,169294063,0.01
Energy,2023-02-07,131.25,56.0,40.13,193.77,127001554,0.02
Energy,2023-02-08,132.33,56.6,39.88,194.47,74836440,0.01
Energy,2023-02-09,132.47,56.02,40.26,192.31,36222376,0.01
Energy,2023-02-10,130.76,54.5,40.75,188.7,33027209,0.01
Energy,2023-02-11,131.42,54.55,40.98,188.37,35114388,0.01
Energy,2023-02-12,131.06,53.78,41.5,186.44,43756003,0.01
Energy,2023-02-13,131.79,54.34,40.68,186.05,47830030,0.01
Energy,2023-02-14,129.93,52.36,41.29,178.95,48000350,0.02
Energy,2023-02-15,130.47,52.4,42.07,180.73,15611807,0.01
Energy,2023-02-16,130.8,52.85,41.73,180.89,11967601,0.01
Energy,2023-02-17,129.89,54.0,39.95,184.33,7611579,0.02
Energy,2023-02-18,130.46,54.57,40.93,189.2,10338115,0.02
Energy,2023-02-19,131.15,53.63,43.17,189.55,6036868,0.03
Energy,2023-02-20,130.96,53.85,42.2,188.6,7263272,0.01
Energy,2023-02-21,131.76,54.03,42.28,188.95,5068400,0.01
Energy,2023-02-22,132.23,54.53,42.61,191.55,5086282,0.01
Energy,2023-02-23,131.93,55.11,41.44,192.3,6510418,0.02
Energy,2023-02-24,132.49,55.88,41.19,194.43,8348072,0.01
Energy,2023-02-25,131.88,56.48,40.6,196.16,6755483,0.01
Energy,2023-02-26,131.23,56.43,40.59,196.16,9373713,0.01
Energy,2023-02-27,130.3,55.38,40.97,193.08,6371976,0.01
Energy,2023-02-28,131.39,55.62,41.55,194.43,6277127,0.01
Energy,2023-03-01,129.97,54.6,41.05,190.62,7511458,0.01
Energy,2023-03-02,130.18,54.52,41.84,191.75,12861351,0.01
Energy,2023-03-03,129.65,54.23,42.49,192.29,20246004,0.01
Energy,2023-03-04,131.24,54.96,42.9,194.66,9558467,0.0
Energy,2023-03-05,131.09,55.07,42.82,194.82,9227243,0.01
Energy,2023-03-06,131.33,54.47,44.25,194.71,7200883,0.02
Energy,2023-03-07,131.53,55.19,43.76,196.69,6616412,0.01
Energy,2023-03-08,132.27,55.96,43.95,199.56,8054911,0.01
Energy,2023-03-09,131.76,56.26,42.89,199.09,6797607,0.01
Energy,2023-03-10,131.58,56.01,42.77,197.85,6894081,0.01
Energy,2023-03-11,131.99,55.33,44.76,198.72,6123977,0.02
Energy,2023-03-12,131.9,55.28,44.41,197.83,6763683,0.01
Energy,2023-03-13,132.54,55.75,45.1,200.38,7205841,0.01
Energy,2023-03-14,132.58,55.03,46.68,200.41,7535181,0.02
Energy,2023-03-15,131.33,53.54,47.23,196.19,7302157,0.02
Energy,2023-03-16,131.68,52.83,47.16,193.33,6181342,0.01
Energy,2023-03-17,131.25,52.4,46.71,191.31,4975783,0.01
Energy,2023-03-18,130.17,51.59,46.86,189.14,7845202,0.01
Energy,2023-03-19,129.64,51.85,46.06,189.11,9971201,0.01
Energy,2023-03-20,129.78,52.47,45.89,190.93,12102957,0.01
Energy,2023-03-21,129.26,52.83,45.42,192.27,18861177,0.01
Energy,2023-03-22,128.2,53.0,45.31,193.35,10411076,0.01
Energy,2023-03-23,128.64,53.49,44.25,193.04,7125225,0.02
Energy,2023-03-24,127.8,52.34,44.72,189.9,7469138,0.01
Energy,2023-03-25,126.47,51.16,44.39,185.26,7905640,0.01
Energy,2023-03-26,125.8,49.96,44.7,181.69,7291645,0.01
Energy,2023-03-27,126.05,50.18,45.12,183.48,6132911,0.01
Energy,2023-03-28,125.59,49.95,44.01,180.97,5690948,0.01
Energy,2023-03-29,125.86,50.65,43.29,182.4,5915039,0.01
Energy,2023-03-30,126.08,51.32,41.82,182.34,4885539,0.02
Energy,2023-03-31,126.66,51.39,41.6,181.54,5565410,0.01
Energy,2023-04-01,126.92,51.0,42.59,181.34,6334558,0.01
Energy,2023-04-02,126.84,50.56,43.1,180.64,5340148,0.01
Energy,2023-04-03,127.88,51.85,43.03,185.07,6416659,0.01
Energy,2023-04-04,127.81,51.9,43.34,185.78,6648753,0.01
Energy,2023-04-05,127.62,52.7,43.15,189.05,6970838,0.01
Energy,2023-04-06,128.36,53.42,42.86,190.66,7338094,0.01
Energy,2023-04-07,127.88,53.59,41.89,190.15,6285970,0.01
Energy,2023-04-08,129.48,54.39,42.56,193.23,4817761,0.01
Energy,2023-04-09,130.41,55.32,43.22,197.19,4741301,0.01
Energy,2023-04-10,130.99,55.49,43.27,197.37,4827088,0.01
Energy,2023-04-11,131.11,55.38,43.53,197.45,5161213,0.01
Energy,2023-04-12,131.96,56.11,43.93,200.47,6270088,0.01
Energy,2023-04-13,132.64,56.57,43.51,201.24,6957628,0.01
Energy,2023-04-14,132.01,54.77,44.72,196.89,7582747,0.02
Energy,2023-04-15,132.69,55.81,44.25,199.59,8438787,0.01
Energy,2023-04-16,132.22,56.4,44.16,201.67,7086999,0.02
Energy,2023-04-17,133.25,57.44,43.11,203.25,9371187,0.02
Energy,2023-04-18,133.24,57.01,42.83,201.27,11136596,0.01
Energy,2023-04-19,134.43,57.27,43.5,202.46,11592603,0.01
Energy,2023-04-20,132.25,54.31,44.34,193.77,14960635,0.02
Energy,2023-04-21,131.25,54.2,45.31,195.84,16825938,0.02
Energy,2023-04-22,131.7,53.29,46.25,193.7,17093151,0.01
Energy,2023-04-23,132.03,53.41,46.55,194.6,23438143,0.01
Energy,2023-04-24,132.66,54.56,46.37,198.26,31913574,0.01
Energy,2023-04-25,134.57,55.3,46.54,200.1,33751528,0.01
Energy,2023-04-26,133.76,54.42,47.06,197.76,30361016,0.02
Energy,2023-04-27,134.32,55.28,46.77,200.15,33882574,0.01
Energy,2023-04-28,134.7,54.92,46.78,198.77,40145608,0.01
Energy,2023-04-29,135.72,55.38,47.19,200.41,38465163,0.01
Energy,2023-04-30,134.77,55.05,46.76,198.61,44936298,0.01
Energy,2023-05-01,135.89,55.7,46.82,200.32,54769960,0.0
Energy,2023-05-02,135.53,55.73,46.17,199.61,47395922,0.01
Energy,2023-05-03,135.81,57.15,45.03,203.48,52005515,0.02
Energy,2023-05-04,136.34,57.29,44.23,202.33,47539640,0.01
Energy,2023-05-05,136.09,57.25,44.31,202.43,50105173,0.01
Energy,2023-05-06,135.55,55.58,45.09,197.29,42409487,0.02
Energy,2023-05-07,134.88,54.15,45.41,191.98,56808267,0.02
Energy,2023-05-08,135.6,55.03,45.11,194.5,75256698,0.01
Energy,2023-05-09,135.84,54.32,45.18,191.61,72156031,0.02
Energy,2023-05-10,135.14,52.98,46.5,188.71,51792296,0.02
Energy,2023-05-11,134.92,53.26,46.41,190.9,51660981,0.02
Energy,2023-05-12,134.71,53.05,46.11,189.44,47094674,0.0
Energy,2023-05-13,134.7,52.44,46.73,187.84,81858783,0.01
Energy,2023-05-14,133.97,52.07,46.55,186.51,35812581,0.0
Energy,2023-05-15,133.28,51.21,46.75,183.64,29784488,0.01
Energy,2023-05-16,133.29,51.02,46.88,182.89,30280539,0.01
Energy,2023-05-17,133.37,51.92,45.15,183.43,13277382,0.02
Energy,2023-05-18,132.05,51.25,43.94,178.56,18596799,0.02
Energy,2023-05-19,132.24,50.77,44.36,176.16,16818160,0.01
