user_id,signup_date,location,device_type,account_age_days,trust_score
USER10100,2022-02-27,City 1,Mobile,129,78.3
USER10101,2022-08-23,City 2,Desktop,648,79.75
USER10102,2022-02-02,City 3,Mobile,472,92.7
USER10103,2022-11-20,City 4,Tablet,63,46.81
USER10104,2023-02-15,City 5,Desktop,139,88.41
USER10105,2022-10-02,City 6,Mobile,499,85.92
USER10106,2022-03-09,City 7,Desktop,593,75.12
USER10107,2022-08-05,City 8,Mobile,392,76.64
USER10108,2023-08-04,City 9,Tablet,675,69.13
USER10109,2022-11-19,City 10,Tablet,419,83.84
USER10110,2022-08-06,City 11,Tablet,289,97.25
USER10111,2023-11-03,City 12,Mobile,379,59.16
USER10112,2023-05-27,City 13,Desktop,490,96.57
USER10113,2023-02-10,City 14,Desktop,231,66.29
USER10114,2023-10-21,City 15,Tablet,41,88.23
USER10115,2023-04-15,City 16,Tablet,28,85.86
USER10116,2022-05-27,City 17,Tablet,135,72.98
USER10117,2022-09-29,City 18,Mobile,201,66.22
USER10118,2022-05-23,City 19,Desktop,33,71.89
USER10119,2022-09-10,City 20,Mobile,48,94.13
USER10120,2023-07-29,City 1,Tablet,503,71.49
USER10121,2023-07-06,City 2,Tablet,407,67.96
USER10122,2022-09-27,City 3,Mobile,574,67.1
USER10123,2023-08-22,City 4,Tablet,728,91.16
USER10124,2023-03-15,City 5,Desktop,99,58.8
USER10125,2023-08-21,City 6,Tablet,684,62.04
USER10126,2023-02-13,City 7,Desktop,726,67.43
USER10127,2023-01-06,City 8,Tablet,547,54.98
USER10128,2022-08-13,City 9,Mobile,613,79.01
USER10129,2022-05-22,City 10,Tablet,462,59.79
USER10130,2023-06-06,City 11,Tablet,643,73.27
USER10131,2023-05-21,City 12,Mobile,5,71.6
USER10132,2022-04-04,City 13,Tablet,218,81.51
USER10133,2022-02-18,City 14,Mobile,503,96.51
USER10134,2022-04-23,City 15,Mobile,398,80.53
USER10135,2022-06-06,City 16,Desktop,393,97.67
USER10136,2023-10-05,City 17,Tablet,207,68.62
USER10137,2022-06-13,City 18,Tablet,15,56.7
USER10138,2023-11-28,City 19,Tablet,554,82.43
USER10139,2023-03-09,City 20,Desktop,461,90.52
USER10140,2023-09-03,City 1,Tablet,691,46.21
USER10141,2022-03-07,City 2,Desktop,575,64.12
USER10142,2023-01-30,City 3,Desktop,241,84.07
USER10143,2023-01-26,City 4,Tablet,564,49.37
USER10144,2023-09-03,City 5,Tablet,96,88.87
USER10145,2023-04-25,City 6,Mobile,485,66.7
USER10146,2023-06-26,City 7,Desktop,407,79.3
USER10147,2022-09-15,City 8,Desktop,231,96.42
USER10148,2023-07-21,City 9,Desktop,655,67.8
USER10149,2022-01-12,City 10,Desktop,171,47.49
USER10150,2023-11-28,City 11,Desktop,541,73.91
USER10151,2022-04-28,City 12,Mobile,36,76.23
USER10152,2023-11-30,City 13,Mobile,525,97.68
USER10153,2023-07-04,City 14,Desktop,160,35.03
USER10154,2022-10-01,City 15,Tablet,699,83.86
USER10155,2023-10-19,City 16,Tablet,243,76.72
USER10156,2022-12-15,City 17,Tablet,86,32.52
USER10157,2022-04-25,City 18,Tablet,578,89.8
USER10158,2022-10-28,City 19,Desktop,682,80.45
USER10159,2023-03-22,City 20,Tablet,557,57.91
USER10160,2022-06-11,City 1,Tablet,574,80.56
USER10161,2023-04-10,City 2,Desktop,646,78.69
USER10162,2022-01-04,City 3,Tablet,28,82.2
USER10163,2022-09-27,City 4,Tablet,620,56.5
USER10164,2023-05-28,City 5,Tablet,556,79.54
USER10165,2022-07-02,City 6,Tablet,340,43.36
USER10166,2023-06-04,City 7,Mobile,331,83.63
USER10167,2022-04-19,City 8,Mobile,640,77.06
USER10168,2023-10-03,City 9,Mobile,506,89.66
USER10169,2022-11-02,City 10,Tablet,348,53.81
USER10170,2023-10-17,City 11,Tablet,473,97.45
USER10171,2023-06-04,City 12,Desktop,231,82.47
USER10172,2023-09-16,City 13,Tablet,190,66.26
USER10173,2022-07-23,City 14,Desktop,225,77.21
USER10174,2022-06-06,City 15,Tablet,385,53.48
USER10175,2023-01-18,City 16,Mobile,377,72.0
USER10176,2022-06-15,City 17,Tablet,283,70.18
USER10177,2023-07-07,City 18,Tablet,633,62.41
USER10178,2023-06-28,City 19,Mobile,628,97.72
USER10179,2022-01-01,City 20,Tablet,259,73.85
USER10180,2023-09-06,City 1,Tablet,359,50.31
USER10181,2022-11-28,City 2,Tablet,710,83.11
USER10182,2023-05-16,City 3,Tablet,456,66.59
USER10183,2022-01-20,City 4,Desktop,411,79.78
USER10184,2022-04-25,City 5,Tablet,649,54.92
USER10185,2023-01-07,City 6,Mobile,318,96.71
USER10186,2022-11-11,City 7,Desktop,677,56.2
USER10187,2022-09-03,City 8,Tablet,225,60.81
USER10188,2022-03-01,City 9,Desktop,234,67.98
USER10189,2022-09-04,City 10,Tablet,684,83.74
USER10190,2023-08-04,City 11,Tablet,664,71.38
USER10191,2022-03-22,City 12,Tablet,374,54.23
USER10192,2022-03-29,City 13,Tablet,672,77.23
USER10193,2023-05-13,City 14,Desktop,608,50.27
USER10194,2022-03-12,City 15,Tablet,472,88.81
USER10195,2023-06-30,City 16,Tablet,233,75.84
USER10196,2022-05-09,City 17,Tablet,692,88.94
USER10197,2022-05-12,City 18,Desktop,113,53.89
USER10198,2023-11-07,City 19,Desktop,497,65.15
USER10199,2023-05-02,City 20,Mobile,442,64.9
USER10200,2023-07-17,City 1,Tablet,564,56.99
USER10201,2022-06-19,City 2,Mobile,268,25.15
USER10202,2022-09-29,City 3,Mobile,510,77.27
USER10203,2023-06-25,City 4,Desktop,386,77.14
USER10204,2023-09-14,City 5,Mobile,387,51.35
USER10205,2023-03-10,City 6,Mobile,113,93.31
USER10206,2022-08-05,City 7,Tablet,613,90.44
USER10207,2023-07-07,City 8,Mobile,625,60.88
USER10208,2023-12-08,City 9,Mobile,81,53.88
USER10209,2022-07-25,City 10,Desktop,699,66.74
USER10210,2024-01-01,City 11,Mobile,113,64.91
USER10211,2022-11-16,City 12,Desktop,2,70.11
USER10212,2023-02-13,City 13,Tablet,642,94.63
USER10213,2023-11-19,City 14,Desktop,220,94.83
USER10214,2023-10-28,City 15,Mobile,566,77.99
USER10215,2023-01-18,City 16,Mobile,225,85.01
USER10216,2023-03-25,City 17,Tablet,385,64.82
USER10217,2023-06-14,City 18,Desktop,403,87.9
USER10218,2023-04-08,City 19,Mobile,638,70.63
USER10219,2022-05-04,City 20,Tablet,130,84.67
USER10220,2022-09-11,City 1,Mobile,53,84.86
USER10221,2022-08-19,City 2,Desktop,684,74.63
USER10222,2022-03-07,City 3,Desktop,672,74.93
USER10223,2022-12-13,City 4,Mobile,710,73.16
USER10224,2022-01-22,City 5,Tablet,416,85.03
USER10225,2023-08-26,City 6,Tablet,247,82.55
USER10226,2023-07-22,City 7,Tablet,439,83.38
USER10227,2022-08-24,City 8,Tablet,203,65.48
USER10228,2023-08-26,City 9,Mobile,184,69.75
USER10229,2022-08-14,City 10,Tablet,123,33.57
USER10230,2022-01-08,City 11,Tablet,401,70.23
USER10231,2022-03-14,City 12,Tablet,294,88.24
USER10232,2023-12-26,City 13,Desktop,280,73.42
USER10233,2023-10-09,City 14,Mobile,610,85.41
USER10234,2022-03-02,City 15,Tablet,198,51.76
USER10235,2022-08-23,City 16,Tablet,511,55.18
USER10236,2022-03-11,City 17,Desktop,144,79.29
USER10237,2022-02-02,City 18,Tablet,609,66.89
USER10238,2022-12-05,City 19,Tablet,201,88.5
USER10239,2022-03-14,City 20,Mobile,124,62.73
USER10240,2023-06-11,City 1,Desktop,187,40.25
USER10241,2022-09-01,City 2,Desktop,326,73.77
USER10242,2022-10-13,City 3,Desktop,464,63.63
USER10243,2023-11-17,City 4,Tablet,349,82.95
USER10244,2023-05-13,City 5,Desktop,660,81.87
USER10245,2022-08-08,City 6,Tablet,403,83.18
USER10246,2023-07-07,City 7,Mobile,346,61.47
USER10247,2022-05-16,City 8,Mobile,511,68.99
USER10248,2023-08-08,City 9,Tablet,147,94.34
USER10249,2023-08-14,City 10,Desktop,148,69.32
USER10250,2023-04-30,City 11,Mobile,711,81.76
USER10251,2022-09-06,City 12,Tablet,489,58.06
USER10252,2023-04-30,City 13,Desktop,640,64.79
USER10253,2023-02-21,City 14,Mobile,551,72.83
USER10254,2022-07-14,City 15,Tablet,338,97.34
USER10255,2022-04-07,City 16,Tablet,641,87.3
USER10256,2022-04-10,City 17,Tablet,473,68.45
USER10257,2023-11-06,City 18,Tablet,151,50.65
USER10258,2023-03-18,City 19,Desktop,415,73.69
USER10259,2022-12-29,City 20,Tablet,298,88.9
USER10260,2023-03-10,City 1,Tablet,611,88.82
USER10261,2023-02-25,City 2,Tablet,263,84.56
USER10262,2023-04-24,City 3,Tablet,144,72.99
USER10263,2022-02-25,City 4,Mobile,346,81.17
USER10264,2023-11-21,City 5,Tablet,624,96.36
USER10265,2023-11-01,City 6,Mobile,572,56.94
USER10266,2023-10-24,City 7,Desktop,2,80.71
USER10267,2022-04-11,City 8,Desktop,304,89.12
USER10268,2022-03-04,City 9,Mobile,254,94.08
USER10269,2023-02-17,City 10,Tablet,652,51.55
USER10270,2022-12-14,City 11,Mobile,453,93.22
USER10271,2022-04-22,City 12,Mobile,37,46.31
USER10272,2022-09-12,City 13,Mobile,160,90.05
USER10273,2022-07-16,City 14,Tablet,9,98.81
USER10274,2022-07-14,City 15,Tablet,233,54.72
USER10275,2023-07-04,City 16,Mobile,99,70.51
USER10276,2023-04-05,City 17,Desktop,659,95.56
USER10277,2022-05-24,City 18,Mobile,208,84.81
USER10278,2023-03-09,City 19,Desktop,131,59.55
USER10279,2022-07-07,City 20,Desktop,404,76.67
USER10280,2022-10-13,City 1,Tablet,152,66.7
USER10281,2023-04-19,City 2,Desktop,54,46.42
USER10282,2022-09-13,City 3,Mobile,120,35.61
USER10283,2022-03-19,City 4,Mobile,673,67.1
USER10284,2023-03-30,City 5,Tablet,628,72.16
USER10285,2023-07-18,City 6,Desktop,587,57.05
USER10286,2022-04-11,City 7,Mobile,625,76.99
USER10287,2022-02-21,City 8,Desktop,420,90.98
USER10288,2023-10-30,City 9,Desktop,422,77.98
USER10289,2023-07-08,City 10,Tablet,104,66.92
USER10290,2022-01-16,City 11,Mobile,254,53.68
USER10291,2022-04-06,City 12,Mobile,227,88.99
USER10292,2022-08-31,City 13,Mobile,112,67.44
USER10293,2022-06-20,City 14,Desktop,510,92.29
USER10294,2023-02-21,City 15,Tablet,473,83.73
USER10295,2023-05-13,City 16,Mobile,99,50.97
USER10296,2023-05-08,City 17,Tablet,153,77.9
USER10297,2022-08-07,City 18,Tablet,338,73.15
USER10298,2023-02-15,City 19,Tablet,706,95.24
USER10299,2022-03-02,City 20,Desktop,163,88.26
USER10300,2022-06-18,City 1,Desktop,720,74.01
USER10301,2023-01-24,City 2,Tablet,681,46.01
USER10302,2022-01-03,City 3,Tablet,161,95.72
USER10303,2023-02-04,City 4,Desktop,580,65.48
USER10304,2022-09-29,City 5,Mobile,398,72.81
USER10305,2023-04-11,City 6,Tablet,277,86.81
USER10306,2022-10-20,City 7,Desktop,504,87.41
USER10307,2023-03-10,City 8,Tablet,392,95.36
USER10308,2023-12-15,City 9,Mobile,135,84.62
USER10309,2023-07-24,City 10,Mobile,195,97.92
USER10310,2023-11-09,City 11,Tablet,401,49.03
USER10311,2023-05-14,City 12,Mobile,640,99.36
USER10312,2022-06-08,City 13,Tablet,33,92.72
USER10313,2022-07-14,City 14,Mobile,688,49.01
USER10314,2022-10-31,City 15,Desktop,460,66.18
USER10315,2022-08-11,City 16,Tablet,470,76.99
USER10316,2022-03-01,City 17,Tablet,375,94.81
USER10317,2023-08-17,City 18,Desktop,22,94.04
USER10318,2023-07-10,City 19,Mobile,670,57.26
USER10319,2022-03-04,City 20,Desktop,38,47.38
USER10320,2022-11-18,City 1,Mobile,230,77.07
USER10321,2022-02-28,City 2,Mobile,365,43.27
USER10322,2022-02-21,City 3,Tablet,563,62.09
USER10323,2023-08-22,City 4,Desktop,438,40.34
USER10324,2023-05-04,City 5,Desktop,283,75.97
USER10325,2023-05-30,City 6,Desktop,27,71.01
USER10326,2023-06-28,City 7,Desktop,226,89.96
USER10327,2022-06-11,City 8,Mobile,277,94.63
USER10328,2022-02-28,City 9,Tablet,609,76.9
USER10329,2023-06-05,City 10,Tablet,284,63.98
USER10330,2022-03-24,City 11,Desktop,481,77.49
USER10331,2022-07-10,City 12,Tablet,453,78.37
USER10332,2022-03-12,City 13,Tablet,659,83.17
USER10333,2023-09-02,City 14,Mobile,516,88.38
USER10334,2022-03-11,City 15,Mobile,547,44.95
USER10335,2023-11-23,City 16,Tablet,192,61.27
USER10336,2022-08-29,City 17,Desktop,49,45.46
USER10337,2023-02-18,City 18,Desktop,512,49.57
USER10338,2022-05-03,City 19,Mobile,17,72.75
USER10339,2023-08-07,City 20,Tablet,172,77.25
USER10340,2022-09-10,City 1,Tablet,220,69.01
USER10341,2023-08-16,City 2,Tablet,158,65.7
USER10342,2023-09-01,City 3,Mobile,477,85.26
USER10343,2022-02-10,City 4,Mobile,46,88.56
USER10344,2023-09-27,City 5,Tablet,373,87.28
USER10345,2022-03-25,City 6,Desktop,518,73.99
USER10346,2023-03-06,City 7,Desktop,99,51.19
USER10347,2023-11-05,City 8,Mobile,37,61.76
USER10348,2023-08-21,City 9,Desktop,280,58.18
USER10349,2023-08-02,City 10,Desktop,349,70.42
USER10350,2023-06-20,City 11,Tablet,497,66.08
USER10351,2022-11-20,City 12,Tablet,302,71.32
USER10352,2022-09-25,City 13,Desktop,181,44.66
USER10353,2022-07-29,City 14,Mobile,607,89.66
USER10354,2023-11-17,City 15,Tablet,99,64.13
USER10355,2022-11-18,City 16,Desktop,700,93.77
USER10356,2022-09-02,City 17,Tablet,116,37.46
USER10357,2022-09-29,City 18,Tablet,191,71.7
USER10358,2023-02-10,City 19,Desktop,253,12.36
USER10359,2022-05-15,City 20,Desktop,161,77.59
USER10360,2023-11-19,City 1,Mobile,256,56.69
USER10361,2023-10-23,City 2,Desktop,323,47.49
USER10362,2022-11-04,City 3,Tablet,128,57.67
USER10363,2023-04-14,City 4,Mobile,18,90.88
USER10364,2022-11-20,City 5,Desktop,566,85.69
USER10365,2022-03-16,City 6,Tablet,570,29.78
USER10366,2022-01-10,City 7,Mobile,323,71.53
USER10367,2023-04-15,City 8,Mobile,686,48.68
USER10368,2023-09-29,City 9,Mobile,626,67.78
USER10369,2023-07-31,City 10,Tablet,288,38.83
USER10370,2022-04-13,City 11,Tablet,663,48.39
USER10371,2022-03-17,City 12,Mobile,639,64.97
USER10372,2023-07-05,City 13,Tablet,155,68.25
USER10373,2022-08-07,City 14,Mobile,490,87.52
USER10374,2023-06-03,City 15,Mobile,386,34.26
USER10375,2022-09-29,City 16,Tablet,104,86.23
USER10376,2022-05-16,City 17,Tablet,393,94.53
USER10377,2022-12-24,City 18,Mobile,246,81.07
USER10378,2022-03-12,City 19,Tablet,176,38.11
USER10379,2022-09-08,City 20,Desktop,39,69.75
USER10380,2023-01-14,City 1,Mobile,477,86.2
USER10381,2022-10-19,City 2,Mobile,682,74.09
USER10382,2022-06-11,City 3,Tablet,538,41.41
USER10383,2023-03-25,City 4,Tablet,408,72.5
USER10384,2023-07-11,City 5,Tablet,525,72.67
USER10385,2023-12-22,City 6,Desktop,506,56.77
USER10386,2022-11-06,City 7,Tablet,36,88.49
USER10387,2023-09-19,City 8,Mobile,685,56.14
USER10388,2023-11-01,City 9,Tablet,20,86.05
USER10389,2023-06-26,City 10,Tablet,321,68.82
USER10390,2022-01-09,City 11,Mobile,512,80.19
USER10391,2023-11-15,City 12,Mobile,400,81.49
USER10392,2023-07-22,City 13,Desktop,654,75.22
USER10393,2022-11-03,City 14,Tablet,471,84.52
USER10394,2023-11-11,City 15,Desktop,143,96.94
USER10395,2022-04-17,City 16,Mobile,92,53.84
USER10396,2022-05-18,City 17,Mobile,354,76.16
USER10397,2022-09-28,City 18,Mobile,727,64.08
USER10398,2022-04-29,City 19,Mobile,51,80.87
USER10399,2022-04-20,City 20,Mobile,665,79.5
USER10400,2023-07-21,City 1,Desktop,698,88.21
USER10401,2022-06-09,City 2,Tablet,575,74.08
USER10402,2022-10-06,City 3,Mobile,190,76.02
USER10403,2022-10-16,City 4,Tablet,125,74.18
USER10404,2023-09-12,City 5,Mobile,150,71.89
USER10405,2022-08-04,City 6,Desktop,314,83.25
USER10406,2022-12-18,City 7,Desktop,570,47.96
USER10407,2022-07-28,City 8,Desktop,342,97.98
USER10408,2023-12-05,City 9,Desktop,305,92.31
USER10409,2023-10-12,City 10,Tablet,692,79.29
USER10410,2022-09-28,City 11,Desktop,682,84.28
USER10411,2023-06-02,City 12,Desktop,54,47.07
USER10412,2023-05-16,City 13,Desktop,444,77.31
USER10413,2022-09-15,City 14,Mobile,613,55.52
USER10414,2022-02-22,City 15,Desktop,264,42.19
USER10415,2022-04-05,City 16,Tablet,53,80.73
USER10416,2023-10-12,City 17,Mobile,572,78.93
USER10417,2023-03-10,City 18,Tablet,620,54.56
USER10418,2022-10-11,City 19,Mobile,5,64.71
USER10419,2022-02-15,City 20,Tablet,103,87.21
USER10420,2022-01-04,City 1,Tablet,196,92.25
USER10421,2022-12-08,City 2,Tablet,350,94.45
USER10422,2022-05-14,City 3,Mobile,47,81.29
USER10423,2023-10-15,City 4,Tablet,656,60.33
USER10424,2022-09-26,City 5,Tablet,269,66.76
USER10425,2022-06-15,City 6,Mobile,370,94.04
USER10426,2023-03-29,City 7,Tablet,636,40.33
USER10427,2023-07-19,City 8,Mobile,106,69.6
USER10428,2023-12-24,City 9,Desktop,670,87.02
USER10429,2023-03-14,City 10,Tablet,659,49.92
USER10430,2023-07-29,City 11,Mobile,657,87.03
USER10431,2022-01-10,City 12,Desktop,120,45.02
USER10432,2022-04-25,City 13,Tablet,604,84.42
USER10433,2022-03-19,City 14,Desktop,58,49.01
USER10434,2023-12-09,City 15,Tablet,346,85.38
USER10435,2022-06-02,City 16,Mobile,474,80.44
USER10436,2023-07-13,City 17,Desktop,117,68.94
USER10437,2022-02-06,City 18,Desktop,127,73.95
USER10438,2023-01-14,City 19,Desktop,393,74.9
USER10439,2023-08-20,City 20,Desktop,641,88.62
USER10440,2023-07-20,City 1,Tablet,58,73.98
USER10441,2022-06-01,City 2,Mobile,634,72.48
USER10442,2023-03-17,City 3,Desktop,513,81.05
USER10443,2022-05-11,City 4,Mobile,96,68.29
USER10444,2022-02-12,City 5,Tablet,638,79.24
USER10445,2022-11-12,City 6,Mobile,118,67.99
USER10446,2023-01-09,City 7,Mobile,560,88.78
USER10447,2022-02-10,City 8,Tablet,601,94.69
USER10448,2023-01-02,City 9,Desktop,488,93.29
USER10449,2022-08-04,City 10,Tablet,237,85.24
USER10450,2023-11-30,City 11,Desktop,272,76.7
USER10451,2022-09-13,City 12,Tablet,189,66.86
USER10452,2023-11-14,City 13,Mobile,704,68.12
USER10453,2022-04-16,City 14,Desktop,447,94.4
USER10454,2022-12-29,City 15,Tablet,581,58.82
USER10455,2023-07-28,City 16,Tablet,247,89.78
USER10456,2023-02-21,City 17,Tablet,76,81.44
USER10457,2023-09-28,City 18,Desktop,154,90.65
USER10458,2022-06-08,City 19,Mobile,656,66.96
USER10459,2022-08-31,City 20,Tablet,435,79.46
USER10460,2022-06-16,City 1,Tablet,86,66.32
USER10461,2022-07-01,City 2,Mobile,697,75.65
USER10462,2023-02-27,City 3,Mobile,285,84.07
USER10463,2022-01-26,City 4,Mobile,220,64.27
USER10464,2022-07-03,City 5,Mobile,69,69.25
USER10465,2022-12-07,City 6,Tablet,47,75.93
USER10466,2023-02-26,City 7,Tablet,94,76.91
USER10467,2023-11-17,City 8,Desktop,453,77.86
USER10468,2022-09-12,City 9,Tablet,204,66.89
USER10469,2022-10-01,City 10,Tablet,218,54.29
USER10470,2022-06-13,City 11,Mobile,474,60.94
USER10471,2023-12-20,City 12,Desktop,432,93.94
USER10472,2022-04-21,City 13,Mobile,341,71.74
USER10473,2023-01-27,City 14,Tablet,551,91.22
USER10474,2022-02-09,City 15,Tablet,612,34.79
USER10475,2023-04-27,City 16,Tablet,289,75.69
USER10476,2022-08-16,City 17,Desktop,254,81.08
USER10477,2022-07-24,City 18,Mobile,357,81.46
USER10478,2023-04-17,City 19,Desktop,23,54.73
USER10479,2022-12-25,City 20,Tablet,522,66.92
USER10480,2022-11-09,City 1,Tablet,100,83.2
USER10481,2022-08-22,City 2,Mobile,180,71.2
USER10482,2022-08-17,City 3,Mobile,223,49.84
USER10483,2022-01-25,City 4,Mobile,659,54.23
USER10484,2023-11-07,City 5,Mobile,442,82.01
USER10485,2022-07-17,City 6,Tablet,608,82.0
USER10486,2023-02-13,City 7,Desktop,325,93.84
USER10487,2022-12-03,City 8,Mobile,516,43.74
USER10488,2022-10-13,City 9,Mobile,16,78.09
USER10489,2022-03-13,City 10,Mobile,336,59.08
USER10490,2022-10-13,City 11,Tablet,258,88.44
USER10491,2022-12-26,City 12,Tablet,497,72.21
USER10492,2023-10-19,City 13,Mobile,160,56.36
USER10493,2023-06-06,City 14,Tablet,475,66.02
USER10494,2023-02-14,City 15,Desktop,664,70.65
USER10495,2023-11-27,City 16,Tablet,690,86.35
USER10496,2023-07-04,City 17,Tablet,675,53.6
USER10497,2022-12-06,City 18,Mobile,380,78.77
USER10498,2022-01-29,City 19,Desktop,545,92.14
USER10499,2022-04-29,City 20,Tablet,691,89.53
USER10500,2022-09-25,City 1,Mobile,427,67.47
USER10501,2022-07-02,City 2,Desktop,613,65.6
USER10502,2023-08-18,City 3,Mobile,268,67.9
USER10503,2022-09-29,City 4,Mobile,577,78.56
USER10504,2022-02-09,City 5,Tablet,417,45.31
USER10505,2022-04-22,City 6,Tablet,168,87.33
USER10506,2023-09-03,City 7,Desktop,43,52.7
USER10507,2023-03-21,City 8,Desktop,556,89.07
USER10508,2022-12-20,City 9,Desktop,285,80.78
USER10509,2022-11-18,City 10,Mobile,397,69.76
USER10510,2023-03-23,City 11,Tablet,12,51.45
USER10511,2023-09-13,City 12,Tablet,607,82.44
USER10512,2023-06-08,City 13,Mobile,302,68.84
USER10513,2022-04-29,City 14,Mobile,253,90.57
USER10514,2023-01-30,City 15,Desktop,499,61.8
USER10515,2023-08-14,City 16,Tablet,35,86.97
