employee_id,department,education,education_field,gender,age,tenure,marital_status,distance_from_home,job_role,salary,bonus,job_satisfaction,performance_rating,overtime,attrition,salary_category,tenure_group,age_group
EMP1056,Operations,Master,Life Sciences,Male,27,0,Married,56.0,Supply Chain Analyst,73261.43,7314.86,2,3,No,Yes,Medium,,26-35
EMP1057,Finance,PhD,Other,Female,63,0,Divorced,2.0,Accountant,81409.68,2755.85,2,2,No,No,Medium,,55+
EMP1058,HR,Bachelor,Marketing,Female,25,1,Married,0.3,HR Specialist,55727.5,1074.62,2,1,No,Yes,Medium,0-2 years,18-25
EMP1059,Technology,High School,Medical,Female,50,3,Divorced,22.1,DevOps,66429.57,6610.44,4,5,No,No,Medium,3-5 years,46-55
EMP1060,Marketing,High School,Technical,Male,39,7,Single,24.7,CMO,108969.21,16416.98,5,3,No,No,High,6-10 years,36-45
EMP1061,Finance,Master,Marketing,Male,47,5,Married,1.9,Accountant,79995.92,13672.12,1,1,No,Yes,Medium,3-5 years,46-55
EMP1062,Marketing,PhD,Technical,Male,55,2,Married,4.6,CMO,201332.33,16795.33,5,1,No,No,Very High,0-2 years,46-55
EMP1063,Customer Service,PhD,Medical,Female,31,1,Married,0.3,Service Manager,89812.85,17319.5,5,4,No,No,Medium,0-2 years,26-35
EMP1064,R&D,PhD,Marketing,Male,57,29,Divorced,5.2,Research Scientist,172802.46,5646.45,2,1,Yes,No,Very High,10+ years,55+
EMP1065,HR,PhD,Life Sciences,Female,35,2,Divorced,22.3,HR Specialist,76635.24,11821.39,2,3,No,No,Medium,0-2 years,26-35
EMP1066,Finance,High School,Technical,Female,52,3,Divorced,10.9,Accountant,47438.36,1726.56,5,2,Yes,Yes,Low,3-5 years,46-55
EMP1067,Operations,Bachelor,Marketing,Female,36,0,Divorced,6.4,Operations Manager,70620.83,2402.81,2,4,Yes,No,Medium,,36-45
EMP1068,Sales,Master,Marketing,Female,29,7,Single,7.0,BD Manager,133292.67,14224.45,4,3,No,Yes,High,6-10 years,26-35
EMP1069,Finance,High School,Technical,Female,35,5,Divorced,0.0,CFO,117552.27,6549.14,1,3,No,No,High,3-5 years,26-35
EMP1070,Sales,PhD,Medical,Female,44,1,Single,5.3,BD Manager,164964.65,9023.56,5,3,No,No,Very High,0-2 years,36-45
EMP1071,Operations,PhD,Technical,Female,61,0,Divorced,15.6,Operations Manager,101731.37,9305.08,1,5,Yes,No,High,,55+
EMP1072,R&D,Master,Other,Female,42,5,Married,54.9,Lab Technician,64325.93,7696.48,4,5,No,Yes,Medium,3-5 years,36-45
EMP1073,HR,Bachelor,Life Sciences,Female,37,5,Divorced,28.2,Recruiter,51374.17,5660.03,2,2,No,Yes,Medium,3-5 years,36-45
EMP1074,Technology,Bachelor,Medical,Female,39,1,Single,0.4,Data Scientist,92099.81,2923.05,3,3,Yes,No,Medium,0-2 years,36-45
EMP1075,Finance,Bachelor,Life Sciences,Male,45,15,Divorced,34.3,Controller,106251.74,14982.57,4,5,No,No,High,10+ years,36-45
EMP1076,Operations,PhD,Life Sciences,Male,47,0,Divorced,22.9,Supply Chain Analyst,98181.85,16632.16,3,5,No,No,Medium,,46-55
EMP1077,Finance,High School,Technical,Male,46,2,Married,22.7,CFO,116768.14,17823.26,1,5,No,No,High,0-2 years,46-55
EMP1078,Customer Service,High School,Other,Male,62,14,Single,9.2,Customer Support,43498.9,2714.5,5,2,Yes,No,Low,10+ years,55+
EMP1079,R&D,Bachelor,Marketing,Male,50,2,Single,7.6,Lab Technician,47578.1,4265.6,2,2,Yes,Yes,Low,0-2 years,46-55
EMP1080,Customer Service,Master,Other,Female,36,5,Married,5.4,Customer Support,59833.74,2914.39,4,3,No,No,Medium,3-5 years,36-45
EMP1081,Marketing,Bachelor,Medical,Male,22,2,Married,1.0,Marketing Specialist,55653.57,5924.29,2,4,No,No,Medium,0-2 years,18-25
EMP1082,HR,Bachelor,Other,Male,46,1,Married,3.9,CHRO,115363.27,13629.18,3,3,No,No,High,0-2 years,46-55
EMP1083,Marketing,Master,Life Sciences,Male,28,20,Divorced,4.2,CMO,216922.81,25495.28,3,5,Yes,No,Very High,10+ years,26-35
EMP1084,Finance,Bachelor,Marketing,Female,30,2,Single,9.9,CFO,126815.87,19920.55,5,5,No,Yes,High,0-2 years,26-35
EMP1085,HR,Master,Other,Male,45,11,Married,20.6,HR Manager,123749.35,8116.88,3,1,No,No,High,10+ years,36-45
EMP1086,R&D,Master,Marketing,Male,22,1,Married,9.6,Research Scientist,100573.08,13205.78,5,3,Yes,Yes,High,0-2 years,18-25
EMP1087,R&D,High School,Other,Male,29,1,Single,0.9,Lab Technician,35681.72,4981.86,4,5,No,No,Low,0-2 years,26-35
EMP1088,Operations,Master,Marketing,Female,45,0,Divorced,47.5,Logistics Coordinator,63312.67,4159.65,5,5,No,Yes,Medium,,36-45
EMP1089,Finance,Bachelor,Other,Male,32,5,Divorced,42.9,CFO,129298.72,6624.78,3,4,Yes,No,High,3-5 years,26-35
EMP1090,Marketing,Master,Medical,Male,38,2,Divorced,23.1,CMO,156262.21,29763.84,1,1,Yes,Yes,Very High,0-2 years,36-45
EMP1091,Customer Service,Bachelor,Marketing,Female,29,9,Single,71.2,Customer Support,43016.96,5298.88,5,3,No,No,Low,6-10 years,26-35
EMP1092,Technology,Master,Technical,Male,56,3,Divorced,11.8,Software Engineer,116116.39,10509.38,2,2,No,No,High,3-5 years,55+
EMP1093,Sales,High School,Life Sciences,Male,56,17,Divorced,49.4,Sales Representative,55766.59,3208.26,1,3,No,Yes,Medium,10+ years,55+
EMP1094,Technology,Bachelor,Marketing,Female,54,1,Single,1.2,IT Support,54207.77,5154.84,5,3,No,No,Medium,0-2 years,46-55
EMP1095,Marketing,Bachelor,Life Sciences,Male,26,10,Single,6.8,SEO Analyst,74529.55,1219.22,2,4,Yes,No,Medium,6-10 years,26-35
EMP1096,Marketing,Bachelor,Other,Male,63,7,Married,3.8,Marketing Specialist,61395.05,2145.05,1,3,No,No,Medium,6-10 years,55+
EMP1097,R&D,Master,Other,Female,60,7,Single,3.3,Lab Technician,70107.91,3763.43,5,4,No,No,Medium,6-10 years,55+
EMP1098,Technology,High School,Other,Female,62,9,Divorced,2.3,IT Support,51444.24,7418.18,4,4,Yes,No,Medium,6-10 years,55+
EMP1099,R&D,High School,Other,Male,49,7,Single,14.6,Lab Technician,40319.99,5282.79,2,5,No,No,Low,6-10 years,46-55
EMP1100,R&D,High School,Other,Male,28,4,Divorced,22.8,Research Scientist,70434.1,9346.32,4,2,Yes,No,Medium,3-5 years,26-35
EMP1101,Customer Service,High School,Medical,Female,30,0,Married,13.0,Service Manager,45608.44,955.42,3,4,Yes,Yes,Low,,26-35
EMP1102,HR,Master,Life Sciences,Female,29,0,Divorced,2.4,HR Manager,90098.72,4462.15,5,1,Yes,No,Medium,,26-35
EMP1103,Sales,Bachelor,Marketing,Male,33,12,Divorced,25.0,BD Manager,119791.84,18047.29,5,1,Yes,No,High,10+ years,26-35
EMP1104,Technology,PhD,Medical,Male,55,4,Divorced,15.2,IT Support,103960.87,8745.56,2,2,No,No,High,3-5 years,46-55
EMP1105,HR,High School,Medical,Male,54,7,Single,7.4,HR Specialist,44485.89,7862.51,5,4,No,No,Low,6-10 years,46-55
EMP1106,Operations,PhD,Medical,Male,44,3,Divorced,16.8,Operations Manager,108321.0,2849.2,3,2,No,No,High,3-5 years,36-45
EMP1107,Technology,Master,Medical,Male,45,0,Single,4.5,DevOps,106948.65,4825.33,5,5,No,No,High,,36-45
EMP1108,HR,Master,Medical,Female,58,0,Married,6.4,Recruiter,58569.4,7754.06,1,1,No,Yes,Medium,,55+
EMP1109,R&D,PhD,Life Sciences,Female,56,5,Married,37.4,Lab Technician,73844.86,3527.88,4,3,No,No,Medium,3-5 years,55+
EMP1110,Marketing,Bachelor,Marketing,Female,61,2,Married,5.1,SEO Analyst,64373.12,5550.16,3,1,No,Yes,Medium,0-2 years,55+
EMP1111,Customer Service,PhD,Life Sciences,Female,43,1,Divorced,9.5,Service Manager,107667.92,11044.14,3,4,No,No,High,0-2 years,36-45
EMP1112,Sales,Master,Marketing,Female,48,3,Divorced,33.1,Account Executive,88705.46,12009.34,4,2,No,No,Medium,3-5 years,46-55
EMP1113,HR,PhD,Medical,Female,56,0,Married,18.5,Recruiter,69908.09,3504.05,4,1,No,No,Medium,,55+
EMP1114,Marketing,High School,Medical,Male,22,4,Married,1.0,SEO Analyst,50810.5,2682.17,3,3,Yes,No,Medium,3-5 years,18-25
EMP1115,Technology,High School,Other,Male,56,1,Single,2.4,CTO,112978.78,17145.35,4,3,No,No,High,0-2 years,55+
EMP1116,HR,Bachelor,Technical,Female,58,7,Single,0.1,CHRO,135012.5,25018.65,2,2,No,Yes,High,6-10 years,55+
EMP1117,Finance,PhD,Technical,Female,35,1,Married,15.0,Accountant,88230.95,7761.91,4,2,No,No,Medium,0-2 years,26-35
EMP1118,Marketing,PhD,Life Sciences,Female,24,3,Married,8.9,SEO Analyst,99465.81,12636.07,1,1,Yes,No,Medium,3-5 years,18-25
EMP1119,Operations,PhD,Life Sciences,Female,22,0,Married,2.2,Supply Chain Analyst,99066.05,7560.34,1,4,No,Yes,Medium,,18-25
EMP1120,Marketing,PhD,Marketing,Female,26,0,Married,47.5,CMO,189774.08,9555.37,2,5,No,No,Very High,,26-35
EMP1121,Sales,Bachelor,Other,Male,47,2,Divorced,11.3,BD Manager,101729.09,12121.47,4,3,Yes,No,High,0-2 years,46-55
EMP1122,Operations,Master,Marketing,Male,35,3,Divorced,4.2,Supply Chain Analyst,75428.08,5933.17,1,2,No,Yes,Medium,3-5 years,26-35
EMP1123,Customer Service,Bachelor,Other,Female,60,4,Single,10.4,Support Specialist,51649.39,4975.75,5,5,Yes,No,Medium,3-5 years,55+
EMP1124,Sales,Master,Technical,Female,48,1,Married,17.1,Sales Manager,122639.84,6418.21,4,5,No,No,High,0-2 years,46-55
EMP1125,Technology,Master,Technical,Female,30,5,Divorced,1.2,IT Support,80990.08,8975.4,2,5,No,Yes,Medium,3-5 years,26-35
EMP1126,Operations,Master,Other,Female,36,9,Divorced,4.8,Operations Manager,117142.26,5876.04,4,4,No,No,High,6-10 years,36-45
EMP1127,HR,PhD,Marketing,Female,36,7,Divorced,24.7,Recruiter,76357.91,16156.8,3,2,No,Yes,Medium,6-10 years,36-45
EMP1128,Finance,Bachelor,Life Sciences,Male,47,0,Divorced,9.2,Controller,84616.08,7870.6,3,3,No,No,Medium,,46-55
EMP1129,Sales,Master,Other,Female,63,3,Married,11.9,Sales Representative,70302.9,7601.69,1,2,Yes,Yes,Medium,3-5 years,55+
EMP1130,Finance,High School,Other,Male,34,0,Married,8.5,CFO,105700.12,11921.87,3,1,Yes,No,High,,26-35
EMP1131,Technology,Master,Other,Male,53,1,Divorced,0.7,Data Scientist,123487.43,3572.39,2,3,Yes,Yes,High,0-2 years,46-55
EMP1132,Technology,Bachelor,Marketing,Male,60,21,Married,2.7,Data Scientist,130531.52,13321.55,1,2,Yes,No,High,10+ years,55+
EMP1133,Customer Service,PhD,Life Sciences,Female,53,0,Divorced,8.8,Customer Support,59223.35,4944.54,2,3,No,Yes,Medium,,46-55
EMP1134,Technology,High School,Marketing,Female,25,3,Divorced,3.5,Data Scientist,78815.75,8541.31,2,1,No,Yes,Medium,3-5 years,18-25
EMP1135,Marketing,Master,Medical,Female,51,4,Single,0.8,CMO,157113.02,10403.77,3,3,Yes,No,Very High,3-5 years,46-55
EMP1136,Marketing,PhD,Medical,Male,58,6,Single,27.8,Marketing Specialist,103179.82,9979.99,3,5,Yes,No,High,6-10 years,55+
EMP1137,Customer Service,Bachelor,Other,Female,44,4,Married,59.6,Service Manager,61026.45,947.12,2,4,No,Yes,Medium,3-5 years,36-45
EMP1138,Marketing,Bachelor,Other,Female,60,0,Single,23.6,CMO,109405.57,14882.51,3,1,No,Yes,High,,55+
EMP1139,HR,High School,Other,Female,36,1,Single,28.8,HR Manager,61840.96,8659.49,3,3,No,No,Medium,0-2 years,36-45
EMP1140,R&D,High School,Life Sciences,Male,64,3,Married,4.2,Research Scientist,64811.32,8772.14,3,1,No,No,Medium,3-5 years,55+
EMP1141,Finance,Master,Life Sciences,Female,50,0,Single,48.5,Accountant,76818.36,9276.44,4,5,No,No,Medium,,46-55
EMP1142,Finance,PhD,Other,Female,57,2,Married,3.3,Financial Analyst,109825.27,3933.79,2,4,Yes,No,High,0-2 years,55+
EMP1143,HR,PhD,Life Sciences,Male,34,0,Single,45.4,HR Specialist,77527.69,10019.95,5,1,No,No,Medium,,26-35
EMP1144,R&D,Bachelor,Technical,Male,53,0,Single,78.9,Lab Technician,47727.11,4860.76,2,5,Yes,Yes,Low,,46-55
EMP1145,Operations,Bachelor,Other,Female,28,2,Single,18.7,Logistics Coordinator,47177.01,7317.04,1,5,Yes,No,Low,0-2 years,26-35
EMP1146,Customer Service,Master,Technical,Male,43,0,Married,59.6,Service Manager,71436.77,1171.21,3,5,Yes,No,Medium,,36-45
EMP1147,Customer Service,Master,Marketing,Female,49,4,Single,12.6,Support Specialist,64012.09,2412.29,3,3,No,No,Medium,3-5 years,46-55
EMP1148,Technology,Bachelor,Technical,Female,23,5,Divorced,4.5,Data Scientist,113027.59,6877.14,5,2,No,Yes,High,3-5 years,18-25
EMP1149,Finance,Bachelor,Marketing,Female,63,8,Single,8.6,Accountant,62476.95,8100.99,1,1,Yes,Yes,Medium,6-10 years,55+
EMP1150,Finance,PhD,Marketing,Male,27,1,Married,13.5,Financial Analyst,101758.85,18427.58,4,2,No,No,High,0-2 years,26-35
EMP1151,Technology,PhD,Other,Male,49,0,Single,1.1,Software Engineer,118872.82,14231.78,2,5,No,No,High,,46-55
EMP1152,Operations,PhD,Other,Female,49,0,Single,14.6,Logistics Coordinator,66980.82,3589.46,4,2,No,No,Medium,,46-55
EMP1153,Sales,Master,Marketing,Female,41,5,Divorced,59.6,BD Manager,134023.4,5386.08,1,5,Yes,Yes,High,3-5 years,36-45
EMP1154,Finance,PhD,Life Sciences,Male,51,6,Divorced,3.2,Financial Analyst,118708.96,6525.02,5,5,No,No,High,6-10 years,46-55
EMP1155,Finance,High School,Medical,Female,32,0,Single,23.6,Accountant,40309.42,1713.15,1,4,No,No,Low,,26-35
EMP1156,Sales,High School,Technical,Male,49,13,Married,35.8,Sales Representative,54830.85,4062.8,5,4,Yes,No,Medium,10+ years,46-55
EMP1157,Technology,PhD,Marketing,Female,46,0,Married,43.2,CTO,244626.82609999998,13758.3,4,2,Yes,Yes,Very High,,46-55
EMP1158,Sales,PhD,Medical,Male,60,3,Divorced,48.3,Account Executive,112149.88,7685.98,4,1,Yes,No,High,3-5 years,55+
EMP1159,Finance,Bachelor,Other,Female,54,6,Divorced,11.1,CFO,155164.13,8438.06,1,2,Yes,No,Very High,6-10 years,46-55
EMP1160,Technology,Bachelor,Other,Female,22,10,Single,56.8,DevOps,93435.81,1117.35,1,1,No,No,Medium,6-10 years,18-25
EMP1161,Sales,Master,Marketing,Female,48,6,Married,21.2,Sales Manager,123186.72,15106.58,3,2,No,No,High,6-10 years,46-55
EMP1162,Operations,High School,Life Sciences,Female,34,8,Married,2.6,Logistics Coordinator,42846.54,4640.69,5,3,No,No,Low,6-10 years,26-35
EMP1163,Technology,High School,Marketing,Male,62,2,Married,9.7,Software Engineer,70935.03,4755.92,3,3,Yes,No,Medium,0-2 years,55+
EMP1164,Finance,Master,Technical,Male,24,8,Married,19.0,Controller,135447.03,16533.07,2,1,No,Yes,High,6-10 years,18-25
EMP1165,HR,PhD,Medical,Male,60,0,Divorced,4.3,Recruiter,68789.8,2036.13,2,4,No,Yes,Medium,,55+
EMP1166,Customer Service,PhD,Life Sciences,Male,27,11,Divorced,15.4,Support Specialist,95585.38,15824.06,1,1,No,Yes,Medium,10+ years,26-35
EMP1167,Finance,Master,Marketing,Female,29,3,Single,16.5,Financial Analyst,82840.53,12029.09,4,2,No,No,Medium,3-5 years,26-35
EMP1168,Marketing,High School,Technical,Male,48,8,Married,2.7,Marketing Specialist,54869.36,4183.69,2,5,Yes,Yes,Medium,6-10 years,46-55
EMP1169,Customer Service,High School,Technical,Female,30,3,Single,12.5,Service Manager,55672.29,2764.34,2,3,No,Yes,Medium,3-5 years,26-35
EMP1170,Finance,PhD,Life Sciences,Female,58,5,Single,22.2,CFO,214026.55,29034.85,3,5,No,No,Very High,3-5 years,55+
EMP1171,Customer Service,Bachelor,Technical,Female,54,3,Single,10.4,Customer Support,44283.12,1170.22,3,3,No,Yes,Low,3-5 years,46-55
EMP1172,R&D,Master,Technical,Female,63,6,Single,0.2,Research Scientist,99159.84,9111.03,2,2,No,No,Medium,6-10 years,55+
EMP1173,Finance,Master,Technical,Male,45,0,Divorced,0.1,Financial Analyst,82901.65,2755.15,1,3,Yes,No,Medium,,36-45
EMP1174,Technology,PhD,Technical,Female,36,0,Divorced,6.6,CTO,240781.6,34988.69,3,1,Yes,No,Very High,,36-45
EMP1175,Technology,Master,Marketing,Male,53,1,Married,39.1,Software Engineer,107790.97,1669.36,2,5,No,Yes,High,0-2 years,46-55
EMP1176,R&D,High School,Life Sciences,Male,53,0,Married,3.9,Research Director,82626.25,7896.59,4,5,No,No,Medium,,46-55
EMP1177,Operations,PhD,Medical,Male,45,10,Divorced,15.1,Operations Manager,139030.1,6725.1,3,2,No,No,High,6-10 years,36-45
EMP1178,R&D,High School,Medical,Male,62,1,Married,3.8,Research Scientist,60970.84,7128.72,2,5,Yes,Yes,Medium,0-2 years,55+
EMP1179,R&D,Bachelor,Technical,Male,33,18,Divorced,5.8,Research Director,137202.0,8167.43,5,2,No,Yes,High,10+ years,26-35
EMP1180,Customer Service,Master,Marketing,Male,60,2,Divorced,28.3,Customer Support,58952.96,5273.89,3,4,No,Yes,Medium,0-2 years,55+
EMP1181,Sales,Master,Technical,Female,23,1,Married,19.6,Account Executive,77951.38,7984.18,5,1,No,No,Medium,0-2 years,18-25
EMP1182,Technology,High School,Technical,Female,24,7,Married,1.5,DevOps,85001.01,6692.88,3,3,Yes,No,Medium,6-10 years,18-25
EMP1183,Sales,PhD,Marketing,Male,58,5,Divorced,8.4,Account Executive,104930.7,6449.57,3,3,Yes,No,High,3-5 years,55+
EMP1184,R&D,PhD,Other,Female,38,3,Divorced,0.4,Research Director,171250.8,21310.66,5,3,No,No,Very High,3-5 years,36-45
EMP1185,Operations,Master,Life Sciences,Male,23,4,Divorced,9.8,Logistics Coordinator,60404.31,6580.74,1,4,No,No,Medium,3-5 years,18-25
EMP1186,Technology,High School,Medical,Male,23,6,Divorced,16.3,IT Support,45654.76,3313.16,2,1,No,Yes,Low,6-10 years,18-25
EMP1187,Finance,Bachelor,Marketing,Male,49,1,Divorced,1.9,CFO,131004.97,11982.5,1,5,No,No,High,0-2 years,46-55
EMP1188,Finance,High School,Medical,Male,44,28,Married,5.1,Financial Analyst,83455.55,3398.6,1,5,No,Yes,Medium,10+ years,36-45
EMP1189,Finance,PhD,Marketing,Male,58,18,Married,7.6,Accountant,116830.46,10137.59,2,1,Yes,No,High,10+ years,55+
EMP1190,Customer Service,Master,Marketing,Female,53,5,Married,37.8,Support Specialist,58617.26,3574.65,4,1,Yes,Yes,Medium,3-5 years,46-55
EMP1191,Marketing,Master,Other,Male,54,1,Divorced,75.0,SEO Analyst,81142.63,4097.78,1,3,Yes,No,Medium,0-2 years,46-55
EMP1192,R&D,Master,Technical,Female,22,5,Single,0.7,Lab Technician,69528.93,5110.84,1,5,No,No,Medium,3-5 years,18-25
EMP1193,Marketing,Bachelor,Life Sciences,Female,40,0,Married,21.5,Content Writer,43948.94,1819.63,1,1,No,No,Low,,36-45
