transaction_id,customer_id,transaction_type,amount,date,merchant,location,is_fraudulent
TXN100067,BANK11281,Deposit,13.19,2023-10-07,Spotify,In-Store,0
TXN100068,BANK12835,Transfer,108.67,2023-02-10,Apple,In-Store,0
TXN100069,BANK13781,Withdrawal,-41.68,2023-01-18,Electric Co,ATM,0
TXN100070,BANK19530,Payment,-60.8,2023-09-14,Starbucks,In-Store,0
TXN100071,BANK19111,Deposit,2.49,2023-05-25,Mortgage Co,Online,0
TXN100072,BANK14232,Withdrawal,-58.1,2023-08-06,Amazon,Online,0
TXN100073,BANK17989,Payment,-27.41,2023-10-04,Walmart,ATM,0
TXN100074,BANK12795,Transfer,57.82,2023-05-10,Google,In-Store,0
TXN100075,BANK13850,Withdrawal,-48.45,2023-12-07,Netflix,In-Store,0
TXN100076,BANK10475,Deposit,236.12,2023-03-16,Google,ATM,0
TXN100077,BANK13551,Transfer,43.28,2023-06-20,Water Co,In-Store,0
TXN100078,BANK14437,Deposit,40.75,2023-02-25,Water Co,ATM,0
TXN100079,BANK12159,Withdrawal,-2.08,2023-07-16,Water Co,In-Store,0
TXN100080,BANK10764,Payment,-87.59,2023-10-05,Google,Online,0
TXN100081,BANK12081,Transfer,41.1,2023-04-20,Apple,In-Store,0
TXN100082,BANK18850,Purchase,9.63,2023-02-21,Mortgage Co,Online,0
TXN100083,BANK14849,Purchase,4.86,2023-01-10,Google,In-Store,0
TXN100084,BANK17511,Transfer,12.5,2023-10-08,Mortgage Co,Online,0
TXN100085,BANK11115,Withdrawal,-164.02,2023-06-01,Walmart,Online,0
TXN100086,BANK19527,Deposit,699.73,2023-07-23,Netflix,ATM,1
TXN100087,BANK10268,Transfer,12.64,2023-06-26,Spotify,Online,0
TXN100088,BANK11488,Deposit,4.9,2023-07-15,Mortgage Co,Online,0
TXN100089,BANK17441,Withdrawal,-91.35,2023-12-14,Starbucks,Online,0
TXN100090,BANK12671,Transfer,11.86,2023-05-16,Spotify,In-Store,0
TXN100091,BANK12677,Withdrawal,-82.45,2023-11-18,Amazon,Online,0
TXN100092,BANK12169,Transfer,75.37,2023-12-31,Walmart,ATM,0
TXN100093,BANK14795,Purchase,4.12,2023-04-04,Electric Co,ATM,0
TXN100094,BANK10853,Withdrawal,-23.41,2023-04-09,Netflix,ATM,0
TXN100095,BANK16116,Withdrawal,-0.68,2023-04-01,Walmart,ATM,0
TXN100096,BANK10958,Purchase,76.2,2023-06-08,Starbucks,In-Store,0
TXN100097,BANK17198,Payment,-10.59,2023-07-09,Starbucks,In-Store,0
TXN100098,BANK16776,Withdrawal,-6.53,2023-05-09,Water Co,In-Store,0
TXN100099,BANK14242,Transfer,20.07,2023-06-15,Google,In-Store,0
TXN100100,BANK18953,Transfer,15.78,2023-05-11,Google,Online,0
TXN100101,BANK17578,Payment,-9.11,2023-02-14,Amazon,Online,0
TXN100102,BANK11664,Transfer,9.88,2023-12-28,Water Co,In-Store,0
TXN100103,BANK17803,Withdrawal,-17.43,2023-11-07,Spotify,ATM,0
TXN100104,BANK18113,Withdrawal,-20.76,2023-02-11,Electric Co,ATM,0
TXN100105,BANK15261,Purchase,118.32,2023-04-17,Amazon,In-Store,0
TXN100106,BANK14267,Purchase,428.87,2023-06-23,Starbucks,Online,0
TXN100107,BANK16781,Payment,-52.72,2023-06-01,Spotify,ATM,0
TXN100108,BANK11734,Purchase,24.12,2023-07-09,Amazon,In-Store,0
TXN100109,BANK19842,Deposit,2.11,2023-06-06,Starbucks,In-Store,0
TXN100110,BANK12996,Payment,-10.51,2023-04-05,Walmart,Online,0
TXN100111,BANK14320,Withdrawal,-2.41,2023-04-06,Apple,ATM,0
TXN100112,BANK10819,Payment,-2.78,2023-08-15,Walmart,Online,0
TXN100113,BANK16329,Payment,-51.9,2023-03-14,Google,ATM,0
TXN100114,BANK15894,Deposit,11.85,2023-07-25,Water Co,Online,0
TXN100115,BANK18873,Payment,-53.6,2023-02-27,Amazon,In-Store,0
TXN100116,BANK13725,Deposit,41.96,2023-10-08,Starbucks,Online,0
TXN100117,BANK18795,Transfer,14.25,2023-05-05,Water Co,In-Store,0
TXN100118,BANK17220,Transfer,4.47,2023-03-14,Google,Online,0
TXN100119,BANK12524,Purchase,12.7,2023-09-27,Netflix,ATM,0
TXN100120,BANK17686,Purchase,1.23,2023-06-07,Mortgage Co,Online,0
TXN100121,BANK12430,Deposit,5.72,2023-10-10,Water Co,In-Store,0
TXN100122,BANK15562,Deposit,778.66,2023-10-17,Mortgage Co,Online,0
TXN100123,BANK18286,Withdrawal,-17.15,2023-04-13,Mortgage Co,ATM,0
TXN100124,BANK11050,Transfer,124.68,2023-07-01,Water Co,Online,0
TXN100125,BANK12947,Payment,-4.61,2023-10-17,Google,Online,0
TXN100126,BANK12548,Withdrawal,-72.21,2023-10-27,Walmart,ATM,0
TXN100127,BANK15188,Deposit,9.53,2023-11-30,Walmart,In-Store,0
TXN100128,BANK19810,Purchase,20.92,2023-09-15,Amazon,In-Store,0
TXN100129,BANK10657,Deposit,4.29,2023-07-11,Electric Co,ATM,0
TXN100130,BANK19583,Transfer,62.05,2023-02-27,Google,Online,0
TXN100131,BANK15623,Withdrawal,-28.16,2023-01-31,Google,In-Store,0
TXN100132,BANK16312,Payment,-83.91,2023-02-16,Spotify,ATM,0
TXN100133,BANK16458,Payment,-33.52,2023-08-22,Spotify,Online,0
TXN100134,BANK18745,Deposit,373.59,2023-08-29,Amazon,In-Store,0
TXN100135,BANK14616,Purchase,28.35,2023-02-03,Walmart,Online,0
TXN100136,BANK14173,Deposit,28.17,2023-03-05,Google,ATM,0
TXN100137,BANK18308,Transfer,45.03,2023-05-23,Walmart,Online,0
TXN100138,BANK12415,Withdrawal,-903.85,2023-08-10,Walmart,Online,0
TXN100139,BANK14053,Withdrawal,-9.87,2023-08-18,Mortgage Co,Online,0
TXN100140,BANK17953,Transfer,3.64,2023-03-14,Mortgage Co,ATM,0
TXN100141,BANK14081,Purchase,14.29,2023-07-22,Starbucks,ATM,0
TXN100142,BANK13074,Purchase,10.15,2023-06-11,Starbucks,Online,0
TXN100143,BANK17395,Deposit,173.32,2023-08-29,Google,ATM,0
TXN100144,BANK19394,Deposit,30.59,2023-11-06,Walmart,ATM,0
TXN100145,BANK11250,Deposit,8.71,2023-04-08,Starbucks,In-Store,0
TXN100146,BANK13052,Withdrawal,-11.41,2023-09-13,Apple,Online,0
TXN100147,BANK11633,Withdrawal,-29.33,2023-04-01,Google,ATM,0
TXN100148,BANK12129,Deposit,3.34,2023-12-31,Walmart,ATM,0
TXN100149,BANK11385,Deposit,0.29,2023-02-23,Electric Co,ATM,0
TXN100150,BANK11408,Deposit,57.98,2023-10-11,Netflix,ATM,0
TXN100151,BANK10772,Purchase,7.84,2023-09-02,Netflix,Online,0
TXN100152,BANK11953,Deposit,858.7,2023-09-06,Walmart,In-Store,0
TXN100153,BANK18698,Withdrawal,-99.17,2023-11-30,Mortgage Co,Online,0
TXN100154,BANK17502,Withdrawal,-2.93,2023-05-08,Google,Online,0
TXN100155,BANK18413,Purchase,6.86,2023-06-29,Water Co,ATM,0
TXN100156,BANK10687,Deposit,25.26,2023-11-12,Walmart,In-Store,0
TXN100157,BANK13861,Transfer,164.68,2023-07-04,Amazon,ATM,0
TXN100158,BANK15679,Deposit,10.52,2023-12-17,Walmart,Online,0
TXN100159,BANK19057,Transfer,2.08,2023-01-05,Water Co,Online,0
TXN100160,BANK16814,Withdrawal,-354.36,2023-09-17,Water Co,ATM,1
TXN100161,BANK10819,Payment,-366.29,2023-05-22,Mortgage Co,Online,0
TXN100162,BANK11211,Withdrawal,-3.11,2023-12-29,Spotify,In-Store,0
TXN100163,BANK17445,Withdrawal,-27.81,2023-12-23,Google,In-Store,0
TXN100164,BANK10810,Deposit,1.01,2023-11-02,Google,Online,0
TXN100165,BANK17941,Deposit,58.11,2023-04-25,Water Co,ATM,0
TXN100166,BANK14773,Purchase,335.76,2023-07-14,Starbucks,In-Store,0
TXN100167,BANK10590,Payment,-62.48,2023-05-28,Electric Co,ATM,0
TXN100168,BANK13695,Transfer,10.43,2023-08-10,Electric Co,Online,0
TXN100169,BANK19801,Withdrawal,-12.61,2023-07-14,Spotify,ATM,0
TXN100170,BANK12474,Withdrawal,-220.22,2023-11-09,Mortgage Co,Online,0
TXN100171,BANK15775,Withdrawal,-73.35,2023-07-27,Google,ATM,0
TXN100172,BANK11696,Withdrawal,-11.23,2023-01-20,Amazon,Online,0
TXN100173,BANK19629,Transfer,46.42,2023-02-28,Amazon,Online,0
TXN100174,BANK14125,Deposit,17.47,2023-09-03,Walmart,In-Store,0
TXN100175,BANK15815,Payment,-9.35,2023-06-06,Netflix,Online,0
TXN100176,BANK12919,Transfer,325.81,2023-01-03,Netflix,Online,0
TXN100177,BANK19800,Withdrawal,-18.41,2023-10-17,Netflix,ATM,1
TXN100178,BANK15215,Transfer,29.05,2023-07-14,Water Co,In-Store,0
TXN100179,BANK11792,Transfer,147.59,2023-07-12,Walmart,ATM,0
TXN100180,BANK18093,Transfer,98.05,2023-08-05,Netflix,ATM,0
TXN100181,BANK11671,Withdrawal,-39.19,2023-04-04,Mortgage Co,ATM,0
TXN100182,BANK12828,Payment,-8.2,2023-03-20,Mortgage Co,Online,0
TXN100183,BANK12875,Withdrawal,-16.93,2023-05-08,Water Co,ATM,0
TXN100184,BANK12328,Withdrawal,-22.47,2023-05-18,Amazon,In-Store,0
TXN100185,BANK18064,Payment,-16.9,2023-08-01,Spotify,Online,0
TXN100186,BANK16353,Payment,-40.17,2023-03-06,Electric Co,In-Store,0
TXN100187,BANK14170,Purchase,11.48,2023-10-21,Apple,In-Store,0
TXN100188,BANK14092,Transfer,5.63,2023-12-17,Electric Co,ATM,0
TXN100189,BANK13609,Purchase,5.43,2023-08-19,Walmart,In-Store,0
TXN100190,BANK19135,Withdrawal,-73.35,2023-11-01,Google,ATM,0
TXN100191,BANK17444,Transfer,193.91,2023-02-27,Amazon,In-Store,0
TXN100192,BANK12978,Withdrawal,-28.2,2023-06-19,Spotify,ATM,0
TXN100193,BANK12679,Deposit,14.77,2023-03-02,Walmart,ATM,0
TXN100194,BANK10351,Withdrawal,-31.49,2023-12-30,Netflix,ATM,0
TXN100195,BANK15909,Withdrawal,-1.35,2023-05-15,Spotify,Online,0
TXN100196,BANK14739,Transfer,9.68,2023-04-09,Google,Online,0
TXN100197,BANK12451,Transfer,113.77,2023-01-14,Spotify,In-Store,0
TXN100198,BANK12364,Transfer,49.22,2023-11-05,Water Co,ATM,0
TXN100199,BANK11851,Transfer,10.82,2023-02-08,Walmart,In-Store,0
TXN100200,BANK16155,Purchase,27.61,2023-09-12,Spotify,Online,0
TXN100201,BANK12886,Purchase,8.16,2023-08-18,Mortgage Co,Online,0
TXN100202,BANK16174,Transfer,42.66,2023-11-18,Water Co,Online,0
TXN100203,BANK15251,Purchase,67.6,2023-10-09,Starbucks,In-Store,0
TXN100204,BANK14270,Purchase,42.22,2023-10-09,Mortgage Co,Online,0
TXN100205,BANK19684,Withdrawal,-16.33,2023-12-31,Starbucks,ATM,0
TXN100206,BANK16266,Transfer,37.5,2023-08-01,Mortgage Co,ATM,0
TXN100207,BANK13151,Purchase,6.86,2023-12-28,Mortgage Co,ATM,0
TXN100208,BANK13199,Payment,-64.03,2023-01-02,Starbucks,Online,0
TXN100209,BANK10024,Purchase,190.65,2023-01-04,Mortgage Co,ATM,0
TXN100210,BANK18840,Purchase,51.78,2023-11-09,Walmart,Online,0
TXN100211,BANK13203,Withdrawal,-19.49,2023-04-17,Spotify,ATM,0
TXN100212,BANK13315,Withdrawal,-0.95,2023-11-08,Water Co,ATM,0
TXN100213,BANK14749,Withdrawal,-10.86,2023-02-11,Netflix,ATM,0
TXN100214,BANK14823,Transfer,169.43,2023-11-18,Starbucks,Online,0
TXN100215,BANK14948,Purchase,22.32,2023-08-07,Water Co,Online,0
TXN100216,BANK17255,Transfer,10.87,2023-03-04,Water Co,Online,0
TXN100217,BANK10303,Withdrawal,-4.06,2023-09-11,Spotify,Online,0
TXN100218,BANK14992,Purchase,117.31,2023-10-04,Netflix,ATM,0
TXN100219,BANK18228,Purchase,28.16,2023-08-07,Electric Co,In-Store,0
TXN100220,BANK18496,Transfer,105.58,2023-02-23,Walmart,In-Store,0
TXN100221,BANK18177,Purchase,0.76,2023-01-19,Netflix,Online,0
TXN100222,BANK18332,Purchase,54.99,2023-08-02,Mortgage Co,In-Store,0
TXN100223,BANK19817,Payment,-4.24,2023-05-09,Apple,ATM,0
TXN100224,BANK19504,Transfer,34.62,2023-10-31,Water Co,ATM,0
TXN100225,BANK15416,Withdrawal,-13.26,2023-07-03,Google,Online,0
TXN100226,BANK10192,Transfer,13.14,2023-06-05,Google,ATM,0
TXN100227,BANK14439,Purchase,41.3,2023-05-19,Walmart,In-Store,0
TXN100228,BANK17612,Withdrawal,-14.84,2023-02-12,Starbucks,In-Store,0
TXN100229,BANK10340,Purchase,5.22,2023-08-08,Amazon,ATM,0
TXN100230,BANK12723,Purchase,14.26,2023-10-17,Amazon,ATM,0
TXN100231,BANK10169,Payment,-25.96,2023-04-06,Google,ATM,0
TXN100232,BANK16130,Purchase,13.96,2023-04-14,Electric Co,Online,0
TXN100233,BANK16185,Transfer,11.34,2023-12-03,Mortgage Co,Online,0
TXN100234,BANK18314,Purchase,4.74,2023-09-25,Google,ATM,0
TXN100235,BANK15723,Transfer,183.84,2023-02-04,Walmart,Online,0
TXN100236,BANK11169,Deposit,8.02,2023-03-10,Apple,In-Store,0
TXN100237,BANK15131,Withdrawal,-196.96,2023-11-01,Water Co,Online,0
TXN100238,BANK13104,Withdrawal,-97.47,2023-12-15,Water Co,ATM,0
TXN100239,BANK17343,Deposit,177.45,2023-12-15,Spotify,Online,0
TXN100240,BANK18140,Purchase,5.59,2023-01-28,Netflix,ATM,0
TXN100241,BANK14216,Payment,-19.69,2023-05-15,Starbucks,Online,0
TXN100242,BANK12976,Withdrawal,-19.39,2023-03-13,Spotify,In-Store,0
TXN100243,BANK16508,Purchase,33.02,2023-02-20,Mortgage Co,In-Store,0
TXN100244,BANK16998,Withdrawal,-16.93,2023-05-25,Mortgage Co,In-Store,0
TXN100245,BANK13427,Deposit,12.18,2024-01-01,Water Co,Online,0
TXN100246,BANK12620,Purchase,20.31,2023-01-29,Amazon,ATM,0
TXN100247,BANK19793,Purchase,9.19,2023-09-26,Water Co,ATM,0
TXN100248,BANK15186,Transfer,9.69,2023-01-11,Water Co,ATM,0
TXN100249,BANK16784,Deposit,59.97,2023-02-21,Apple,In-Store,0
TXN100250,BANK13820,Purchase,30.46,2023-08-24,Walmart,ATM,0
TXN100251,BANK14391,Purchase,0.8,2023-06-09,Starbucks,In-Store,0
TXN100252,BANK13030,Payment,-108.58,2023-09-21,Electric Co,In-Store,0
TXN100253,BANK17411,Payment,-75.26,2023-04-17,Netflix,Online,0
TXN100254,BANK18159,Purchase,10.66,2023-09-26,Electric Co,In-Store,0
TXN100255,BANK17768,Payment,-44.91,2023-04-22,Google,Online,0
TXN100256,BANK15224,Purchase,4.42,2023-08-06,Spotify,In-Store,0
TXN100257,BANK12793,Transfer,8.15,2023-02-15,Amazon,ATM,0
TXN100258,BANK12621,Payment,-22.25,2023-03-21,Netflix,Online,0
TXN100259,BANK15876,Payment,-4.53,2023-12-22,Mortgage Co,Online,0
TXN100260,BANK19293,Purchase,174.58,2023-09-22,Water Co,ATM,0
TXN100261,BANK12516,Payment,-6.35,2023-03-03,Apple,ATM,0
TXN100262,BANK10287,Purchase,103.72,2023-04-23,Water Co,ATM,0
TXN100263,BANK16854,Transfer,0.84,2023-03-13,Spotify,In-Store,0
TXN100264,BANK11319,Withdrawal,-23.81,2023-08-24,Electric Co,Online,0
TXN100265,BANK16543,Deposit,146.07,2023-11-26,Mortgage Co,ATM,0
TXN100266,BANK15722,Deposit,4.06,2023-05-27,Mortgage Co,Online,0
TXN100267,BANK18892,Payment,-15.3,2023-11-17,Google,Online,0
TXN100268,BANK11371,Deposit,5.15,2023-12-11,Apple,In-Store,0
TXN100269,BANK12322,Deposit,24.57,2023-09-24,Starbucks,ATM,0
TXN100270,BANK19905,Withdrawal,-16.85,2023-01-31,Electric Co,ATM,0
TXN100271,BANK12192,Withdrawal,-4.85,2023-09-11,Mortgage Co,Online,0
TXN100272,BANK10455,Deposit,247.02,2023-04-22,Mortgage Co,ATM,0
TXN100273,BANK16043,Purchase,24.47,2023-12-16,Starbucks,Online,0
TXN100274,BANK19383,Purchase,537.99,2023-01-02,Netflix,In-Store,0
TXN100275,BANK12583,Payment,-6.19,2023-05-26,Google,ATM,0
TXN100276,BANK12472,Deposit,12.56,2023-08-01,Netflix,In-Store,0
TXN100277,BANK19707,Purchase,1.61,2023-12-30,Starbucks,ATM,0
TXN100278,BANK14683,Deposit,0.47,2023-04-23,Water Co,Online,0
TXN100279,BANK11917,Transfer,181.11,2023-09-03,Amazon,In-Store,0
TXN100280,BANK11168,Purchase,4.02,2023-06-07,Amazon,In-Store,0
TXN100281,BANK15285,Withdrawal,-21.82,2023-08-23,Walmart,Online,0
TXN100282,BANK16725,Payment,-2.23,2023-06-27,Google,Online,0
TXN100283,BANK13577,Transfer,105.63,2023-04-10,Water Co,Online,0
TXN100284,BANK10688,Withdrawal,-12.52,2023-05-16,Electric Co,Online,0
TXN100285,BANK12484,Purchase,29.68,2023-12-10,Mortgage Co,ATM,0
TXN100286,BANK19689,Transfer,15.24,2023-04-14,Google,ATM,0
TXN100287,BANK15205,Payment,-89.98,2023-06-14,Electric Co,ATM,0
TXN100288,BANK15174,Deposit,174.14,2023-09-13,Starbucks,In-Store,0
TXN100289,BANK19528,Deposit,9.39,2023-07-30,Apple,Online,0
TXN100290,BANK16590,Withdrawal,-65.36,2023-01-04,Apple,Online,0
TXN100291,BANK13810,Withdrawal,-10.46,2023-07-10,Netflix,Online,0
TXN100292,BANK17141,Deposit,84.65,2023-05-14,Mortgage Co,Online,0
TXN100293,BANK14003,Purchase,5.04,2023-01-29,Apple,In-Store,0
TXN100294,BANK17590,Purchase,24.45,2023-02-14,Electric Co,In-Store,0
TXN100295,BANK12525,Purchase,13.0,2023-07-10,Walmart,In-Store,0
TXN100296,BANK16694,Transfer,77.03,2023-01-11,Walmart,Online,0
TXN100297,BANK12823,Transfer,4.93,2023-04-15,Apple,Online,0
TXN100298,BANK14860,Deposit,11.23,2023-07-07,Netflix,In-Store,0
TXN100299,BANK12947,Payment,-35.74,2023-05-07,Electric Co,In-Store,0
TXN100300,BANK10700,Payment,-43.61,2023-11-02,Netflix,In-Store,0
TXN100301,BANK17069,Purchase,7.0,2023-05-09,Spotify,In-Store,0
TXN100302,BANK16176,Purchase,52.53,2023-12-20,Electric Co,In-Store,0
TXN100303,BANK11245,Purchase,1509.35,2023-04-08,Netflix,ATM,0
TXN100304,BANK15492,Withdrawal,-19.96,2023-04-10,Starbucks,Online,0
TXN100305,BANK14246,Payment,-1.73,2023-09-24,Netflix,In-Store,0
TXN100306,BANK18427,Withdrawal,-23.97,2023-12-10,Mortgage Co,In-Store,0
TXN100307,BANK10443,Purchase,59.57,2023-05-23,Starbucks,ATM,0
TXN100308,BANK19031,Transfer,12.48,2023-03-02,Netflix,Online,0
TXN100309,BANK15564,Deposit,37.49,2023-10-26,Amazon,Online,0
TXN100310,BANK11590,Purchase,8.53,2023-06-04,Starbucks,Online,0
TXN100311,BANK13187,Payment,-72.21,2023-10-25,Amazon,ATM,0
TXN100312,BANK13354,Deposit,38.75,2023-06-14,Water Co,ATM,0
TXN100313,BANK11752,Purchase,41.09,2023-07-31,Apple,Online,0
TXN100314,BANK13654,Payment,-59.39,2023-04-21,Spotify,In-Store,0
TXN100315,BANK18819,Payment,-19.44,2023-09-08,Mortgage Co,ATM,0
TXN100316,BANK10662,Purchase,23.19,2023-10-08,Electric Co,ATM,0
TXN100317,BANK10714,Transfer,81.02,2023-01-30,Google,ATM,0
TXN100318,BANK14466,Deposit,48.54,2023-08-24,Walmart,ATM,0
TXN100319,BANK19402,Transfer,18.91,2023-05-25,Spotify,ATM,0
TXN100320,BANK18756,Withdrawal,-9.63,2023-07-06,Apple,In-Store,0
TXN100321,BANK13677,Deposit,1.51,2023-02-04,Water Co,In-Store,0
TXN100322,BANK12572,Purchase,28.56,2023-06-26,Electric Co,ATM,0
TXN100323,BANK11052,Deposit,14.89,2023-11-20,Water Co,Online,0
TXN100324,BANK11371,Deposit,35.91,2023-11-14,Netflix,In-Store,0
TXN100325,BANK12896,Deposit,4.4,2023-10-15,Apple,In-Store,0
TXN100326,BANK12487,Deposit,116.65,2023-07-24,Starbucks,In-Store,0
TXN100327,BANK11546,Withdrawal,-111.79,2023-12-07,Netflix,ATM,0
TXN100328,BANK12832,Payment,-60.93,2023-06-19,Spotify,In-Store,0
TXN100329,BANK11249,Payment,-30.72,2023-12-04,Starbucks,ATM,0
TXN100330,BANK16096,Purchase,6.4,2023-08-16,Netflix,In-Store,0
TXN100331,BANK14850,Withdrawal,-577.74,2023-04-29,Electric Co,In-Store,0
TXN100332,BANK18378,Withdrawal,-83.77,2023-02-11,Google,ATM,1
TXN100333,BANK11845,Payment,-19.54,2023-08-26,Netflix,ATM,0
TXN100334,BANK16102,Withdrawal,-3.16,2023-10-28,Water Co,ATM,0
TXN100335,BANK18819,Withdrawal,-17.86,2023-10-16,Netflix,In-Store,0
TXN100336,BANK12517,Deposit,16.4,2023-10-04,Google,ATM,0
TXN100337,BANK17134,Deposit,53.64,2023-07-05,Apple,ATM,0
TXN100338,BANK18903,Payment,-15.47,2023-02-21,Amazon,Online,0
TXN100339,BANK16834,Transfer,0.81,2023-06-01,Mortgage Co,In-Store,0
TXN100340,BANK18778,Purchase,4.71,2023-08-13,Apple,ATM,0
TXN100341,BANK18183,Transfer,87.33,2023-08-05,Spotify,Online,0
TXN100342,BANK16577,Transfer,5.46,2023-03-17,Google,Online,0
TXN100343,BANK14881,Payment,-4.33,2023-02-21,Apple,In-Store,0
TXN100344,BANK10138,Deposit,52.83,2023-03-29,Amazon,Online,0
TXN100345,BANK11703,Purchase,24.95,2023-04-02,Walmart,In-Store,0
TXN100346,BANK19549,Payment,-3.63,2023-10-13,Apple,ATM,0
TXN100347,BANK11797,Payment,-89.23,2023-07-18,Spotify,In-Store,0
TXN100348,BANK18697,Transfer,4.92,2023-07-27,Walmart,ATM,0
