customer_id,signup_date,location,tier,loyalty_score
CUST10098,2020-06-15,New York,Silver,68.48
CUST10099,2021-01-14,Phoenix,Basic,64.68
CUST10100,2020-12-29,Houston,Gold,36.27
CUST10101,2020-08-02,New York,Platinum,48.75
CUST10102,2021-11-17,New York,Platinum,39.04
CUST10103,2020-09-30,San Antonio,Gold,67.41
CUST10104,2021-12-19,Dallas,Silver,55.43
CUST10105,2022-08-17,Phoenix,Gold,72.33
CUST10106,2021-11-30,Dallas,Basic,40.58
CUST10107,2021-10-25,San Antonio,Gold,53.97
CUST10108,2020-03-14,San Antonio,Silver,41.48
CUST10109,2021-09-15,San Antonio,Platinum,87.96
CUST10110,2021-10-12,Los Angeles,Platinum,88.56
CUST10111,2020-06-24,Dallas,Platinum,12.49
CUST10112,2021-06-30,Dallas,Platinum,28.26
CUST10113,2022-01-16,San Jose,Gold,24.04
CUST10114,2020-09-07,Chicago,Platinum,8.22
CUST10115,2020-06-16,Phoenix,Basic,76.58
CUST10116,2021-04-18,Los Angeles,Platinum,72.9
CUST10117,2021-01-23,Phoenix,Gold,69.59
CUST10118,2020-10-03,Los Angeles,Silver,60.03
CUST10119,2022-08-05,Dallas,Platinum,58.8
CUST10120,2021-10-17,Houston,Platinum,86.84
CUST10121,2021-12-05,Chicago,Basic,46.13
CUST10122,2021-07-24,Dallas,Basic,23.3
CUST10123,2020-08-12,Philadelphia,Gold,65.9
CUST10124,2021-12-02,San Antonio,Platinum,54.56
CUST10125,2020-11-28,San Jose,Silver,16.8
CUST10126,2022-05-13,Los Angeles,Silver,36.75
CUST10127,2022-02-25,Phoenix,Platinum,60.27
CUST10128,2022-03-05,San Antonio,Basic,90.43
CUST10129,2020-02-27,Houston,Gold,41.55
CUST10130,2020-08-22,New York,Platinum,31.33
CUST10131,2022-04-21,Houston,Platinum,75.08
CUST10132,2020-02-02,Los Angeles,Basic,35.36
CUST10133,2022-04-04,San Antonio,Platinum,10.3
CUST10134,2020-11-19,Los Angeles,Gold,65.14
CUST10135,2021-02-14,San Diego,Silver,56.21
CUST10136,2020-10-01,San Jose,Silver,56.6
CUST10137,2020-03-08,San Jose,Gold,73.22
CUST10138,2020-08-04,New York,Silver,62.02
CUST10139,2022-07-24,Phoenix,Platinum,58.24
CUST10140,2022-08-23,Chicago,Gold,45.06
CUST10141,2021-08-03,Los Angeles,Basic,30.47
CUST10142,2022-06-16,New York,Basic,11.23
CUST10143,2022-01-05,Chicago,Basic,63.55
CUST10144,2020-11-18,New York,Basic,54.5
CUST10145,2020-08-05,Chicago,Platinum,31.12
CUST10146,2021-11-02,San Diego,Platinum,14.79
CUST10147,2021-05-26,Philadelphia,Basic,46.29
CUST10148,2021-02-09,Dallas,Platinum,68.18
CUST10149,2022-06-24,Dallas,Gold,64.79
CUST10150,2022-07-25,Phoenix,Gold,26.54
CUST10151,2021-10-20,Chicago,Gold,38.79
CUST10152,2021-04-14,Philadelphia,Basic,27.38
CUST10153,2020-05-26,Chicago,Basic,15.81
CUST10154,2020-09-28,Phoenix,Basic,89.46
CUST10155,2020-05-22,Los Angeles,Platinum,35.68
CUST10156,2020-09-09,New York,Silver,76.44
CUST10157,2022-02-01,Philadelphia,Silver,36.25
CUST10158,2021-07-28,San Antonio,Platinum,64.07
CUST10159,2021-07-05,Phoenix,Basic,68.64
CUST10160,2020-09-26,Dallas,Basic,54.72
CUST10161,2022-02-03,Los Angeles,Platinum,64.29
CUST10162,2021-08-21,Phoenix,Gold,65.39
CUST10163,2021-03-14,San Jose,Gold,70.53
CUST10164,2022-07-08,Los Angeles,Platinum,20.81
CUST10165,2021-08-20,San Diego,Platinum,25.64
CUST10166,2021-02-12,San Diego,Gold,95.77
CUST10167,2021-01-05,Dallas,Gold,9.81
CUST10168,2020-08-12,Philadelphia,Silver,28.29
CUST10169,2020-05-21,New York,Silver,59.01
CUST10170,2021-06-05,San Diego,Silver,61.06
CUST10171,2021-05-20,San Jose,Basic,75.69
CUST10172,2020-04-03,Chicago,Gold,65.86
CUST10173,2022-02-12,Philadelphia,Basic,79.44
CUST10174,2020-02-18,Chicago,Platinum,29.29
CUST10175,2022-05-31,Phoenix,Basic,5.6
CUST10176,2020-04-22,Los Angeles,Basic,77.55
CUST10177,2020-06-05,San Jose,Platinum,39.37
CUST10178,2021-10-04,Los Angeles,Basic,26.32
CUST10179,2020-06-12,Houston,Basic,81.13
CUST10180,2022-03-22,Dallas,Silver,31.3
CUST10181,2021-11-27,New York,Platinum,33.1
CUST10182,2021-03-08,New York,Platinum,55.61
CUST10183,2021-09-02,New York,Platinum,68.21
CUST10184,2020-03-06,Houston,Platinum,50.15
CUST10185,2021-01-29,New York,Gold,78.0
CUST10186,2021-01-25,San Diego,Gold,22.91
CUST10187,2021-09-02,Philadelphia,Platinum,72.75
CUST10188,2021-04-24,San Antonio,Gold,81.5
CUST10189,2021-06-25,Chicago,Basic,56.55
CUST10190,2020-09-14,Chicago,Silver,60.54
CUST10191,2022-09-21,New York,Silver,23.35
CUST10192,2021-07-20,Dallas,Basic,95.84
CUST10193,2022-05-31,San Antonio,Silver,33.57
CUST10194,2022-08-23,Houston,Basic,44.95
CUST10195,2020-01-12,Philadelphia,Basic,82.44
CUST10196,2021-11-27,Houston,Silver,31.14
CUST10197,2022-01-08,San Antonio,Basic,52.83
CUST10198,2020-04-27,Philadelphia,Silver,25.37
CUST10199,2021-11-29,Phoenix,Platinum,66.31
CUST10200,2022-06-25,Los Angeles,Silver,80.42
CUST10201,2021-07-03,San Jose,Silver,23.98
CUST10202,2022-02-07,Philadelphia,Platinum,12.15
CUST10203,2020-09-30,Los Angeles,Silver,3.22
CUST10204,2022-02-26,Dallas,Basic,32.1
CUST10205,2021-10-18,New York,Gold,49.32
CUST10206,2020-12-14,Chicago,Platinum,87.84
CUST10207,2020-04-24,Houston,Silver,56.84
CUST10208,2020-10-27,Dallas,Platinum,55.55
CUST10209,2021-03-21,New York,Platinum,73.53
CUST10210,2020-06-10,San Antonio,Basic,58.94
CUST10211,2021-04-09,Los Angeles,Basic,38.08
CUST10212,2020-01-04,San Diego,Silver,32.48
CUST10213,2022-09-03,Phoenix,Silver,73.08
CUST10214,2022-01-09,Phoenix,Platinum,69.81
CUST10215,2022-06-15,Philadelphia,Platinum,16.9
CUST10216,2022-01-06,Los Angeles,Platinum,55.47
CUST10217,2020-09-26,Dallas,Basic,35.99
CUST10218,2022-09-22,San Diego,Platinum,79.91
CUST10219,2021-05-27,New York,Silver,23.92
CUST10220,2022-02-19,Philadelphia,Silver,72.6
CUST10221,2020-07-01,Houston,Gold,88.15
CUST10222,2021-06-03,Phoenix,Platinum,37.66
CUST10223,2022-07-23,San Jose,Basic,46.05
CUST10224,2020-04-18,Phoenix,Gold,56.19
CUST10225,2022-06-10,San Jose,Basic,53.96
CUST10226,2021-10-02,Houston,Basic,15.4
CUST10227,2020-11-01,San Diego,Platinum,37.35
CUST10228,2022-05-11,Philadelphia,Platinum,74.65
CUST10229,2021-10-16,San Jose,Platinum,47.32
CUST10230,2021-06-03,San Diego,Gold,83.62
CUST10231,2021-09-15,Houston,Basic,69.08
CUST10232,2020-07-22,Dallas,Platinum,39.65
CUST10233,2020-06-05,Houston,Platinum,33.94
CUST10234,2021-01-17,Chicago,Platinum,20.41
CUST10235,2022-02-19,New York,Platinum,21.04
CUST10236,2020-06-14,San Antonio,Silver,47.06
CUST10237,2021-07-06,New York,Basic,44.09
CUST10238,2022-09-03,Houston,Basic,44.94
CUST10239,2022-03-08,Dallas,Platinum,70.05
CUST10240,2022-08-02,Philadelphia,Gold,53.9
CUST10241,2021-06-27,New York,Basic,71.07
CUST10242,2022-07-29,Philadelphia,Gold,52.42
CUST10243,2020-01-01,New York,Platinum,46.65
CUST10244,2021-09-05,San Antonio,Platinum,49.58
CUST10245,2020-11-27,Phoenix,Basic,36.48
CUST10246,2021-05-15,Los Angeles,Platinum,84.02
CUST10247,2020-01-20,Houston,Gold,37.05
CUST10248,2020-04-24,Dallas,Platinum,59.6
CUST10249,2022-08-09,Houston,Platinum,33.92
CUST10250,2021-01-06,San Antonio,Basic,82.82
CUST10251,2022-06-18,San Diego,Silver,20.78
CUST10252,2022-05-01,New York,Gold,28.32
CUST10253,2022-04-06,Chicago,Silver,67.78
CUST10254,2020-11-10,Phoenix,Platinum,54.46
CUST10255,2020-09-02,Los Angeles,Gold,36.67
CUST10256,2020-02-29,New York,Platinum,64.49
CUST10257,2020-09-03,Houston,Silver,45.98
CUST10258,2022-06-18,Dallas,Silver,38.56
CUST10259,2021-08-03,San Antonio,Gold,39.49
CUST10260,2022-08-27,Philadelphia,Platinum,75.84
CUST10261,2020-03-21,San Diego,Silver,64.28
CUST10262,2020-03-28,Los Angeles,Gold,62.45
CUST10263,2022-01-19,San Jose,Platinum,51.14
CUST10264,2021-05-12,Los Angeles,Platinum,46.74
CUST10265,2022-04-15,Dallas,Gold,32.31
CUST10266,2020-03-11,Chicago,Platinum,79.47
CUST10267,2022-02-17,San Antonio,Silver,19.43
CUST10268,2021-06-29,Los Angeles,Silver,14.02
CUST10269,2022-02-23,San Jose,Gold,63.26
CUST10270,2020-05-08,San Jose,Basic,40.19
CUST10271,2020-05-11,New York,Platinum,80.72
CUST10272,2021-11-06,San Antonio,Silver,66.73
CUST10273,2021-05-01,Chicago,Silver,46.85
CUST10274,2022-08-27,Houston,Silver,67.63
CUST10275,2021-07-16,Phoenix,Silver,74.65
CUST10276,2020-06-18,Phoenix,Platinum,74.04
CUST10277,2020-09-28,Philadelphia,Basic,44.69
CUST10278,2021-06-24,San Antonio,Platinum,16.31
CUST10279,2022-06-12,Philadelphia,Platinum,2.92
CUST10280,2021-09-13,Philadelphia,Gold,76.39
CUST10281,2021-03-09,San Diego,Silver,49.14
CUST10282,2022-09-14,Phoenix,Silver,29.11
CUST10283,2020-08-04,Houston,Basic,55.44
CUST10284,2022-08-09,Los Angeles,Basic,57.85
CUST10285,2021-07-06,Houston,Gold,56.28
CUST10286,2022-02-12,Chicago,Gold,37.48
CUST10287,2022-01-17,San Jose,Gold,64.48
CUST10288,2021-12-07,Los Angeles,Silver,23.65
CUST10289,2020-07-24,Chicago,Silver,39.59
CUST10290,2021-12-31,Los Angeles,Basic,27.65
CUST10291,2020-11-15,Chicago,Basic,66.86
CUST10292,2021-02-12,San Diego,Gold,31.43
CUST10293,2021-11-18,San Diego,Platinum,16.97
CUST10294,2021-10-27,Philadelphia,Basic,57.22
CUST10295,2021-01-17,San Antonio,Silver,57.39
CUST10296,2021-03-24,Los Angeles,Basic,21.57
CUST10297,2022-07-10,Dallas,Silver,70.14
CUST10298,2021-06-13,Philadelphia,Platinum,49.52
CUST10299,2021-04-07,Houston,Gold,37.83
CUST10300,2020-05-03,San Diego,Gold,7.33
CUST10301,2020-09-10,Phoenix,Gold,63.51
CUST10302,2020-08-18,San Diego,Basic,55.36
CUST10303,2020-03-06,Phoenix,Gold,56.18
CUST10304,2020-12-12,Los Angeles,Silver,67.46
CUST10305,2020-01-22,Los Angeles,Basic,11.85
CUST10306,2021-08-25,Chicago,Basic,40.49
CUST10307,2021-07-21,Phoenix,Platinum,78.01
CUST10308,2020-08-23,San Jose,Platinum,23.31
CUST10309,2021-08-25,New York,Basic,50.01
CUST10310,2020-08-13,Houston,Basic,17.54
CUST10311,2020-01-08,Philadelphia,Basic,62.9
CUST10312,2020-03-13,Chicago,Basic,49.32
CUST10313,2021-12-25,Los Angeles,Basic,64.17
CUST10314,2021-10-08,Houston,Silver,59.39
CUST10315,2020-03-01,Philadelphia,Basic,80.28
CUST10316,2020-08-22,San Antonio,Silver,84.46
CUST10317,2020-03-10,Dallas,Gold,15.04
CUST10318,2022-07-16,New York,Silver,56.14
CUST10319,2020-02-02,Phoenix,Gold,81.66
CUST10320,2022-05-30,Phoenix,Platinum,48.78
CUST10321,2020-12-04,Chicago,Platinum,89.17
CUST10322,2020-03-13,New York,Basic,42.69
CUST10323,2021-06-10,San Antonio,Silver,67.1
CUST10324,2020-08-31,San Diego,Gold,87.51
CUST10325,2020-10-12,Dallas,Gold,24.02
CUST10326,2021-11-16,Dallas,Silver,46.28
CUST10327,2021-05-12,Houston,Basic,85.5
CUST10328,2020-08-07,Los Angeles,Silver,67.11
CUST10329,2021-07-06,San Diego,Platinum,59.03
CUST10330,2020-05-15,Los Angeles,Platinum,71.92
CUST10331,2022-01-10,Chicago,Basic,58.08
CUST10332,2022-08-15,Los Angeles,Silver,62.46
CUST10333,2022-06-22,New York,Platinum,58.09
CUST10334,2021-08-07,New York,Gold,39.56
CUST10335,2021-08-13,Houston,Gold,53.05
CUST10336,2021-04-29,Chicago,Silver,90.01
CUST10337,2020-09-05,Houston,Basic,33.21
CUST10338,2022-03-14,San Antonio,Gold,79.37
CUST10339,2021-04-29,Philadelphia,Gold,53.86
CUST10340,2022-04-06,Los Angeles,Platinum,69.25
CUST10341,2021-02-20,San Jose,Gold,72.98
CUST10342,2020-07-13,San Jose,Silver,64.54
CUST10343,2020-04-06,Phoenix,Silver,41.25
CUST10344,2020-04-09,Los Angeles,Platinum,82.73
CUST10345,2021-11-05,New York,Silver,70.42
CUST10346,2021-03-17,Los Angeles,Silver,56.73
CUST10347,2020-12-28,Houston,Platinum,58.67
CUST10348,2021-03-09,San Diego,Platinum,35.17
CUST10349,2021-02-24,Chicago,Platinum,65.65
CUST10350,2021-04-23,Los Angeles,Platinum,82.36
CUST10351,2022-06-03,Philadelphia,Gold,28.14
CUST10352,2022-01-16,Los Angeles,Basic,30.14
CUST10353,2020-02-25,New York,Platinum,65.21
CUST10354,2021-11-20,San Diego,Silver,31.0
CUST10355,2021-10-31,New York,Basic,47.61
CUST10356,2021-10-23,Chicago,Basic,48.25
CUST10357,2020-04-10,San Jose,Basic,32.51
CUST10358,2020-03-03,San Antonio,Gold,74.78
CUST10359,2021-02-16,San Antonio,Gold,67.03
CUST10360,2022-01-15,San Diego,Platinum,59.74
CUST10361,2020-12-13,New York,Silver,46.04
CUST10362,2022-03-30,San Antonio,Platinum,64.18
CUST10363,2022-06-01,San Antonio,Basic,9.13
CUST10364,2020-04-21,Chicago,Platinum,23.08
CUST10365,2020-09-11,Philadelphia,Basic,53.5
CUST10366,2020-07-15,Houston,Silver,49.02
CUST10367,2020-07-13,Chicago,Basic,62.54
CUST10368,2021-07-03,Phoenix,Gold,50.72
CUST10369,2021-04-04,Phoenix,Platinum,35.57
CUST10370,2020-05-23,San Diego,Platinum,77.71
CUST10371,2021-03-08,Chicago,Gold,40.97
CUST10372,2020-07-06,New York,Gold,41.56
CUST10373,2020-10-12,San Jose,Gold,89.93
CUST10374,2021-04-18,San Jose,Basic,17.43
CUST10375,2020-09-12,San Jose,Gold,42.97
CUST10376,2022-06-14,Houston,Silver,56.07
CUST10377,2022-08-03,Phoenix,Platinum,40.96
CUST10378,2020-03-18,San Diego,Platinum,34.18
CUST10379,2021-03-29,San Antonio,Silver,46.39
CUST10380,2022-04-07,Dallas,Platinum,36.08
CUST10381,2022-06-01,San Diego,Gold,73.51
CUST10382,2022-05-26,New York,Platinum,5.41
CUST10383,2021-07-17,Los Angeles,Silver,57.47
CUST10384,2020-04-10,Phoenix,Gold,40.38
CUST10385,2020-02-21,San Antonio,Basic,55.95
CUST10386,2021-10-29,Chicago,Basic,63.04
CUST10387,2021-07-07,San Antonio,Gold,25.96
CUST10388,2022-05-06,Houston,Platinum,55.72
CUST10389,2020-01-16,Dallas,Silver,15.03
CUST10390,2022-09-19,Houston,Gold,20.11
CUST10391,2020-04-05,Dallas,Silver,66.36
CUST10392,2022-08-06,New York,Basic,43.05
CUST10393,2022-02-10,San Antonio,Gold,80.57
CUST10394,2022-05-19,Philadelphia,Gold,51.97
CUST10395,2020-08-30,San Diego,Silver,39.84
CUST10396,2020-06-19,Dallas,Basic,45.62
CUST10397,2021-02-20,San Diego,Basic,40.34
CUST10398,2021-05-12,Philadelphia,Gold,36.94
CUST10399,2021-05-07,San Jose,Silver,23.34
CUST10400,2020-08-06,Dallas,Gold,65.21
CUST10401,2022-06-04,Philadelphia,Platinum,60.72
CUST10402,2021-02-14,San Antonio,Basic,76.55
CUST10403,2022-07-13,Phoenix,Basic,51.15
CUST10404,2020-03-01,Chicago,Gold,74.86
CUST10405,2020-06-17,New York,Gold,41.49
CUST10406,2021-01-23,Philadelphia,Gold,45.93
CUST10407,2020-01-03,San Jose,Basic,79.58
CUST10408,2021-02-03,Houston,Basic,69.99
CUST10409,2020-09-28,New York,Basic,69.34
CUST10410,2022-08-06,Phoenix,Platinum,20.41
CUST10411,2022-03-13,New York,Gold,56.26
CUST10412,2022-03-14,San Diego,Basic,73.7
CUST10413,2021-04-10,Dallas,Platinum,64.05
CUST10414,2020-10-19,Philadelphia,Gold,68.66
CUST10415,2021-03-09,San Jose,Silver,78.95
CUST10416,2021-12-14,Houston,Silver,24.16
CUST10417,2022-09-07,Chicago,Gold,39.62
CUST10418,2022-01-18,Los Angeles,Gold,80.74
CUST10419,2022-03-13,Houston,Gold,61.08
CUST10420,2021-07-23,Houston,Silver,8.72
CUST10421,2021-11-08,Phoenix,Platinum,12.1
CUST10422,2022-01-05,Dallas,Silver,43.87
CUST10423,2021-05-13,New York,Basic,56.87
CUST10424,2020-06-07,Houston,Gold,32.97
CUST10425,2020-07-13,San Jose,Silver,45.88
CUST10426,2020-10-30,San Antonio,Gold,29.03
CUST10427,2020-08-10,Philadelphia,Platinum,50.78
CUST10428,2022-09-18,Chicago,Basic,10.96
CUST10429,2020-02-29,Chicago,Silver,66.22
CUST10430,2021-08-16,Houston,Platinum,54.57
CUST10431,2022-01-23,San Jose,Platinum,62.05
CUST10432,2021-07-09,Philadelphia,Basic,12.29
CUST10433,2020-03-03,Philadelphia,Basic,39.59
CUST10434,2022-02-04,San Jose,Basic,83.72
CUST10435,2020-11-17,New York,Platinum,45.05
CUST10436,2020-02-28,Philadelphia,Silver,71.18
CUST10437,2020-02-21,San Jose,Platinum,50.47
CUST10438,2021-08-21,San Jose,Silver,33.05
CUST10439,2021-05-03,Chicago,Platinum,93.89
CUST10440,2021-05-29,San Jose,Basic,63.77
CUST10441,2022-07-30,Houston,Gold,87.27
CUST10442,2022-05-23,San Diego,Platinum,26.89
CUST10443,2021-06-27,Dallas,Platinum,18.02
CUST10444,2020-06-10,Phoenix,Gold,64.64
CUST10445,2020-02-28,Chicago,Platinum,55.19
CUST10446,2022-09-10,San Diego,Platinum,47.85
CUST10447,2021-06-04,New York,Platinum,66.23
CUST10448,2020-03-23,Los Angeles,Platinum,42.34
CUST10449,2022-05-21,New York,Platinum,30.29
CUST10450,2020-07-09,Houston,Silver,25.8
CUST10451,2020-03-11,San Jose,Silver,53.64
CUST10452,2021-09-01,Houston,Silver,27.74
CUST10453,2020-03-10,New York,Platinum,78.84
CUST10454,2021-11-22,Dallas,Platinum,66.31
CUST10455,2022-06-01,San Diego,Silver,70.48
CUST10456,2020-08-28,New York,Basic,81.44
CUST10457,2021-02-17,Philadelphia,Silver,60.96
CUST10458,2020-05-02,San Jose,Platinum,36.7
CUST10459,2022-08-22,Houston,Platinum,22.23
CUST10460,2022-06-30,Chicago,Basic,51.47
CUST10461,2021-08-06,Philadelphia,Silver,23.85
CUST10462,2020-09-09,Chicago,Gold,28.62
CUST10463,2021-08-15,Philadelphia,Basic,21.81
CUST10464,2021-08-31,New York,Platinum,65.82
CUST10465,2020-02-10,New York,Basic,39.78
CUST10466,2021-09-26,Chicago,Basic,50.01
CUST10467,2020-03-24,San Jose,Gold,27.7
CUST10468,2021-03-05,Chicago,Gold,35.27
CUST10469,2021-11-04,Los Angeles,Basic,67.17
CUST10470,2021-08-20,Dallas,Silver,16.3
CUST10471,2021-08-01,Philadelphia,Basic,66.74
CUST10472,2021-06-19,Los Angeles,Gold,74.46
CUST10473,2020-11-19,Philadelphia,Gold,64.35
CUST10474,2022-08-15,San Antonio,Gold,30.65
CUST10475,2020-09-24,San Jose,Gold,40.5
CUST10476,2020-07-28,Los Angeles,Gold,27.87
CUST10477,2021-11-16,Philadelphia,Platinum,42.08
CUST10478,2022-01-03,Phoenix,Basic,56.84
CUST10479,2020-11-17,Philadelphia,Silver,60.9
CUST10480,2020-09-01,Chicago,Silver,58.7
CUST10481,2020-09-28,Chicago,Platinum,36.0
CUST10482,2021-02-09,San Antonio,Basic,29.28
CUST10483,2020-05-14,San Diego,Gold,78.1
CUST10484,2021-11-18,Philadelphia,Gold,61.53
CUST10485,2021-10-22,Chicago,Silver,76.5
CUST10486,2020-11-03,Dallas,Silver,67.0
CUST10487,2021-04-13,San Jose,Platinum,16.44
CUST10488,2020-11-19,Philadelphia,Basic,76.48
CUST10489,2022-08-09,Houston,Basic,45.33
CUST10490,2022-02-08,San Jose,Gold,83.32
CUST10491,2022-08-16,Chicago,Basic,37.88
CUST10492,2020-03-15,San Antonio,Basic,98.12
CUST10493,2020-01-10,Phoenix,Platinum,52.8
CUST10494,2021-04-14,Phoenix,Platinum,46.67
CUST10495,2021-09-28,Chicago,Gold,69.4
CUST10496,2021-07-30,Chicago,Platinum,18.82
CUST10497,2020-04-12,New York,Gold,25.82
CUST10498,2020-03-16,San Jose,Platinum,64.84
CUST10499,2021-07-04,San Antonio,Platinum,55.93
CUST10500,2020-08-06,San Jose,Silver,21.61
CUST10501,2021-06-02,New York,Silver,81.45
CUST10502,2020-09-28,Chicago,Platinum,59.82
CUST10503,2020-05-15,San Jose,Platinum,48.18
CUST10504,2022-08-13,Philadelphia,Platinum,20.05
CUST10505,2020-12-23,San Jose,Silver,65.08
CUST10506,2022-06-21,Houston,Gold,15.62
CUST10507,2020-03-11,San Jose,Basic,68.35
CUST10508,2022-06-19,Los Angeles,Platinum,28.24
CUST10509,2020-09-07,San Diego,Platinum,95.51
CUST10510,2021-01-13,Chicago,Silver,37.45
CUST10511,2020-10-18,Philadelphia,Platinum,48.28
CUST10512,2020-06-10,Los Angeles,Gold,59.91
CUST10513,2021-03-24,Houston,Basic,34.4
CUST10514,2022-05-03,Philadelphia,Platinum,77.98
CUST10515,2021-07-10,Philadelphia,Gold,54.59
CUST10516,2021-12-21,Chicago,Basic,10.74
CUST10517,2020-11-05,Los Angeles,Silver,16.86
CUST10518,2021-09-18,Philadelphia,Basic,80.52
CUST10519,2022-04-06,San Diego,Gold,42.98
CUST10520,2021-10-31,New York,Basic,47.64
CUST10521,2021-06-25,Phoenix,Basic,42.54
CUST10522,2020-01-09,Houston,Silver,33.41
CUST10523,2021-11-14,Houston,Basic,47.81
