user_id,join_date,location,review_count,helpfulness_score
USER5058,2023-11-12,City 14,18,4.42
USER5059,2023-05-01,City 15,14,4.65
USER5060,2022-08-20,City 1,18,2.31
USER5061,2021-08-19,City 2,15,1.98
USER5062,2020-03-07,City 3,25,3.93
USER5063,2021-04-19,City 4,9,4.56
USER5064,2021-08-13,City 5,14,3.36
USER5065,2023-12-18,City 6,9,1.7
USER5066,2021-08-02,City 7,10,3.0
USER5067,2023-12-10,City 8,18,3.37
USER5068,2022-07-18,City 9,13,1.92
USER5069,2020-05-25,City 10,14,3.69
USER5070,2023-11-08,City 11,19,4.42
USER5071,2021-04-23,City 12,17,3.9
USER5072,2021-06-25,City 13,12,0.99
USER5073,2023-07-04,City 14,14,1.15
USER5074,2023-04-22,City 15,17,3.01
USER5075,2023-09-16,City 1,8,3.08
USER5076,2021-02-09,City 2,10,3.62
USER5077,2022-05-20,City 3,15,2.81
USER5078,2020-08-23,City 4,5,1.71
USER5079,2023-01-20,City 5,18,0.73
USER5080,2021-04-05,City 6,8,1.69
USER5081,2023-08-19,City 7,24,2.65
USER5082,2020-11-01,City 8,13,4.46
USER5083,2021-06-28,City 9,13,2.87
USER5084,2020-10-18,City 10,17,1.32
USER5085,2020-05-26,City 11,11,3.73
USER5086,2020-05-02,City 12,17,3.62
USER5087,2020-12-05,City 13,12,2.36
USER5088,2021-09-21,City 14,12,3.18
USER5089,2023-05-03,City 15,16,1.94
USER5090,2023-03-11,City 1,11,3.69
USER5091,2021-08-14,City 2,16,4.75
USER5092,2022-06-18,City 3,17,2.81
USER5093,2020-09-11,City 4,19,1.57
USER5094,2022-08-17,City 5,16,2.46
USER5095,2023-11-11,City 6,19,2.92
USER5096,2021-09-14,City 7,10,1.76
USER5097,2023-12-04,City 8,22,2.06
USER5098,2022-04-04,City 9,13,3.87
USER5099,2021-07-11,City 10,14,3.4
USER5100,2022-10-21,City 11,23,2.86
USER5101,2023-01-10,City 12,10,3.36
USER5102,2022-10-08,City 13,12,4.69
USER5103,2022-06-15,City 14,22,3.82
USER5104,2020-06-13,City 15,18,3.11
USER5105,2023-05-09,City 1,19,2.88
USER5106,2020-03-22,City 2,18,2.72
USER5107,2022-06-03,City 3,11,3.39
USER5108,2021-10-22,City 4,6,3.78
USER5109,2023-05-21,City 5,10,2.61
USER5110,2021-05-27,City 6,19,4.51
USER5111,2020-02-22,City 7,15,4.01
USER5112,2020-07-06,City 8,18,3.69
USER5113,2021-04-13,City 9,16,4.61
USER5114,2023-10-12,City 10,12,2.16
USER5115,2023-03-24,City 11,17,4.01
USER5116,2023-04-17,City 12,10,2.22
USER5117,2020-02-12,City 13,9,1.3
USER5118,2023-10-08,City 14,19,3.02
USER5119,2021-07-05,City 15,16,1.73
USER5120,2023-03-26,City 1,16,3.2
USER5121,2020-03-23,City 2,13,3.51
USER5122,2020-12-24,City 3,16,3.06
USER5123,2022-08-21,City 4,18,1.04
USER5124,2022-11-28,City 5,18,4.37
USER5125,2023-08-27,City 6,24,3.06
USER5126,2022-06-24,City 7,13,1.48
USER5127,2021-07-23,City 8,13,2.93
USER5128,2021-01-06,City 9,14,1.7
USER5129,2023-04-13,City 10,20,1.8
USER5130,2022-06-11,City 11,14,2.19
USER5131,2023-07-24,City 12,17,1.75
USER5132,2022-10-04,City 13,16,3.06
USER5133,2020-07-05,City 14,19,2.18
USER5134,2022-08-20,City 15,16,3.16
USER5135,2021-12-13,City 1,17,1.63
USER5136,2022-04-16,City 2,16,3.33
USER5137,2021-11-13,City 3,16,1.41
USER5138,2021-10-19,City 4,17,2.44
USER5139,2023-10-04,City 5,12,1.87
USER5140,2020-08-02,City 6,15,3.45
USER5141,2020-11-25,City 7,7,3.0
USER5142,2021-11-06,City 8,19,1.48
USER5143,2022-04-23,City 9,14,4.27
USER5144,2023-11-21,City 10,13,3.78
USER5145,2022-10-11,City 11,9,3.52
USER5146,2021-08-13,City 12,16,2.09
USER5147,2023-09-18,City 13,17,2.43
USER5148,2022-03-31,City 14,17,3.48
USER5149,2023-01-31,City 15,9,2.26
USER5150,2020-03-16,City 1,19,4.31
USER5151,2022-07-20,City 2,16,2.45
USER5152,2020-06-29,City 3,11,3.07
USER5153,2021-10-06,City 4,13,1.87
USER5154,2021-05-31,City 5,12,0.87
USER5155,2021-10-24,City 6,12,2.52
USER5156,2020-08-25,City 7,11,2.98
USER5157,2022-04-07,City 8,14,2.33
USER5158,2022-11-19,City 9,10,0.84
USER5159,2020-01-03,City 10,18,4.67
USER5160,2023-09-08,City 11,14,2.91
USER5161,2023-01-16,City 12,18,3.61
USER5162,2022-08-04,City 13,16,1.98
USER5163,2022-04-26,City 14,18,0.98
USER5164,2020-04-21,City 15,24,1.61
USER5165,2021-01-19,City 1,7,3.28
USER5166,2022-11-27,City 2,12,4.37
USER5167,2022-01-10,City 3,21,2.96
USER5168,2023-06-29,City 4,12,3.26
USER5169,2022-10-17,City 5,14,2.59
USER5170,2023-07-04,City 6,8,3.97
USER5171,2022-06-24,City 7,4,0.87
USER5172,2020-04-15,City 8,21,2.04
USER5173,2021-02-20,City 9,15,1.82
USER5174,2021-06-30,City 10,13,3.22
USER5175,2023-01-29,City 11,25,3.93
USER5176,2020-09-25,City 12,22,1.25
USER5177,2021-08-12,City 13,14,4.56
USER5178,2022-06-16,City 14,12,1.1
USER5179,2023-12-01,City 15,11,4.32
USER5180,2022-09-19,City 1,16,4.48
USER5181,2020-09-05,City 2,9,0.87
USER5182,2020-02-29,City 3,11,3.68
USER5183,2023-07-14,City 4,20,3.66
USER5184,2023-05-31,City 5,15,0.97
USER5185,2021-05-05,City 6,8,0.95
USER5186,2023-12-24,City 7,15,1.84
USER5187,2020-11-20,City 8,14,2.79
USER5188,2021-09-28,City 9,11,2.47
USER5189,2023-02-02,City 10,14,2.77
USER5190,2020-01-29,City 11,17,3.3
USER5191,2023-02-05,City 12,7,3.14
USER5192,2022-04-15,City 13,19,3.03
USER5193,2020-07-09,City 14,11,2.63
USER5194,2021-04-05,City 15,10,2.65
USER5195,2020-08-20,City 1,18,3.74
USER5196,2022-08-03,City 2,12,4.02
USER5197,2020-08-28,City 3,15,2.73
USER5198,2023-08-19,City 4,15,4.09
USER5199,2020-11-11,City 5,9,3.03
USER5200,2022-10-17,City 6,19,3.06
USER5201,2021-08-20,City 7,11,1.79
USER5202,2022-11-08,City 8,12,2.48
USER5203,2023-12-15,City 9,16,3.05
USER5204,2021-07-13,City 10,19,2.83
USER5205,2022-04-30,City 11,21,2.67
USER5206,2022-09-15,City 12,10,4.21
USER5207,2022-08-25,City 13,19,3.82
USER5208,2021-05-14,City 14,10,4.77
USER5209,2022-07-24,City 15,17,3.17
USER5210,2023-02-02,City 1,14,3.37
USER5211,2020-10-23,City 2,19,3.41
USER5212,2022-02-24,City 3,26,2.33
USER5213,2021-01-25,City 4,17,2.21
USER5214,2023-05-12,City 5,20,3.63
USER5215,2022-11-06,City 6,10,1.97
USER5216,2020-10-06,City 7,16,4.44
USER5217,2020-05-22,City 8,11,2.19
USER5218,2021-07-19,City 9,19,3.62
USER5219,2022-04-29,City 10,17,2.97
USER5220,2021-11-27,City 11,15,3.82
USER5221,2022-11-05,City 12,14,2.24
USER5222,2021-07-01,City 13,15,2.2
USER5223,2020-01-06,City 14,13,3.71
USER5224,2021-08-02,City 15,9,4.74
USER5225,2021-09-03,City 1,10,4.12
USER5226,2023-04-17,City 2,14,4.61
USER5227,2023-04-02,City 3,17,1.39
USER5228,2023-09-13,City 4,13,3.79
USER5229,2022-09-29,City 5,17,4.1
USER5230,2020-10-31,City 6,17,2.54
USER5231,2022-07-03,City 7,17,1.94
USER5232,2023-01-08,City 8,11,3.57
USER5233,2022-09-18,City 9,12,3.97
USER5234,2021-12-07,City 10,12,3.18
USER5235,2021-11-11,City 11,17,3.5
USER5236,2023-02-04,City 12,13,4.71
USER5237,2023-01-17,City 13,19,3.77
USER5238,2022-02-11,City 14,17,4.54
USER5239,2022-07-21,City 15,9,3.96
USER5240,2021-10-21,City 1,14,4.03
USER5241,2021-01-21,City 2,15,4.32
USER5242,2023-11-29,City 3,29,3.62
USER5243,2021-05-04,City 4,14,3.72
USER5244,2023-03-17,City 5,12,2.85
USER5245,2022-02-23,City 6,18,3.59
USER5246,2021-04-23,City 7,19,1.91
USER5247,2022-04-21,City 8,20,4.37
USER5248,2020-03-30,City 9,17,3.01
USER5249,2021-10-13,City 10,9,3.84
USER5250,2022-08-26,City 11,13,4.15
USER5251,2023-12-15,City 12,12,1.44
USER5252,2022-02-19,City 13,18,2.87
USER5253,2022-03-01,City 14,17,2.76
USER5254,2023-09-21,City 15,21,3.17
USER5255,2023-08-28,City 1,8,3.34
USER5256,2020-11-07,City 2,19,4.27
USER5257,2022-10-11,City 3,20,4.16
USER5258,2020-03-16,City 4,16,2.76
USER5259,2020-09-15,City 5,17,1.89
USER5260,2022-10-25,City 6,20,2.48
USER5261,2023-04-23,City 7,15,1.94
USER5262,2021-11-10,City 8,13,0.96
USER5263,2020-07-24,City 9,18,3.0
USER5264,2022-06-20,City 10,21,4.33
USER5265,2020-07-23,City 11,16,1.92
USER5266,2022-12-13,City 12,16,4.3
USER5267,2022-07-24,City 13,12,3.74
USER5268,2020-02-01,City 14,9,1.96
USER5269,2020-10-22,City 15,15,4.02
USER5270,2022-04-19,City 1,24,3.85
USER5271,2023-09-02,City 2,18,1.35
USER5272,2020-11-12,City 3,17,3.44
USER5273,2020-06-02,City 4,12,4.65
USER5274,2022-08-19,City 5,15,3.49
USER5275,2021-06-26,City 6,10,2.13
USER5276,2021-11-24,City 7,27,2.43
USER5277,2023-06-30,City 8,15,3.11
USER5278,2023-11-19,City 9,16,1.0
USER5279,2022-03-25,City 10,11,2.61
USER5280,2023-08-23,City 11,11,3.83
USER5281,2020-06-13,City 12,9,2.49
USER5282,2021-11-03,City 13,19,2.98
USER5283,2023-10-13,City 14,15,3.1
USER5284,2022-12-28,City 15,22,1.31
USER5285,2022-02-17,City 1,9,1.85
USER5286,2021-10-10,City 2,9,4.34
USER5287,2023-07-07,City 3,15,0.84
USER5288,2022-09-26,City 4,15,3.93
USER5289,2023-01-13,City 5,12,3.66
USER5290,2020-03-14,City 6,14,3.13
USER5291,2023-06-18,City 7,21,2.69
USER5292,2020-05-20,City 8,16,4.13
USER5293,2021-04-25,City 9,19,1.08
USER5294,2023-07-16,City 10,17,4.14
USER5295,2023-11-02,City 11,12,3.96
USER5296,2021-08-11,City 12,16,0.94
USER5297,2021-04-10,City 13,9,4.26
USER5298,2020-07-04,City 14,14,1.87
USER5299,2022-06-07,City 15,10,3.04
USER5300,2020-07-20,City 1,18,3.7
USER5301,2023-07-21,City 2,8,3.93
USER5302,2023-12-12,City 3,23,3.41
USER5303,2020-07-24,City 4,17,3.53
USER5304,2022-06-27,City 5,16,4.03
USER5305,2020-12-06,City 6,16,3.57
USER5306,2023-11-22,City 7,18,2.04
USER5307,2021-09-05,City 8,21,3.21
USER5308,2020-02-29,City 9,15,3.19
USER5309,2020-04-04,City 10,12,3.74
USER5310,2021-10-26,City 11,16,1.81
USER5311,2020-04-24,City 12,10,2.15
USER5312,2021-08-23,City 13,13,3.04
USER5313,2022-01-04,City 14,17,0.88
USER5314,2022-02-06,City 15,17,1.96
USER5315,2022-06-01,City 1,13,1.96
USER5316,2020-10-25,City 2,14,2.24
USER5317,2021-05-15,City 3,21,2.86
USER5318,2022-12-23,City 4,13,2.23
USER5319,2022-04-23,City 5,13,3.55
USER5320,2023-03-05,City 6,17,3.79
USER5321,2023-10-28,City 7,13,3.33
USER5322,2021-01-03,City 8,14,3.62
USER5323,2020-12-14,City 9,21,3.4
USER5324,2020-12-24,City 10,10,2.93
USER5325,2020-06-10,City 11,17,2.2
USER5326,2023-06-02,City 12,13,3.22
USER5327,2022-02-22,City 13,14,4.89
USER5328,2023-06-23,City 14,17,2.55
USER5329,2023-10-31,City 15,13,1.3
USER5330,2021-05-08,City 1,17,2.89
USER5331,2022-10-16,City 2,15,2.17
USER5332,2023-04-09,City 3,14,3.48
USER5333,2020-10-20,City 4,10,1.81
USER5334,2021-04-20,City 5,18,3.42
USER5335,2022-08-02,City 6,13,2.1
USER5336,2023-07-30,City 7,16,1.59
USER5337,2021-06-04,City 8,25,4.09
USER5338,2022-07-30,City 9,14,1.56
USER5339,2021-06-06,City 10,15,3.7
USER5340,2023-09-27,City 11,16,1.59
USER5341,2020-01-20,City 12,14,1.82
USER5342,2022-08-10,City 13,12,4.44
USER5343,2021-08-12,City 14,7,2.55
USER5344,2023-10-19,City 15,16,2.93
USER5345,2023-01-24,City 1,16,3.0
USER5346,2020-11-19,City 2,14,1.61
USER5347,2020-05-31,City 3,15,2.06
USER5348,2022-06-23,City 4,16,2.25
USER5349,2021-12-08,City 5,16,1.72
USER5350,2023-04-18,City 6,14,2.96
USER5351,2021-09-04,City 7,15,4.01
USER5352,2023-08-01,City 8,21,4.72
USER5353,2022-05-18,City 9,15,1.3
USER5354,2023-11-14,City 10,10,3.04
USER5355,2021-05-27,City 11,10,3.6
USER5356,2022-07-24,City 12,23,4.18
USER5357,2021-09-10,City 13,15,3.13
USER5358,2021-02-11,City 14,16,4.25
USER5359,2022-02-26,City 15,12,3.37
USER5360,2022-09-16,City 1,18,3.22
USER5361,2020-08-06,City 2,15,2.73
USER5362,2021-04-30,City 3,16,1.73
USER5363,2022-02-20,City 4,19,3.95
USER5364,2023-03-17,City 5,11,1.57
USER5365,2022-01-05,City 6,20,4.51
USER5366,2023-03-23,City 7,14,2.62
USER5367,2021-08-28,City 8,17,3.79
USER5368,2023-12-03,City 9,17,2.36
USER5369,2021-08-27,City 10,12,3.7
USER5370,2020-02-14,City 11,19,1.78
USER5371,2023-09-10,City 12,17,3.51
USER5372,2022-03-21,City 13,12,2.77
USER5373,2021-07-16,City 14,18,1.9
USER5374,2020-01-17,City 15,18,2.51
USER5375,2023-03-05,City 1,17,4.46
USER5376,2023-11-05,City 2,20,2.39
USER5377,2020-04-10,City 3,9,1.52
USER5378,2023-05-26,City 4,8,4.03
USER5379,2022-10-14,City 5,14,4.7
USER5380,2021-08-09,City 6,13,3.07
USER5381,2021-04-16,City 7,15,3.55
USER5382,2023-05-28,City 8,8,3.67
USER5383,2021-12-22,City 9,6,1.69
USER5384,2021-03-24,City 10,14,4.46
USER5385,2023-07-27,City 11,12,3.21
USER5386,2021-01-24,City 12,14,3.94
USER5387,2023-06-25,City 13,13,2.6
USER5388,2021-05-28,City 14,11,4.0
USER5389,2023-10-20,City 15,13,2.73
USER5390,2023-09-12,City 1,10,3.75
USER5391,2023-10-26,City 2,15,4.02
USER5392,2020-10-07,City 3,16,2.98
USER5393,2023-07-10,City 4,8,1.46
USER5394,2020-07-17,City 5,12,2.71
USER5395,2023-07-09,City 6,16,3.83
USER5396,2023-08-16,City 7,10,3.33
USER5397,2020-03-21,City 8,12,2.29
USER5398,2021-09-24,City 9,12,3.02
USER5399,2022-06-21,City 10,16,4.0
USER5400,2020-03-09,City 11,18,3.41
USER5401,2023-04-01,City 12,6,2.05
USER5402,2022-01-17,City 13,17,3.22
USER5403,2020-09-26,City 14,19,3.74
USER5404,2020-07-03,City 15,12,2.36
USER5405,2021-08-27,City 1,13,1.15
USER5406,2021-10-31,City 2,13,3.89
USER5407,2022-04-30,City 3,20,3.09
USER5408,2020-12-25,City 4,14,3.37
USER5409,2021-02-15,City 5,9,3.21
USER5410,2020-09-27,City 6,15,3.84
USER5411,2023-01-09,City 7,17,4.06
USER5412,2022-01-19,City 8,18,4.71
USER5413,2022-12-23,City 9,12,3.03
USER5414,2022-10-24,City 10,18,4.74
USER5415,2021-07-12,City 11,6,2.26
USER5416,2020-12-02,City 12,24,0.52
USER5417,2021-06-10,City 13,14,3.89
USER5418,2022-09-13,City 14,11,3.75
USER5419,2021-08-27,City 15,13,3.24
USER5420,2021-11-24,City 1,18,4.62
USER5421,2020-08-23,City 2,11,2.8
USER5422,2022-08-17,City 3,15,2.9
USER5423,2020-06-03,City 4,11,3.39
USER5424,2020-10-15,City 5,16,2.8
USER5425,2021-04-07,City 6,10,2.97
USER5426,2023-10-17,City 7,18,3.68
USER5427,2023-10-13,City 8,17,1.41
USER5428,2022-03-24,City 9,18,3.07
USER5429,2023-02-15,City 10,21,2.88
USER5430,2022-01-19,City 11,13,3.85
USER5431,2020-07-03,City 12,9,3.78
USER5432,2022-03-19,City 13,12,4.78
USER5433,2020-01-29,City 14,13,3.58
USER5434,2021-06-25,City 15,10,4.05
USER5435,2023-01-03,City 1,15,4.14
USER5436,2020-09-10,City 2,15,3.8
USER5437,2022-07-20,City 3,25,1.61
USER5438,2022-01-24,City 4,17,2.18
USER5439,2023-10-09,City 5,18,4.46
USER5440,2023-10-08,City 6,10,3.95
USER5441,2021-06-20,City 7,18,2.06
USER5442,2023-04-12,City 8,10,1.5
USER5443,2022-02-19,City 9,18,1.64
USER5444,2023-07-31,City 10,13,4.03
USER5445,2022-01-30,City 11,20,3.24
USER5446,2020-08-09,City 12,18,2.42
USER5447,2023-10-14,City 13,14,3.16
USER5448,2021-04-23,City 14,8,2.5
USER5449,2022-08-23,City 15,12,3.98
USER5450,2020-02-21,City 1,18,3.48
USER5451,2023-06-22,City 2,25,3.76
USER5452,2023-02-23,City 3,13,3.27
USER5453,2021-11-02,City 4,11,3.8
USER5454,2023-06-03,City 5,16,3.96
USER5455,2021-03-29,City 6,16,2.84
USER5456,2023-08-19,City 7,19,2.12
USER5457,2020-05-09,City 8,14,1.45
USER5458,2023-07-25,City 9,12,4.05
USER5459,2022-08-08,City 10,22,3.79
USER5460,2023-12-06,City 11,15,3.1
USER5461,2021-09-10,City 12,17,4.16
USER5462,2023-08-22,City 13,10,0.94
USER5463,2022-04-16,City 14,16,1.37
USER5464,2020-08-26,City 15,15,3.19
USER5465,2020-10-13,City 1,15,1.47
USER5466,2020-04-02,City 2,8,1.79
USER5467,2020-03-17,City 3,19,2.32
USER5468,2021-09-15,City 4,15,2.67
USER5469,2022-10-05,City 5,6,4.43
USER5470,2020-08-25,City 6,14,2.0
USER5471,2020-07-18,City 7,20,3.49
USER5472,2021-04-25,City 8,25,3.88
USER5473,2023-01-05,City 9,16,3.16
USER5474,2020-10-04,City 10,14,3.52
USER5475,2022-03-06,City 11,8,2.97
USER5476,2022-07-18,City 12,18,4.18
USER5477,2022-01-29,City 13,15,1.41
USER5478,2023-10-05,City 14,12,4.03
USER5479,2023-11-27,City 15,17,4.16
USER5480,2023-01-11,City 1,16,4.11
USER5481,2022-05-08,City 2,15,1.36
USER5482,2023-04-17,City 3,22,3.0
USER5483,2020-11-12,City 4,17,3.46
USER5484,2022-04-29,City 5,13,1.24
USER5485,2023-09-03,City 6,18,3.79
USER5486,2020-07-21,City 7,14,1.64
USER5487,2022-09-29,City 8,15,2.54
USER5488,2023-06-14,City 9,10,3.77
USER5489,2022-04-15,City 10,14,4.26
USER5490,2021-07-26,City 11,18,3.73
USER5491,2020-03-08,City 12,14,1.96
USER5492,2023-11-14,City 13,16,3.94
USER5493,2022-01-28,City 14,19,1.71
USER5494,2021-03-20,City 15,16,2.71
USER5495,2022-06-27,City 1,17,3.29
USER5496,2022-06-29,City 2,9,3.28
USER5497,2021-04-28,City 3,11,2.7
USER5498,2022-01-12,City 4,5,2.41
USER5499,2020-07-22,City 5,20,3.19
USER5500,2023-11-05,City 6,24,2.17
USER5501,2022-01-22,City 7,14,3.57
USER5502,2023-01-20,City 8,15,2.94
USER5503,2023-08-13,City 9,12,3.15
USER5504,2022-01-04,City 10,21,1.59
USER5505,2020-05-04,City 11,18,2.84
USER5506,2022-03-26,City 12,15,4.3
USER5507,2021-07-19,City 13,16,2.68
USER5508,2021-01-23,City 14,13,3.69
USER5509,2020-09-07,City 15,11,3.49
USER5510,2022-07-20,City 1,15,0.9
USER5511,2020-07-06,City 2,13,2.68
USER5512,2023-09-19,City 3,18,3.81
USER5513,2021-03-10,City 4,15,2.22
USER5514,2023-08-07,City 5,14,3.8
USER5515,2023-08-02,City 6,10,4.16
USER5516,2023-05-07,City 7,15,3.41
USER5517,2020-02-13,City 8,27,2.6
USER5518,2020-04-13,City 9,13,2.58
USER5519,2021-11-14,City 10,12,3.46
USER5520,2021-05-13,City 11,11,2.75
USER5521,2020-09-14,City 12,14,3.78
USER5522,2023-03-02,City 13,13,3.84
USER5523,2021-02-24,City 14,19,2.62
USER5524,2020-05-20,City 15,13,2.3
USER5525,2023-02-09,City 1,18,2.34
USER5526,2021-02-28,City 2,16,4.05
USER5527,2023-04-15,City 3,8,3.65
USER5528,2021-03-18,City 4,17,3.09
USER5529,2021-04-22,City 5,18,3.23
USER5530,2021-11-03,City 6,24,3.18
USER5531,2020-10-29,City 7,12,3.55
USER5532,2023-05-05,City 8,12,3.59
USER5533,2020-01-06,City 9,18,4.46
USER5534,2021-07-21,City 10,15,2.7
USER5535,2020-10-23,City 11,19,2.24
USER5536,2020-09-23,City 12,18,1.57
USER5537,2023-01-11,City 13,22,3.91
USER5538,2021-05-28,City 14,12,3.82
USER5539,2020-12-23,City 15,11,3.73
USER5540,2020-08-13,City 1,18,2.71
USER5541,2023-09-15,City 2,23,3.56
USER5542,2020-02-22,City 3,14,2.95
USER5543,2020-09-26,City 4,14,2.67
USER5544,2020-01-31,City 5,19,3.3
USER5545,2022-01-03,City 6,14,3.59
USER5546,2021-05-02,City 7,17,3.1
USER5547,2023-04-20,City 8,7,2.57
USER5548,2021-10-25,City 9,11,1.27
USER5549,2020-02-02,City 10,16,2.75
USER5550,2020-12-22,City 11,10,2.26
USER5551,2021-06-27,City 12,17,3.27
USER5552,2020-04-17,City 13,12,3.49
USER5553,2020-09-16,City 14,16,2.32
USER5554,2022-05-12,City 15,21,1.49
USER5555,2022-12-13,City 1,17,2.12
USER5556,2020-08-20,City 2,15,2.33
USER5557,2020-05-10,City 3,13,3.79
USER5558,2022-09-02,City 4,16,1.72
USER5559,2022-07-07,City 5,18,3.19
USER5560,2022-01-11,City 6,8,2.53
USER5561,2022-11-17,City 7,12,2.71
USER5562,2023-04-30,City 8,17,0.77
USER5563,2020-08-11,City 9,7,3.53
USER5564,2022-07-14,City 10,23,1.94
USER5565,2022-10-28,City 11,17,3.49
USER5566,2021-03-29,City 12,11,3.94
USER5567,2023-06-13,City 13,18,3.02
USER5568,2020-03-29,City 14,12,4.72
USER5569,2023-09-11,City 15,8,4.11
USER5570,2022-12-03,City 1,9,3.14
USER5571,2021-09-09,City 2,18,2.72
USER5572,2022-07-27,City 3,14,3.11
USER5573,2023-08-10,City 4,14,1.94
USER5574,2020-03-04,City 5,11,3.26
USER5575,2020-05-04,City 6,12,4.56
USER5576,2022-09-07,City 7,16,2.02
USER5577,2022-04-02,City 8,12,2.56
USER5578,2022-05-23,City 9,16,3.75
USER5579,2023-11-06,City 10,17,2.38
USER5580,2020-08-09,City 11,12,3.74
USER5581,2022-10-01,City 12,17,3.37
USER5582,2023-12-29,City 13,13,3.11
USER5583,2022-06-27,City 14,16,2.57
USER5584,2020-05-30,City 15,23,4.42
USER5585,2020-06-14,City 1,11,0.97
USER5586,2021-10-21,City 2,17,2.79
USER5587,2023-05-30,City 3,14,2.99
USER5588,2020-10-30,City 4,16,1.47
USER5589,2020-05-14,City 5,14,4.5
USER5590,2020-09-15,City 6,11,2.79
USER5591,2021-07-17,City 7,29,2.2
USER5592,2023-07-02,City 8,9,4.85
USER5593,2023-07-20,City 9,21,3.77
USER5594,2023-04-13,City 10,12,3.09
USER5595,2023-01-28,City 11,18,3.35
USER5596,2023-12-29,City 12,16,3.54
USER5597,2021-10-27,City 13,17,2.7
USER5598,2022-02-19,City 14,18,3.54
USER5599,2023-05-08,City 15,18,3.52
USER5600,2022-12-22,City 1,12,3.0
USER5601,2021-08-26,City 2,12,3.41
USER5602,2022-07-18,City 3,7,3.85
USER5603,2022-11-01,City 4,18,2.8
USER5604,2023-05-24,City 5,17,3.33
USER5605,2022-05-31,City 6,22,4.14
USER5606,2020-07-22,City 7,11,3.39
USER5607,2023-12-08,City 8,18,3.59
USER5608,2020-08-22,City 9,15,4.38
USER5609,2023-09-02,City 10,16,3.17
USER5610,2023-08-26,City 11,12,3.07
USER5611,2023-02-03,City 12,21,3.04
USER5612,2021-03-16,City 13,19,2.95
USER5613,2022-05-30,City 14,16,3.47
USER5614,2022-07-13,City 15,17,3.35
USER5615,2021-04-12,City 1,14,2.57
USER5616,2022-04-27,City 2,22,4.59
USER5617,2021-11-25,City 3,19,3.37
USER5618,2022-07-17,City 4,14,4.11
USER5619,2022-03-27,City 5,13,2.81
USER5620,2022-05-01,City 6,7,0.91
USER5621,2020-07-13,City 7,22,3.29
USER5622,2021-10-02,City 8,18,1.77
USER5623,2022-05-24,City 9,17,4.33
USER5624,2021-10-02,City 10,10,2.61
USER5625,2023-09-24,City 11,8,4.34
USER5626,2021-06-06,City 12,19,4.57
USER5627,2022-02-05,City 13,9,2.55
USER5628,2020-11-08,City 14,13,2.71
USER5629,2023-11-07,City 15,15,2.53
USER5630,2022-08-29,City 1,13,4.57
USER5631,2020-05-17,City 2,13,1.25
USER5632,2020-07-05,City 3,24,2.45
USER5633,2020-06-23,City 4,13,2.84
