transaction_id,customer_id,product_id,date,quantity,region,discount,price,total_amount
TXN50064,CUST10233,PROD1134,2023-04-28,3,North,3.74,7.67,22.15
TXN50065,CUST10211,PROD1009,2023-04-17,2,North,4.01,3.7,7.1
TXN50066,CUST12716,PROD1159,2023-03-14,3,West,1.34,30.03,88.88
TXN50067,CUST10233,PROD1151,2023-11-13,1,North,11.04,29.88,26.58
TXN50068,CUST13854,PROD1036,2023-07-29,1,West,7.85,11.16,10.28
TXN50069,CUST10280,PROD1133,2023-02-12,4,South,1.45,18.79,74.07
TXN50070,CUST11182,PROD1060,2023-10-31,4,East,5.85,7.0,26.36
TXN50071,CUST13339,PROD1179,2023-05-05,2,North,6.7,13.17,24.58
TXN50072,CUST10380,PROD1169,2023-01-11,4,East,8.69,34.42,125.72
TXN50073,CUST14419,PROD1147,2023-01-05,1,South,6.34,8.44,7.9
TXN50074,CUST13088,PROD1138,2023-03-09,2,South,2.61,25.37,49.42
TXN50075,CUST14902,PROD1101,2023-01-22,1,West,14.64,20.61,17.59
TXN50076,CUST14302,PROD1053,2023-08-17,5,West,4.98,10.11,48.03
TXN50077,CUST11390,PROD1147,2023-11-10,5,West,7.58,8.44,39.0
TXN50078,CUST11295,PROD1024,2023-01-05,2,East,11.4,7.95,14.09
TXN50079,CUST10820,PROD1161,2023-07-18,3,West,15.52,18.5,46.89
TXN50080,CUST10122,PROD1009,2023-05-31,4,East,0.0,3.7,14.8
TXN50081,CUST12856,PROD1107,2023-08-17,2,West,3.24,31.44,60.84
TXN50082,CUST11824,PROD1045,2023-04-17,4,North,5.49,36.43,137.72
TXN50083,CUST10754,PROD1007,2023-11-06,1,North,12.62,20.49,17.9
TXN50084,CUST13439,PROD1070,2023-06-13,3,South,15.59,35.25,89.26
TXN50085,CUST10543,PROD1109,2024-01-01,4,West,4.64,5.47,20.86
TXN50086,CUST10920,PROD1117,2023-09-28,5,East,4.51,33.76,161.19
TXN50087,CUST13896,PROD1143,2023-01-19,5,North,0.1,35.39,176.77
TXN50088,CUST13804,PROD1106,2023-01-12,1,North,21.91,25.45,19.87
TXN50089,CUST13400,PROD1050,2023-10-06,2,West,5.58,35.91,67.81
TXN50090,CUST14396,PROD1010,2023-12-16,4,North,8.97,16.4,59.72
TXN50091,CUST13607,PROD1196,2023-02-20,1,West,5.25,11.07,10.49
TXN50092,CUST11101,PROD1056,2023-09-01,5,South,11.57,5.87,25.95
TXN50093,CUST14941,PROD1138,2023-05-16,5,East,14.31,25.37,108.7
TXN50094,CUST10005,PROD1016,2023-06-06,5,North,3.21,32.43,156.94
TXN50095,CUST12551,PROD1099,2023-02-06,3,South,2.65,24.28,70.91
TXN50096,CUST13901,PROD1148,2023-02-16,3,North,2.32,16.12,47.24
TXN50097,CUST13846,PROD1017,2023-08-27,5,West,1.43,56.58,278.85
TXN50098,CUST12104,PROD1146,2023-01-22,2,East,5.79,6.15,11.59
TXN50099,CUST11050,PROD1193,2023-08-27,3,West,4.48,19.96,57.2
TXN50100,CUST12645,PROD1065,2023-03-22,4,North,1.3,11.55,45.6
TXN50101,CUST14423,PROD1139,2023-05-04,3,North,2.86,18.03,52.54
TXN50102,CUST12994,PROD1100,2023-01-13,4,South,0.14,6.71,26.8
TXN50103,CUST10789,PROD1122,2023-10-05,3,North,0.14,5.67,16.99
TXN50104,CUST13914,PROD1010,2023-11-02,5,North,6.43,16.4,76.73
TXN50105,CUST14037,PROD1119,2023-06-01,4,East,0.66,46.87,186.24
TXN50106,CUST14679,PROD1166,2023-07-26,2,West,3.53,20.38,39.32
TXN50107,CUST11607,PROD1097,2023-07-27,3,North,0.78,15.6,46.43
TXN50108,CUST11030,PROD1178,2023-08-12,3,West,7.43,89.05,247.3
TXN50109,CUST11796,PROD1156,2023-03-22,5,East,0.22,6.4,31.93
TXN50110,CUST14216,PROD1137,2023-11-14,4,East,5.62,13.05,49.27
TXN50111,CUST11063,PROD1191,2023-09-20,5,North,12.9,38.27,166.67
TXN50112,CUST11168,PROD1104,2023-02-07,4,West,4.02,11.78,45.23
TXN50113,CUST11847,PROD1065,2023-10-28,3,North,3.17,11.55,33.55
TXN50114,CUST10673,PROD1069,2023-11-01,3,North,17.76,18.41,45.42
TXN50115,CUST10776,PROD1070,2023-08-25,3,East,1.0,35.25,104.69
TXN50116,CUST13308,PROD1150,2023-09-19,3,North,5.57,27.45,77.76
TXN50117,CUST12312,PROD1016,2023-09-23,1,South,2.45,32.43,31.64
TXN50118,CUST10862,PROD1030,2023-04-07,3,East,1.06,15.92,47.25
TXN50119,CUST12046,PROD1139,2023-06-27,3,East,16.42,18.03,45.21
TXN50120,CUST11853,PROD1089,2023-09-19,4,West,1.35,10.83,42.74
TXN50121,CUST12053,PROD1020,2023-11-24,3,East,5.24,9.92,28.2
TXN50122,CUST11512,PROD1010,2023-05-21,3,South,7.99,16.4,45.27
TXN50123,CUST12466,PROD1027,2023-04-09,4,North,11.69,130.65,461.51
TXN50124,CUST12692,PROD1087,2023-05-22,3,North,1.77,41.12,121.18
TXN50125,CUST13785,PROD1067,2023-11-21,3,North,9.1,11.57,31.55
TXN50126,CUST14839,PROD1171,2023-02-17,5,North,1.14,14.3,70.68
TXN50127,CUST14259,PROD1042,2023-08-29,1,East,2.76,65.64,63.83
TXN50128,CUST14234,PROD1112,2023-08-10,4,South,2.54,19.04,74.23
TXN50129,CUST14728,PROD1199,2023-06-25,5,East,0.58,28.93,143.81
TXN50130,CUST12185,PROD1044,2023-02-01,2,North,12.5,11.72,20.51
TXN50131,CUST11078,PROD1082,2023-05-06,2,North,3.08,48.77,94.54
TXN50132,CUST12686,PROD1085,2023-08-09,1,North,1.58,21.24,20.9
TXN50133,CUST13457,PROD1117,2023-01-09,2,West,15.82,33.76,56.84
TXN50134,CUST13070,PROD1058,2023-03-26,1,East,1.03,4.0,3.96
TXN50135,CUST11189,PROD1003,2023-11-04,2,West,0.75,70.54,140.02
TXN50136,CUST14746,PROD1188,2023-02-11,2,West,1.17,21.39,42.28
TXN50137,CUST10280,PROD1026,2023-11-05,5,West,1.13,9.94,49.14
TXN50138,CUST13154,PROD1129,2023-04-21,2,East,8.67,20.76,37.92
TXN50139,CUST10393,PROD1191,2023-01-11,1,West,0.98,38.27,37.89
TXN50140,CUST11621,PROD1011,2023-06-28,3,West,0.62,45.02,134.22
TXN50141,CUST11492,PROD1134,2023-12-12,3,East,1.04,7.67,22.77
TXN50142,CUST10117,PROD1126,2023-03-03,3,East,0.19,16.24,48.63
TXN50143,CUST11171,PROD1034,2023-03-21,1,South,1.67,15.79,15.53
TXN50144,CUST10279,PROD1086,2023-08-27,1,North,6.84,23.59,21.98
TXN50145,CUST11948,PROD1128,2023-02-03,3,West,5.93,7.89,22.27
TXN50146,CUST11326,PROD1077,2023-11-05,2,South,9.25,13.99,25.39
TXN50147,CUST13250,PROD1044,2023-09-29,3,North,4.32,11.72,33.64
TXN50148,CUST12642,PROD1057,2023-02-09,4,West,3.19,20.03,77.56
TXN50149,CUST10095,PROD1004,2023-01-31,1,South,0.97,2.81,2.78
TXN50150,CUST14686,PROD1033,2023-10-27,4,South,9.71,76.98,278.02
TXN50151,CUST13938,PROD1041,2023-09-21,4,West,7.1,35.7,132.66
TXN50152,CUST13963,PROD1164,2023-05-15,1,North,4.46,57.18,54.63
TXN50153,CUST12817,PROD1187,2023-05-16,3,East,5.32,10.39,29.51
TXN50154,CUST11538,PROD1121,2023-07-28,5,South,10.95,29.03,129.26
TXN50155,CUST14728,PROD1046,2023-06-12,4,North,4.67,19.46,74.2
TXN50156,CUST13323,PROD1124,2023-03-11,3,East,5.82,16.74,47.3
TXN50157,CUST13703,PROD1176,2023-06-05,5,South,2.43,48.11,234.7
TXN50158,CUST11759,PROD1095,2023-11-21,4,West,2.15,31.61,123.72
TXN50159,CUST13712,PROD1040,2023-09-28,3,North,1.35,7.63,22.58
TXN50160,CUST12152,PROD1029,2023-10-14,4,East,3.03,7.9,30.64
TXN50161,CUST14471,PROD1175,2023-03-09,3,South,7.24,4.55,12.66
TXN50162,CUST13603,PROD1088,2023-08-07,2,North,1.99,19.5,38.22
TXN50163,CUST10965,PROD1043,2023-07-01,2,West,4.38,23.98,45.86
TXN50164,CUST12288,PROD1124,2023-03-10,1,North,2.74,16.74,16.28
TXN50165,CUST14214,PROD1199,2023-04-13,5,North,6.9,28.93,134.67
TXN50166,CUST12763,PROD1186,2023-05-24,4,East,0.65,29.51,117.27
TXN50167,CUST12762,PROD1170,2023-04-20,4,South,7.74,34.02,125.55
TXN50168,CUST11526,PROD1037,2023-01-30,3,West,2.99,13.18,38.36
TXN50169,CUST12091,PROD1061,2023-06-06,5,South,5.57,17.27,81.54
TXN50170,CUST12793,PROD1017,2023-01-22,4,North,1.02,56.58,224.01
TXN50171,CUST13992,PROD1030,2023-07-17,5,South,14.21,15.92,68.29
TXN50172,CUST14496,PROD1179,2023-04-23,5,East,0.43,13.17,65.57
TXN50173,CUST13738,PROD1068,2023-03-07,2,West,3.34,11.49,22.21
TXN50174,CUST10790,PROD1056,2023-06-28,4,South,4.85,5.87,22.34
TXN50175,CUST12804,PROD1073,2023-12-12,4,South,10.39,19.98,71.62
TXN50176,CUST14252,PROD1017,2023-03-16,1,North,0.34,56.58,56.39
TXN50177,CUST12153,PROD1186,2023-10-16,5,West,8.75,29.51,134.64
TXN50178,CUST10517,PROD1098,2023-07-09,3,West,7.76,13.86,38.35
TXN50179,CUST12993,PROD1098,2023-07-16,2,South,11.16,13.86,24.63
TXN50180,CUST13494,PROD1059,2023-10-31,1,East,5.72,65.1,61.38
TXN50181,CUST10208,PROD1138,2023-02-13,2,North,0.19,25.37,50.64
TXN50182,CUST14450,PROD1040,2023-01-08,3,West,2.07,7.63,22.42
TXN50183,CUST11034,PROD1106,2023-04-11,1,South,1.88,25.45,24.97
TXN50184,CUST10774,PROD1118,2023-07-08,2,East,1.06,19.34,38.27
TXN50185,CUST11860,PROD1112,2023-03-23,3,South,2.26,19.04,55.83
TXN50186,CUST13747,PROD1193,2023-05-27,1,East,11.13,19.96,17.74
TXN50187,CUST10910,PROD1093,2023-12-08,3,East,3.98,18.59,53.55
TXN50188,CUST10985,PROD1149,2023-02-22,1,East,8.82,10.91,9.95
TXN50189,CUST14509,PROD1112,2023-07-08,4,South,7.38,19.04,70.54
TXN50190,CUST12422,PROD1033,2023-05-26,4,West,3.39,76.98,297.48
TXN50191,CUST11034,PROD1119,2023-05-31,2,North,2.28,46.87,91.6
TXN50192,CUST12847,PROD1112,2023-08-21,5,West,9.46,19.04,86.19
TXN50193,CUST12515,PROD1119,2023-11-14,5,West,14.95,46.87,199.31
TXN50194,CUST13707,PROD1028,2024-01-01,3,South,8.55,9.87,27.08
TXN50195,CUST13573,PROD1167,2023-12-27,1,South,8.83,40.95,37.33
TXN50196,CUST14532,PROD1146,2023-10-22,4,South,5.8,6.15,23.17
TXN50197,CUST10679,PROD1130,2023-06-20,5,West,0.04,22.01,110.01
TXN50198,CUST14134,PROD1179,2023-09-24,4,South,6.94,13.17,49.02
TXN50199,CUST11495,PROD1070,2023-02-06,3,North,2.48,35.25,103.13
TXN50200,CUST13256,PROD1104,2023-12-24,3,South,8.25,11.78,32.42
TXN50201,CUST14185,PROD1006,2023-10-05,1,West,18.41,12.36,10.08
TXN50202,CUST11596,PROD1090,2023-06-12,5,North,0.41,18.55,92.37
TXN50203,CUST11160,PROD1048,2023-12-22,3,East,2.78,9.43,27.5
TXN50204,CUST11817,PROD1179,2023-01-04,3,West,12.95,13.17,34.39
TXN50205,CUST10136,PROD1077,2023-02-28,4,West,0.76,13.99,55.53
TXN50206,CUST11627,PROD1100,2023-03-25,2,South,5.48,6.71,12.68
TXN50207,CUST12899,PROD1187,2023-01-11,5,South,1.37,10.39,51.24
TXN50208,CUST14305,PROD1084,2023-09-26,1,East,12.75,2.47,2.16
TXN50209,CUST14922,PROD1163,2023-04-16,1,South,14.62,23.13,19.75
TXN50210,CUST11243,PROD1112,2023-09-21,4,North,5.58,19.04,71.91
TXN50211,CUST14611,PROD1073,2023-10-23,1,North,1.6,19.98,19.66
TXN50212,CUST14346,PROD1194,2023-03-29,3,West,0.3,25.81,77.2
TXN50213,CUST14301,PROD1192,2023-02-20,5,North,0.78,21.58,107.06
TXN50214,CUST10384,PROD1015,2023-02-04,1,South,8.07,23.0,21.14
TXN50215,CUST14367,PROD1157,2023-07-30,5,South,0.42,48.32,240.59
TXN50216,CUST12970,PROD1097,2023-04-10,1,West,0.44,15.6,15.53
TXN50217,CUST14419,PROD1137,2023-05-17,2,South,17.86,13.05,21.44
TXN50218,CUST11887,PROD1059,2023-09-11,2,West,0.03,65.1,130.16
TXN50219,CUST14348,PROD1066,2023-01-08,5,East,9.39,16.19,73.35
TXN50220,CUST11366,PROD1176,2023-03-02,2,North,15.32,48.11,81.48
TXN50221,CUST13067,PROD1165,2023-07-24,2,East,0.27,11.65,23.24
TXN50222,CUST11300,PROD1136,2023-07-06,3,East,0.64,22.85,68.11
TXN50223,CUST10820,PROD1111,2023-05-09,1,South,1.94,23.3,22.85
TXN50224,CUST11356,PROD1160,2023-03-03,2,West,1.39,20.26,39.96
TXN50225,CUST11853,PROD1152,2023-09-26,5,North,0.61,13.64,67.78
TXN50226,CUST11245,PROD1129,2023-05-03,3,South,7.96,20.76,57.32
TXN50227,CUST14430,PROD1125,2023-12-11,2,South,3.69,13.59,26.18
TXN50228,CUST14994,PROD1024,2023-11-22,5,West,0.31,7.95,39.63
TXN50229,CUST13473,PROD1109,2023-12-14,1,South,12.54,5.47,4.78
TXN50230,CUST11656,PROD1177,2023-09-21,2,West,1.74,4.44,8.73
TXN50231,CUST12280,PROD1074,2023-05-20,5,East,4.61,6.73,32.1
TXN50232,CUST10400,PROD1193,2023-03-09,5,South,3.41,19.96,96.4
TXN50233,CUST13283,PROD1102,2023-11-10,4,East,7.04,47.67,177.26
TXN50234,CUST12428,PROD1040,2023-12-16,5,East,1.0,7.63,37.77
TXN50235,CUST13193,PROD1157,2023-12-14,4,West,0.2,48.32,192.89
TXN50236,CUST14274,PROD1032,2023-04-19,1,West,4.08,26.68,25.59
TXN50237,CUST13450,PROD1144,2023-11-18,1,South,4.23,98.14,93.99
TXN50238,CUST13903,PROD1023,2023-08-03,3,West,2.84,49.36,143.87
TXN50239,CUST13833,PROD1195,2023-04-20,4,South,5.29,37.09,140.51
TXN50240,CUST12637,PROD1127,2023-02-18,5,East,2.01,9.4,46.06
TXN50241,CUST11115,PROD1122,2023-08-31,3,West,0.24,5.67,16.97
TXN50242,CUST12457,PROD1192,2023-12-06,3,North,1.54,21.58,63.74
TXN50243,CUST10002,PROD1049,2023-07-28,1,West,6.13,9.97,9.36
TXN50244,CUST10613,PROD1099,2023-11-28,5,North,1.82,24.28,119.19
TXN50245,CUST12058,PROD1196,2023-02-15,4,East,16.37,11.07,37.03
TXN50246,CUST14552,PROD1004,2023-10-18,1,North,6.61,2.81,2.62
TXN50247,CUST12552,PROD1083,2023-09-01,3,East,2.66,22.05,64.39
TXN50248,CUST11710,PROD1061,2023-04-22,2,West,0.53,17.27,34.36
TXN50249,CUST14865,PROD1193,2023-01-06,3,South,17.64,19.96,49.32
TXN50250,CUST10547,PROD1152,2023-02-27,2,West,9.22,13.64,24.76
TXN50251,CUST10485,PROD1000,2023-06-06,1,North,7.44,6.69,6.19
TXN50252,CUST13361,PROD1139,2023-11-25,4,West,12.61,18.03,63.03
TXN50253,CUST11149,PROD1016,2023-02-05,5,South,2.44,32.43,158.19
TXN50254,CUST11177,PROD1021,2023-02-18,2,North,1.46,32.0,63.07
TXN50255,CUST13939,PROD1003,2023-02-18,5,North,12.62,70.54,308.19
TXN50256,CUST11312,PROD1005,2023-01-24,1,West,1.8,80.42,78.97
TXN50257,CUST11986,PROD1008,2023-11-14,1,South,16.87,51.91,43.15
TXN50258,CUST13205,PROD1123,2023-05-31,1,South,5.89,120.78,113.67
TXN50259,CUST11306,PROD1179,2023-12-10,4,West,2.25,13.17,51.49
TXN50260,CUST13432,PROD1120,2023-11-01,2,South,5.98,16.61,31.23
TXN50261,CUST13203,PROD1138,2023-09-15,5,South,3.73,25.37,122.12
TXN50262,CUST14844,PROD1060,2023-10-21,3,South,4.51,7.0,20.05
TXN50263,CUST11584,PROD1029,2023-11-12,1,West,2.8,7.9,7.68
TXN50264,CUST12036,PROD1132,2023-01-04,5,East,3.54,19.55,94.29
TXN50265,CUST12870,PROD1040,2023-12-08,5,North,17.49,7.63,31.48
TXN50266,CUST10577,PROD1187,2023-06-19,4,North,0.17,10.39,41.49
TXN50267,CUST11853,PROD1104,2023-07-30,2,South,4.53,11.78,22.49
TXN50268,CUST12262,PROD1052,2023-08-31,4,West,12.62,42.16,147.36
TXN50269,CUST11150,PROD1122,2023-11-05,4,West,1.58,5.67,22.32
TXN50270,CUST13288,PROD1163,2023-10-08,5,West,7.8,23.13,106.63
TXN50271,CUST11011,PROD1064,2023-06-21,2,North,1.56,88.18,173.61
TXN50272,CUST14799,PROD1018,2023-09-16,2,South,2.37,32.52,63.5
TXN50273,CUST11243,PROD1150,2023-07-30,2,South,4.63,27.45,52.36
TXN50274,CUST11686,PROD1138,2023-05-13,1,South,10.63,25.37,22.67
TXN50275,CUST13632,PROD1124,2023-12-18,2,West,7.73,16.74,30.89
TXN50276,CUST11166,PROD1173,2023-11-07,5,East,0.4,11.04,54.98
TXN50277,CUST12256,PROD1190,2023-01-31,1,West,11.48,64.14,56.78
TXN50278,CUST12682,PROD1012,2023-09-13,3,North,5.65,12.26,34.7
TXN50279,CUST10088,PROD1053,2023-11-13,4,North,14.61,10.11,34.53
TXN50280,CUST10960,PROD1046,2023-07-19,2,South,0.33,19.46,38.79
TXN50281,CUST14264,PROD1047,2023-03-02,3,West,0.47,45.24,135.08
TXN50282,CUST12549,PROD1081,2023-10-03,2,East,6.85,32.76,61.03
TXN50283,CUST14294,PROD1014,2023-06-08,4,North,2.57,34.51,134.49
TXN50284,CUST10840,PROD1187,2023-01-27,5,West,3.48,10.39,50.14
TXN50285,CUST14902,PROD1131,2023-05-19,5,North,8.12,24.03,110.39
TXN50286,CUST13859,PROD1022,2023-04-06,4,East,0.38,29.71,118.39
TXN50287,CUST11902,PROD1159,2023-11-28,3,East,0.11,30.03,89.99
TXN50288,CUST13590,PROD1050,2023-02-20,1,West,8.05,35.91,33.02
TXN50289,CUST12447,PROD1059,2023-02-17,1,North,2.68,65.1,63.36
TXN50290,CUST11022,PROD1159,2023-08-02,2,East,2.31,30.03,58.67
TXN50291,CUST14433,PROD1172,2023-04-18,4,West,4.72,8.88,33.84
TXN50292,CUST14997,PROD1038,2023-04-22,4,West,16.29,6.57,22.0
TXN50293,CUST13722,PROD1041,2023-05-21,1,East,3.77,35.7,34.35
TXN50294,CUST11258,PROD1121,2023-12-05,3,South,13.16,29.03,75.63
TXN50295,CUST10576,PROD1066,2023-01-31,4,East,1.15,16.19,64.02
TXN50296,CUST12796,PROD1166,2023-03-04,5,West,1.31,20.38,100.57
TXN50297,CUST12229,PROD1074,2023-08-09,5,West,3.77,6.73,32.38
TXN50298,CUST10335,PROD1094,2023-07-24,4,West,7.63,9.1,33.62
TXN50299,CUST13125,PROD1067,2023-05-08,3,East,0.02,11.57,34.7
TXN50300,CUST12092,PROD1168,2023-04-21,5,North,4.47,22.91,109.43
TXN50301,CUST10924,PROD1177,2023-02-19,3,North,2.42,4.44,13.0
TXN50302,CUST13821,PROD1089,2023-04-28,1,East,4.78,10.83,10.31
TXN50303,CUST13489,PROD1185,2023-11-03,2,South,1.29,10.7,21.12
TXN50304,CUST14792,PROD1072,2023-04-17,1,West,3.45,10.95,10.57
TXN50305,CUST11379,PROD1196,2023-04-23,2,East,12.56,11.07,19.36
TXN50306,CUST13991,PROD1072,2023-09-01,5,North,3.9,10.95,52.61
TXN50307,CUST12384,PROD1123,2023-04-10,2,East,0.1,120.78,241.32
TXN50308,CUST11840,PROD1041,2023-07-25,2,South,1.4,35.7,70.4
TXN50309,CUST14283,PROD1113,2023-02-08,4,South,0.87,26.69,105.83
TXN50310,CUST10844,PROD1132,2023-09-11,2,West,7.98,19.55,35.98
TXN50311,CUST10725,PROD1126,2023-10-22,4,East,11.51,16.24,57.48
TXN50312,CUST14942,PROD1181,2023-10-07,2,East,0.66,5.98,11.88
TXN50313,CUST14907,PROD1153,2023-05-30,4,North,4.12,52.03,199.55
TXN50314,CUST12970,PROD1044,2023-05-15,5,East,5.68,11.72,55.27
TXN50315,CUST11976,PROD1074,2023-11-24,5,South,4.47,6.73,32.15
TXN50316,CUST14051,PROD1072,2023-09-30,2,South,1.33,10.95,21.61
TXN50317,CUST13542,PROD1112,2023-10-25,3,West,3.7,19.04,55.01
TXN50318,CUST13454,PROD1173,2023-11-06,5,West,0.59,11.04,54.87
TXN50319,CUST10464,PROD1186,2023-09-15,1,East,5.5,29.51,27.89
TXN50320,CUST10861,PROD1175,2023-04-14,1,East,2.6,4.55,4.43
TXN50321,CUST12295,PROD1117,2023-07-10,4,North,1.2,33.76,133.42
TXN50322,CUST12259,PROD1019,2023-10-05,3,North,5.18,42.24,120.16
TXN50323,CUST12061,PROD1116,2023-09-08,4,South,4.19,23.83,91.33
TXN50324,CUST14160,PROD1079,2023-06-07,2,North,1.03,13.39,26.5
TXN50325,CUST12693,PROD1006,2023-11-29,5,North,4.07,12.36,59.28
TXN50326,CUST13437,PROD1104,2023-05-18,3,South,0.05,11.78,35.32
TXN50327,CUST12058,PROD1100,2023-09-27,4,North,8.36,6.71,24.6
TXN50328,CUST12921,PROD1142,2023-06-24,4,West,7.52,29.61,109.53
TXN50329,CUST10680,PROD1099,2023-04-13,1,East,9.75,24.28,21.91
TXN50330,CUST10105,PROD1115,2023-03-03,2,North,1.45,9.03,17.8
TXN50331,CUST10828,PROD1145,2023-03-13,4,South,1.34,40.09,158.21
TXN50332,CUST13977,PROD1197,2023-05-18,1,East,3.79,41.37,39.8
TXN50333,CUST11988,PROD1147,2023-02-02,3,South,2.0,8.44,24.81
TXN50334,CUST14798,PROD1190,2023-09-12,4,North,6.68,64.14,239.42
TXN50335,CUST14054,PROD1066,2023-07-11,1,North,0.9,16.19,16.04
TXN50336,CUST11813,PROD1032,2023-11-14,2,South,2.12,26.68,52.23
TXN50337,CUST14842,PROD1001,2023-02-24,5,South,2.28,58.21,284.41
TXN50338,CUST13553,PROD1174,2023-12-16,3,East,10.47,8.44,22.67
