customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
BANK10062,539,France,Male,74,0,11519.98,3,1,1,37782.32,0
BANK10063,530,Germany,Male,33,1,993.12,1,1,0,31788.75,1
BANK10064,731,France,Female,28,7,1090.68,2,1,1,26255.44,0
BANK10065,785,Germany,Male,59,4,2627.33,5,1,0,22554.52,0
BANK10066,642,United Kingdom,Female,25,1,926.9,4,1,1,30255.91,0
BANK10067,750,Germany,Female,50,0,2234.54,3,1,0,29497.91,0
BANK10068,686,Germany,Male,27,2,5187.94,2,1,1,23780.5,0
BANK10069,585,United Kingdom,Female,79,0,8378.37,2,0,0,39722.87,0
BANK10070,686,Germany,Male,35,2,1797.21,2,0,0,35602.28,1
BANK10071,803,United States,Female,52,8,1654.55,4,1,1,37463.15,0
BANK10072,646,Spain,Male,79,2,7564.8,3,0,1,24510.65,0
BANK10073,806,United Kingdom,Male,60,7,2398.46,4,1,0,43227.01,0
BANK10074,388,Spain,Male,67,1,8531.82,5,1,1,27864.0,0
BANK10075,732,United Kingdom,Male,20,3,25088.54,3,0,1,65456.53,0
BANK10076,658,United Kingdom,Male,57,6,19477.96,3,1,1,15081.32,0
BANK10077,620,France,Male,44,2,5433.72,2,1,0,28950.18,1
BANK10078,659,France,Female,76,2,2351.72,1,0,0,44206.84,0
BANK10079,451,Germany,Male,45,3,338.66,2,1,1,21481.09,0
BANK10080,628,Spain,Male,63,6,6697.83,2,1,1,61449.41,0
BANK10081,685,United Kingdom,Female,23,0,19076.12,1,1,0,54575.16,1
BANK10082,797,Germany,Female,64,1,352.03,2,1,0,71580.27,0
BANK10083,598,United States,Female,31,1,30.93,4,0,1,60650.99,0
BANK10084,569,United Kingdom,Male,24,7,8912.3,5,1,1,48589.98,0
BANK10085,599,United States,Female,27,9,539.37,4,0,1,38385.13,0
BANK10086,741,Germany,Female,32,0,425.74,1,0,1,22426.09,1
BANK10087,682,France,Male,48,0,12058.43,1,1,1,62282.99,0
BANK10088,597,Germany,Male,46,8,414.52,2,0,1,27985.69,0
BANK10089,701,United States,Female,59,1,605.29,1,0,1,33227.93,0
BANK10090,659,United Kingdom,Male,71,0,4214.9,3,1,0,30995.01,0
BANK10091,746,Spain,Female,34,0,7069.65,1,1,0,29158.27,0
BANK10092,579,Germany,Male,76,0,2550.56,2,0,1,57548.53,0
BANK10093,617,United Kingdom,Male,68,3,2728.72,1,1,1,52132.08,0
BANK10094,610,France,Female,46,1,5006.87,3,0,1,44643.3,0
BANK10095,503,France,Female,66,2,3520.29,4,1,0,36407.78,1
BANK10096,679,France,Female,61,7,94.02,5,1,1,18377.31,0
BANK10097,676,United Kingdom,Female,32,0,602.84,5,1,1,35267.85,0
BANK10098,650,Germany,Male,43,0,4356.59,2,1,0,61936.35,0
BANK10099,626,United Kingdom,Male,29,5,7891.21,4,0,0,29797.64,0
BANK10100,508,United Kingdom,Female,42,4,7200.65,3,0,0,29004.98,0
BANK10101,607,Spain,Male,78,0,6736.46,3,1,1,51165.0,0
BANK10102,615,Spain,Female,58,1,7376.12,4,1,1,35906.12,0
BANK10103,569,Germany,Male,22,1,227.31,1,1,0,59526.72,1
BANK10104,633,Spain,Male,21,3,11273.81,5,1,0,25605.74,0
BANK10105,690,France,Male,61,0,11003.89,2,0,1,39351.38,1
BANK10106,838,Spain,Female,65,2,3795.62,2,1,1,41358.21,0
BANK10107,667,France,Male,58,0,1429.05,2,1,1,35125.0,0
BANK10108,675,Germany,Male,74,5,4484.63,4,1,1,62136.12,0
BANK10109,642,United Kingdom,Female,48,1,4080.94,3,1,1,36946.96,0
BANK10110,458,United Kingdom,Male,20,2,1261.3,3,1,0,47816.28,1
BANK10111,647,Spain,Female,70,0,4620.73,1,1,0,35312.15,0
BANK10112,656,France,Female,20,0,7980.0,1,1,1,36050.23,0
BANK10113,850,United States,Male,43,3,8202.24,3,1,1,41869.54,0
BANK10114,630,United States,Female,67,4,307.77,1,1,1,25000.54,0
BANK10115,680,United States,Male,34,3,1098.02,1,0,0,28727.87,1
BANK10116,646,United Kingdom,Male,77,4,5516.47,1,1,0,34533.72,1
BANK10117,533,United Kingdom,Female,27,0,9824.57,1,1,1,37017.38,0
BANK10118,764,France,Female,19,3,3682.54,2,1,0,36100.45,0
BANK10119,725,Spain,Female,41,0,6146.89,1,0,1,18109.23,0
BANK10120,729,United States,Female,28,0,106.49,4,1,1,54381.95,0
BANK10121,559,France,Male,41,4,4687.84,3,1,0,35557.73,0
BANK10122,790,France,Male,52,6,16338.91,3,1,1,21529.89,0
BANK10123,509,Spain,Male,40,3,5408.99,2,0,0,30948.28,1
BANK10124,708,France,Female,49,4,12772.94,3,1,1,68350.78,0
BANK10125,850,Spain,Male,40,14,4173.66,2,1,1,27991.72,0
BANK10126,550,Germany,Female,51,0,9269.62,1,1,0,80019.33,1
BANK10127,593,Spain,Female,58,10,662.87,1,0,1,30748.4,0
BANK10128,659,United States,Male,36,2,659.17,3,1,1,67902.1,0
BANK10129,599,United States,Female,19,5,640.19,1,1,0,60873.38,1
BANK10130,494,Spain,Male,77,3,3355.46,1,0,0,38481.94,1
BANK10131,656,Germany,Female,68,2,2004.36,2,0,1,22025.3,1
BANK10132,543,Germany,Female,19,3,6350.31,3,1,1,25749.04,0
BANK10133,697,United States,Male,32,1,11645.77,4,1,1,32605.38,0
BANK10134,558,Germany,Female,73,7,4829.7,4,0,1,41691.99,1
BANK10135,804,France,Male,38,0,1198.97,1,1,1,25506.54,0
BANK10136,571,United Kingdom,Male,52,1,13359.33,5,1,1,18735.44,0
BANK10137,617,France,Female,22,0,3752.37,4,1,0,35831.57,0
BANK10138,731,United States,Female,60,0,6363.86,1,1,0,25033.33,0
BANK10139,526,Germany,Male,44,0,11059.42,4,1,1,27041.6,1
BANK10140,672,Spain,Female,41,0,22942.52,2,1,0,27722.83,0
BANK10141,780,United Kingdom,Female,24,2,3526.75,1,1,1,37340.31,0
BANK10142,489,Spain,Male,23,1,8252.93,1,1,1,46949.29,0
BANK10143,668,United States,Female,63,0,4183.55,2,1,1,65089.55,0
BANK10144,675,Germany,Female,78,0,3332.08,2,1,0,21565.04,0
BANK10145,728,Spain,Female,50,9,3857.84,5,1,1,29356.41,0
BANK10146,526,Spain,Male,75,0,3310.91,1,1,0,46180.01,1
BANK10147,517,United Kingdom,Female,66,1,2732.51,2,0,0,37018.58,1
BANK10148,702,United Kingdom,Male,34,0,6431.71,1,0,1,24065.35,1
BANK10149,679,Germany,Male,63,0,1436.25,3,1,0,53534.93,0
BANK10150,675,United Kingdom,Male,59,3,4790.53,5,0,1,36728.35,0
BANK10151,684,Spain,Male,47,1,6240.67,3,0,1,71650.2,0
BANK10152,581,Spain,Male,25,1,11132.33,2,1,0,38276.77,0
BANK10153,673,United States,Female,57,0,2016.42,4,1,1,29665.31,1
BANK10154,679,Spain,Female,63,3,9852.01,1,1,0,29875.25,0
BANK10155,578,Germany,Female,24,4,14528.65,5,1,1,20434.6,0
BANK10156,836,France,Male,23,0,5230.28,3,1,0,64225.22,1
BANK10157,697,United States,Male,21,0,7379.63,3,1,1,34856.08,0
BANK10158,530,United States,Female,18,0,2601.91,4,1,1,17582.52,1
BANK10159,715,Germany,Female,32,3,15196.9,3,0,1,52218.85,0
BANK10160,552,Germany,Female,48,0,5556.38,3,1,0,23558.64,1
BANK10161,728,United Kingdom,Female,42,2,1856.45,3,1,1,45297.57,0
BANK10162,765,United States,Female,64,0,2589.77,1,0,1,29889.62,1
BANK10163,567,United Kingdom,Female,50,0,4808.47,2,1,1,44825.5,0
BANK10164,746,Spain,Female,69,0,1333.75,5,1,1,20750.16,1
BANK10165,691,United States,Male,52,1,7010.38,1,0,1,40582.74,0
BANK10166,732,United States,Female,72,0,1272.47,2,0,0,26402.67,1
BANK10167,839,France,Female,22,1,4479.86,1,1,0,17722.63,1
BANK10168,625,United States,Male,22,2,5970.22,2,0,1,46100.08,0
BANK10169,574,Spain,Female,53,1,9821.57,3,1,0,33762.23,0
BANK10170,561,United Kingdom,Male,34,3,6619.42,3,1,1,28343.7,0
BANK10171,568,United Kingdom,Male,70,4,8017.9,2,1,0,29311.73,0
BANK10172,642,France,Female,69,3,12205.32,5,0,1,47169.35,0
BANK10173,684,Spain,Male,31,8,4553.68,4,1,0,36688.37,0
BANK10174,677,United Kingdom,Female,75,0,9363.11,1,0,1,45836.78,1
BANK10175,732,Germany,Female,46,0,1319.0,2,0,0,36376.83,0
BANK10176,651,Spain,Male,25,2,8429.79,4,1,0,53786.04,0
BANK10177,795,Spain,Male,51,2,1253.13,1,0,1,20742.86,1
BANK10178,623,France,Female,57,2,13638.4,3,1,1,20249.84,0
BANK10179,850,United Kingdom,Female,18,0,2002.19,1,0,1,44719.9,0
BANK10180,712,Spain,Female,46,2,942.73,1,1,0,54093.17,0
BANK10181,564,United Kingdom,Male,53,8,801.83,5,1,0,44132.38,1
BANK10182,542,Germany,Male,68,1,1036.8,4,1,1,56906.5,0
BANK10183,698,France,Male,54,10,2966.87,1,1,0,52523.26,0
BANK10184,627,Germany,Male,46,1,3692.29,4,1,1,40808.51,1
BANK10185,721,France,Male,22,0,12254.6,1,1,0,16842.5,0
BANK10186,697,Spain,Female,70,1,2398.37,2,1,0,34566.01,0
BANK10187,642,France,Male,49,2,1226.19,3,1,1,30939.12,0
BANK10188,565,United States,Male,77,2,6809.4,2,0,1,44900.27,0
BANK10189,498,United Kingdom,Female,69,2,723.13,4,1,0,45749.38,1
BANK10190,605,United Kingdom,Female,41,2,11141.26,3,1,0,19572.15,0
BANK10191,735,United States,Male,36,0,2633.08,2,0,0,21899.02,0
BANK10192,671,Germany,Male,29,0,4757.54,5,0,1,13893.93,0
BANK10193,525,United States,Male,69,1,1030.11,1,1,0,70675.25,1
BANK10194,667,Spain,Female,18,13,786.36,2,1,0,45194.58,0
BANK10195,688,Spain,Female,24,1,8018.26,3,1,0,30461.18,0
BANK10196,561,United Kingdom,Male,34,6,2807.98,4,1,0,39625.98,1
BANK10197,665,Spain,Male,51,1,21616.08,2,1,1,41950.9,0
BANK10198,655,United Kingdom,Male,60,0,3714.82,4,1,0,48621.39,1
BANK10199,535,United States,Female,24,0,9342.76,2,1,1,16442.19,1
BANK10200,685,United States,Female,34,0,19551.04,2,1,0,26012.68,1
BANK10201,706,United States,Male,76,11,1650.51,5,0,1,39789.2,0
BANK10202,758,United Kingdom,Female,20,3,8069.28,3,0,1,36848.87,0
BANK10203,755,United States,Male,46,8,111.26,2,1,0,45566.65,0
BANK10204,512,United States,Male,39,5,5693.33,4,1,1,21406.61,0
BANK10205,556,Germany,Male,55,2,6836.4,3,1,1,32312.48,1
BANK10206,701,United States,Male,71,3,3244.35,3,0,0,35283.3,0
BANK10207,701,Spain,Female,60,2,884.31,3,1,1,46496.43,0
BANK10208,701,United Kingdom,Female,46,3,4794.95,3,1,1,40496.11,0
BANK10209,850,Germany,Female,67,0,11390.86,2,0,0,25231.4,1
BANK10210,707,France,Male,67,1,13391.43,2,1,0,56526.11,0
BANK10211,763,United Kingdom,Female,71,2,6854.12,5,1,1,29282.16,0
BANK10212,745,Spain,Male,59,0,1530.68,2,0,0,24788.18,0
BANK10213,715,United Kingdom,Female,22,1,10213.69,1,1,1,37950.32,0
BANK10214,618,Spain,Female,47,5,10983.16,2,1,0,26078.06,1
BANK10215,725,Spain,Female,40,2,2288.34,1,1,1,55539.72,0
BANK10216,572,France,Female,72,2,1010.47,3,1,1,63532.62,0
BANK10217,626,United Kingdom,Female,38,0,10383.6,1,1,1,30146.32,1
BANK10218,601,France,Male,73,4,10818.35,1,1,1,25076.86,0
BANK10219,658,France,Male,43,1,531.84,5,1,1,46324.75,0
BANK10220,850,United Kingdom,Male,71,9,17053.86,4,0,0,37332.49,0
BANK10221,463,United States,Male,64,15,3807.99,2,1,0,27610.88,1
BANK10222,718,United States,Male,38,7,25360.05,1,1,1,31830.95,0
BANK10223,488,France,Female,37,0,2944.01,4,1,1,35107.68,0
BANK10224,602,Germany,Male,40,1,3810.16,5,1,0,19360.01,1
BANK10225,758,France,Male,21,8,1546.8,2,1,1,52011.77,0
BANK10226,656,France,Female,38,4,11460.57,3,1,0,25148.37,0
BANK10227,542,France,Female,38,7,2932.35,1,1,1,29922.7,0
BANK10228,578,United States,Male,18,2,8426.58,3,0,0,37589.65,0
BANK10229,717,United States,Male,32,1,415.46,2,1,1,54310.48,0
BANK10230,576,United States,Female,34,0,7761.67,4,1,1,76384.75,1
BANK10231,671,France,Female,68,5,3369.11,2,0,0,32494.27,0
BANK10232,654,Germany,Female,31,4,27.11,3,0,1,53342.61,0
BANK10233,584,United States,Female,76,0,1282.62,1,0,0,29288.2,1
BANK10234,850,United Kingdom,Male,36,0,1076.68,1,0,1,45378.24,0
BANK10235,713,United Kingdom,Male,67,2,6966.89,1,1,0,29059.72,0
BANK10236,447,United Kingdom,Female,77,3,3242.8,2,1,1,18635.38,1
BANK10237,668,Spain,Male,51,0,870.09,1,0,0,53213.87,0
BANK10238,583,France,Male,23,0,1483.97,5,1,1,27345.58,0
BANK10239,735,United Kingdom,Female,62,0,3506.67,4,0,1,39792.04,0
BANK10240,570,France,Male,66,0,99.17,3,1,0,18942.01,1
BANK10241,638,United Kingdom,Female,23,7,2759.33,4,1,0,21332.06,0
BANK10242,700,Germany,Female,70,3,5666.97,1,0,0,17380.43,0
BANK10243,736,France,Male,71,4,3646.51,4,1,1,41457.28,0
BANK10244,529,United Kingdom,Male,22,4,4557.75,5,0,1,24627.19,0
BANK10245,616,United States,Male,24,1,1977.21,1,1,1,64244.59,1
BANK10246,602,France,Male,50,4,1011.04,5,0,0,19669.14,0
BANK10247,584,Spain,Male,30,11,8296.85,2,0,0,39161.7,0
BANK10248,826,United States,Male,68,3,11802.92,1,1,0,16054.14,0
BANK10249,690,United States,Male,71,1,3574.31,2,1,1,85199.1,1
BANK10250,523,Spain,Female,18,3,1819.51,5,1,0,22220.57,0
BANK10251,741,United States,Female,30,6,3579.06,3,1,0,46698.83,0
BANK10252,850,United States,Male,60,0,10559.23,3,0,0,29107.5,0
BANK10253,753,United Kingdom,Male,44,0,5878.65,1,0,0,48191.98,0
BANK10254,498,United Kingdom,Male,24,7,9781.38,1,1,1,23721.72,0
BANK10255,601,France,Male,69,8,1990.31,4,1,1,38123.25,0
BANK10256,776,France,Male,20,1,6223.61,2,1,0,28445.56,0
BANK10257,579,France,Male,75,1,5292.86,1,1,0,105725.82,1
BANK10258,694,United Kingdom,Female,42,0,4238.68,1,0,1,24657.11,0
BANK10259,727,France,Male,50,2,3756.26,1,1,0,23359.3,1
BANK10260,557,United States,Male,57,8,4003.42,3,1,0,67593.22,0
BANK10261,644,United Kingdom,Male,34,0,9474.65,4,0,0,48384.37,0
BANK10262,325,France,Female,62,1,12384.37,2,1,0,26098.99,0
BANK10263,547,United States,Female,31,7,598.76,1,0,0,37686.57,1
BANK10264,624,France,Male,54,1,4205.59,1,0,1,38177.65,0
BANK10265,525,Germany,Female,75,4,12530.15,2,1,0,40267.21,1
BANK10266,813,France,Male,73,1,723.63,4,1,0,48956.17,1
BANK10267,506,Germany,Male,71,4,2662.45,2,1,1,22984.7,1
BANK10268,605,France,Female,40,11,466.5,1,1,0,40045.3,0
BANK10269,663,Spain,Male,76,1,602.24,1,1,0,31698.89,0
BANK10270,794,France,Female,41,5,11722.81,2,0,1,13140.62,0
BANK10271,506,United Kingdom,Female,46,13,2954.57,3,1,1,29320.52,0
BANK10272,766,United Kingdom,Male,55,12,5835.63,1,0,1,29307.19,0
BANK10273,651,Germany,Female,76,1,747.81,2,1,1,50676.17,0
BANK10274,551,United Kingdom,Female,71,1,110.96,2,1,0,59843.63,0
BANK10275,696,United States,Female,44,1,11058.42,3,1,1,46384.97,0
BANK10276,669,Spain,Male,55,1,4272.99,4,1,0,15530.79,0
BANK10277,589,Spain,Male,70,2,100.95,2,0,1,83563.77,0
BANK10278,656,United States,Male,57,0,24358.38,5,1,0,56311.17,0
BANK10279,611,Germany,Male,62,3,3388.26,3,1,0,35101.55,1
BANK10280,661,United States,Male,67,2,3230.14,1,1,0,38605.98,0
BANK10281,716,United States,Male,40,6,4849.96,4,0,1,44101.79,0
BANK10282,808,Spain,Male,48,4,39.68,2,1,1,37929.87,0
BANK10283,526,France,Female,53,1,4209.84,5,1,1,50846.54,0
BANK10284,850,Spain,Male,34,2,4964.29,2,0,1,64548.51,0
BANK10285,454,Spain,Male,78,4,1761.66,3,1,0,16890.03,1
BANK10286,634,United Kingdom,Male,54,0,6488.72,5,0,1,31363.3,1
BANK10287,708,United States,Female,20,0,2369.51,1,1,0,42393.03,0
BANK10288,678,Spain,Female,53,5,6325.22,2,0,0,21756.88,0
BANK10289,587,United States,Male,72,0,776.4,4,1,0,85027.91,1
BANK10290,629,United Kingdom,Female,22,6,12249.5,3,1,1,12465.43,0
BANK10291,600,United States,Male,63,7,10578.76,4,1,0,27469.55,0
BANK10292,591,Spain,Female,32,1,816.28,2,1,1,47512.36,0
BANK10293,734,United States,Female,69,4,13939.85,2,1,0,88985.82,0
BANK10294,685,United Kingdom,Female,66,1,4079.74,2,1,1,41103.58,0
BANK10295,580,France,Male,23,5,6047.43,2,1,0,46193.59,0
BANK10296,739,United States,Female,76,5,9172.1,1,1,1,28937.46,0
BANK10297,680,Spain,Female,27,0,436.35,3,1,0,80774.42,0
BANK10298,731,United Kingdom,Male,71,2,927.34,1,0,0,71761.58,0
BANK10299,712,Spain,Female,49,3,1715.21,1,1,1,50777.41,0
BANK10300,567,Spain,Female,40,0,3242.82,1,1,0,13445.53,1
BANK10301,593,United States,Male,65,11,2123.66,3,1,0,38157.45,1
BANK10302,724,Spain,Male,34,1,3524.54,2,1,0,28127.54,0
BANK10303,711,United States,Male,63,2,1028.46,2,1,1,36395.48,0
BANK10304,647,France,Female,37,0,5730.94,2,0,0,30082.49,1
BANK10305,661,Spain,Male,61,2,286.74,1,1,1,42788.01,0
BANK10306,777,Spain,Female,58,4,2242.77,2,1,1,28237.37,1
BANK10307,590,Spain,Male,32,2,986.36,1,1,0,32795.93,1
BANK10308,704,Germany,Female,61,4,6545.43,3,1,0,30808.48,0
BANK10309,629,Germany,Male,63,3,10755.91,1,0,1,42559.07,0
BANK10310,628,United Kingdom,Female,75,0,410.32,2,1,0,20077.77,1
BANK10311,759,Germany,Female,39,1,7686.47,2,0,1,17877.02,0
BANK10312,732,United Kingdom,Female,67,0,11303.49,2,0,1,50447.18,0
BANK10313,731,Germany,Male,69,0,18242.57,1,0,0,30713.4,0
BANK10314,780,France,Male,23,0,4330.2,3,1,1,48999.37,0
BANK10315,652,United Kingdom,Male,21,8,1982.96,3,1,1,50721.86,0
BANK10316,718,Germany,Female,75,12,1942.85,4,1,1,28026.58,0
BANK10317,618,France,Male,40,0,2381.88,1,1,1,28871.61,0
BANK10318,682,Germany,Male,61,1,4742.36,4,1,0,28245.34,0
BANK10319,636,United States,Female,62,0,3368.98,1,1,1,20755.43,0
BANK10320,659,United States,Male,36,5,5301.31,1,1,1,18727.43,1
BANK10321,709,France,Female,71,2,200.54,1,1,0,34326.97,0
BANK10322,568,Spain,Male,62,2,559.59,1,1,1,21319.51,1
BANK10323,850,Spain,Female,48,2,18762.19,3,1,1,33817.08,0
BANK10324,549,United States,Female,61,3,26892.76,1,1,0,25149.12,1
BANK10325,528,United States,Female,69,1,6865.09,3,1,0,25468.14,0
BANK10326,765,Spain,Male,20,0,1481.24,1,0,1,32002.91,0
BANK10327,729,United Kingdom,Male,45,0,15328.81,2,1,0,72531.37,1
BANK10328,712,Spain,Female,20,1,1202.1,4,0,1,67836.86,0
BANK10329,712,Germany,Male,31,7,6573.24,2,1,1,55560.74,1
BANK10330,648,United Kingdom,Male,35,1,612.3,3,1,1,37535.08,0
BANK10331,560,Germany,Female,44,0,5233.49,1,1,1,17471.51,1
BANK10332,657,United States,Male,68,7,7125.49,1,1,1,57743.31,0
BANK10333,582,United Kingdom,Female,78,0,9817.73,2,1,0,27613.17,1
BANK10334,747,Germany,Male,77,0,6627.05,4,1,1,68212.73,0
BANK10335,635,Germany,Male,79,6,12851.37,1,1,0,26970.55,0
BANK10336,567,United Kingdom,Male,27,3,3679.47,3,1,1,61385.3,1
BANK10337,617,France,Female,66,1,5657.15,4,0,1,49319.45,0
BANK10338,691,Spain,Female,32,4,2306.61,5,1,0,15405.13,1
BANK10339,593,Germany,Male,36,4,52.22,5,1,1,52937.64,1
BANK10340,567,Spain,Female,26,0,7067.16,4,1,0,37506.07,1
BANK10341,674,Spain,Female,21,3,10195.75,1,0,1,21341.4,1
BANK10342,674,United States,Female,32,3,955.35,4,1,1,30809.27,0
BANK10343,599,Spain,Male,68,9,145.29,4,0,1,94431.67,0
BANK10344,602,Germany,Male,65,10,898.64,3,1,1,16235.14,0
BANK10345,673,United States,Male,25,1,11282.77,1,1,0,37313.4,1
BANK10346,505,United Kingdom,Female,66,2,1751.41,2,1,0,28433.09,1
BANK10347,509,Germany,Female,70,0,1330.93,1,1,0,46070.86,1
BANK10348,578,United States,Male,18,0,73.49,2,1,0,55590.54,1
BANK10349,628,United States,Female,24,1,1762.38,3,0,1,40204.3,0
BANK10350,681,Spain,Female,70,3,6287.55,3,0,1,53521.66,0
BANK10351,797,United Kingdom,Female,48,2,15981.82,4,1,1,24362.84,0
BANK10352,735,Germany,Male,35,1,1875.22,2,1,1,34585.59,0
BANK10353,634,Germany,Female,29,5,1376.69,2,1,0,71752.72,0
BANK10354,648,Spain,Male,65,4,10949.36,5,0,1,27972.19,0
BANK10355,549,United Kingdom,Male,47,3,9569.8,3,1,1,25554.83,0
BANK10356,648,Germany,Male,50,0,1988.68,3,1,1,29106.59,0
BANK10357,621,United Kingdom,Male,76,4,356.43,3,1,1,45086.27,0
BANK10358,682,Germany,Female,64,7,24134.97,3,1,1,36335.48,0
BANK10359,567,Spain,Female,24,0,5708.19,5,0,1,48054.94,1
BANK10360,701,France,Male,45,1,13057.83,2,1,1,26675.35,0
BANK10361,803,Germany,Female,66,13,2091.8,2,1,1,19825.09,0
BANK10362,639,United States,Male,20,2,5216.15,2,0,1,27727.81,0
BANK10363,690,United States,Female,60,2,5611.92,4,1,1,20578.93,0
BANK10364,719,France,Female,23,0,10314.12,4,0,0,39040.83,0
BANK10365,609,Germany,Male,48,2,24850.85,2,1,0,33433.95,0
BANK10366,672,United States,Female,55,1,575.18,1,0,1,37666.5,0
BANK10367,651,United States,Female,32,0,4986.38,2,1,1,40393.35,0
BANK10368,659,Germany,Female,24,1,2050.68,5,1,1,28746.23,0
BANK10369,572,United Kingdom,Female,60,0,8347.49,1,1,1,47346.62,0
BANK10370,652,Germany,Female,47,3,7015.13,2,1,0,38882.68,1
BANK10371,699,United Kingdom,Female,44,10,11152.18,1,1,0,28711.25,1
BANK10372,795,France,Male,34,1,2105.71,5,1,1,42830.57,0
BANK10373,745,Spain,Female,72,3,1019.96,3,0,1,42477.68,0
BANK10374,850,France,Male,35,1,110.21,3,1,1,89862.08,0
BANK10375,573,Spain,Female,39,0,1475.26,1,1,1,46310.17,0
