review_id,restaurant_id,user_id,rating,review_text,review_date,useful_count,service_rating,food_rating,ambiance_rating,value_rating,review_length,sentiment,overall_satisfaction
REV100030,REST1043,USER7967,5.0,Not worth the hype. There are better options nearby.,2023-07-22,3,1,2,4,1,52,Very Positive,3.2
REV100031,REST1127,USER7798,4.8,Great food and excellent service! Will definitely come back.,2023-08-07,2,3,4,5,4,60,Very Positive,4.220000000000001
REV100032,REST1044,USER5766,4.7,Overpriced for what you get. Won't be returning.,2023-05-21,4,1,5,2,4,48,Very Positive,3.7800000000000002
REV100033,REST1071,USER5141,4.3,Food was good but the wait was too long.,2023-11-11,2,5,2,5,2,40,Positive,3.82
REV100034,REST1158,USER7651,4.6,Not worth the hype. There are better options nearby.,2023-06-01,4,4,5,5,4,52,Very Positive,4.64
REV100035,REST1127,USER5249,4.4,Cozy atmosphere and friendly staff. Perfect for date night.,2023-02-14,3,5,4,1,1,59,Positive,4.06
REV100036,REST1071,USER6717,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-04-13,4,5,3,3,3,59,Very Positive,4.2
REV100037,REST1164,USER7583,5.0,Absolutely loved everything! From appetizers to dessert.,2023-10-06,1,3,1,2,3,56,Very Positive,3.1
REV100038,REST1004,USER6964,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-10-06,2,3,4,5,4,59,Very Positive,4.300000000000001
REV100039,REST1124,USER6590,3.2,Overpriced for what you get. Won't be returning.,2023-05-19,5,1,2,4,3,48,Neutral,2.4800000000000004
REV100040,REST1046,USER7445,5.0,Great food and excellent service! Will definitely come back.,2023-04-23,3,2,2,2,1,60,Very Positive,3.2
REV100041,REST1007,USER6932,4.0,Best Mexican in town! The Tacos was incredible.,2023-09-29,4,1,4,3,5,47,Positive,3.3
REV100042,REST1091,USER5653,3.6,Not worth the hype. There are better options nearby.,2023-02-21,7,3,2,1,4,52,Positive,2.74
REV100043,REST1063,USER7185,4.7,Disappointing. Service was slow and food was cold.,2023-01-29,4,3,2,5,5,50,Very Positive,3.58
REV100044,REST1195,USER6453,4.5,Disappointing. Service was slow and food was cold.,2023-03-30,2,3,4,5,1,50,Positive,4.1
REV100045,REST1045,USER7857,4.5,Disappointing. Service was slow and food was cold.,2023-07-03,2,4,2,5,1,50,Positive,3.7
REV100046,REST1151,USER7325,3.3,Great food and excellent service! Will definitely come back.,2023-10-16,3,5,2,1,3,60,Neutral,3.02
REV100047,REST1036,USER7016,3.3,Not worth the hype. There are better options nearby.,2023-10-05,0,4,2,1,2,52,Neutral,2.82
REV100048,REST1079,USER5155,5.0,Amazing flavors and generous portions. Highly recommended!,2023-02-16,2,4,4,3,1,58,Very Positive,4.3
REV100049,REST1014,USER5081,4.2,Disappointing. Service was slow and food was cold.,2023-09-27,1,1,1,5,4,50,Positive,2.68
REV100050,REST1122,USER7515,3.2,Great food and excellent service! Will definitely come back.,2023-04-14,5,3,2,4,3,60,Neutral,2.8800000000000003
REV100051,REST1033,USER6325,2.2,Overpriced for what you get. Won't be returning.,2023-01-31,3,4,4,1,4,48,Neutral,2.98
REV100052,REST1005,USER5454,3.8,Amazing flavors and generous portions. Highly recommended!,2023-09-27,1,4,5,4,2,58,Positive,4.220000000000001
REV100053,REST1093,USER7885,5.0,Average experience. Food was okay but nothing special.,2023-12-06,3,4,4,4,4,54,Very Positive,4.4
REV100054,REST1101,USER6378,5.0,Not worth the hype. There are better options nearby.,2023-06-04,3,2,1,1,1,52,Very Positive,2.8
REV100055,REST1082,USER7999,5.0,Amazing flavors and generous portions. Highly recommended!,2023-08-12,4,2,3,1,5,58,Very Positive,3.4
REV100056,REST1163,USER5713,5.0,Food was good but the wait was too long.,2023-12-29,2,2,1,4,2,40,Very Positive,3.0999999999999996
REV100057,REST1143,USER5914,4.4,Not worth the hype. There are better options nearby.,2023-12-07,1,4,1,3,1,52,Positive,3.16
REV100058,REST1150,USER6256,5.0,Amazing flavors and generous portions. Highly recommended!,2023-12-19,3,1,4,3,3,58,Very Positive,3.7
REV100059,REST1075,USER7985,3.0,Amazing flavors and generous portions. Highly recommended!,2023-01-01,6,4,1,3,4,58,Neutral,2.6000000000000005
REV100060,REST1179,USER7324,4.2,Not worth the hype. There are better options nearby.,2023-01-17,2,4,5,3,4,52,Positive,4.28
REV100061,REST1046,USER7504,5.0,Not worth the hype. There are better options nearby.,2023-04-24,6,5,3,5,4,52,Very Positive,4.4
REV100062,REST1163,USER7032,4.7,Not worth the hype. There are better options nearby.,2023-03-14,4,2,5,1,5,52,Very Positive,3.88
REV100063,REST1084,USER6420,4.2,Average experience. Food was okay but nothing special.,2023-06-13,3,1,5,5,4,54,Positive,3.8800000000000003
REV100064,REST1042,USER6829,4.1,Average experience. Food was okay but nothing special.,2023-01-06,1,4,1,5,2,54,Positive,3.24
REV100065,REST1067,USER7839,5.0,Disappointing. Service was slow and food was cold.,2023-02-04,3,4,1,1,4,50,Very Positive,3.1999999999999997
REV100066,REST1089,USER7950,5.0,Best Vegetarian in town! The Buddha Bowl was incredible.,2023-01-01,1,3,3,5,1,56,Very Positive,4.0
REV100067,REST1012,USER6718,3.8,Cozy atmosphere and friendly staff. Perfect for date night.,2023-03-27,1,1,1,2,5,59,Positive,2.22
REV100068,REST1105,USER6438,5.0,Food was good but the wait was too long.,2023-10-07,2,1,2,5,3,40,Very Positive,3.3000000000000003
REV100069,REST1096,USER7367,4.6,Average experience. Food was okay but nothing special.,2023-11-30,3,3,5,2,3,54,Very Positive,4.14
REV100070,REST1194,USER6848,4.3,Disappointing. Service was slow and food was cold.,2023-02-07,6,4,1,3,2,50,Positive,3.12
REV100071,REST1008,USER6305,4.8,Best Seafood in town! The Grilled Salmon was incredible.,2023-05-14,6,1,5,1,5,56,Very Positive,3.72
REV100072,REST1026,USER5696,5.0,Average experience. Food was okay but nothing special.,2023-07-12,2,1,1,4,5,54,Very Positive,2.9
REV100073,REST1041,USER6384,3.7,Average experience. Food was okay but nothing special.,2023-11-01,5,2,1,2,4,54,Positive,2.3800000000000003
REV100074,REST1157,USER6766,2.0,Food was good but the wait was too long.,2023-12-01,3,4,2,5,5,40,Negative,2.7
REV100075,REST1042,USER5643,5.0,Not worth the hype. There are better options nearby.,2023-01-28,4,5,2,2,5,52,Very Positive,3.8000000000000003
REV100076,REST1025,USER5778,3.5,Overpriced for what you get. Won't be returning.,2023-07-29,7,4,2,3,5,48,Neutral,3.0999999999999996
REV100077,REST1178,USER7705,4.4,Absolutely loved everything! From appetizers to dessert.,2023-05-25,4,3,5,3,5,56,Positive,4.16
REV100078,REST1076,USER5203,4.4,Disappointing. Service was slow and food was cold.,2023-07-21,5,5,4,5,4,50,Positive,4.46
REV100079,REST1146,USER5629,4.9,Absolutely loved everything! From appetizers to dessert.,2023-01-28,2,4,5,4,1,56,Very Positive,4.66
REV100080,REST1092,USER5358,5.0,Great food and excellent service! Will definitely come back.,2023-05-31,2,1,2,3,5,60,Very Positive,3.1000000000000005
REV100081,REST1169,USER5817,4.4,Not worth the hype. There are better options nearby.,2023-02-19,7,3,5,4,4,52,Positive,4.260000000000001
REV100082,REST1006,USER7614,5.0,Disappointing. Service was slow and food was cold.,2023-05-30,3,5,5,4,2,50,Very Positive,4.9
REV100083,REST1020,USER6263,4.4,Food was good but the wait was too long.,2023-07-23,1,4,2,2,5,40,Positive,3.3600000000000003
REV100084,REST1120,USER5373,4.9,Food was good but the wait was too long.,2023-11-25,4,5,5,5,3,40,Very Positive,4.96
REV100085,REST1139,USER6519,3.6,Cozy atmosphere and friendly staff. Perfect for date night.,2023-07-15,2,3,5,4,1,59,Positive,3.9400000000000004
REV100086,REST1094,USER5182,4.1,Amazing flavors and generous portions. Highly recommended!,2023-05-15,4,5,3,4,3,58,Positive,3.94
REV100087,REST1112,USER5926,4.6,Food was good but the wait was too long.,2023-05-18,2,5,4,4,5,40,Very Positive,4.44
REV100088,REST1144,USER7852,5.0,Great food and excellent service! Will definitely come back.,2023-12-08,3,2,4,1,2,60,Very Positive,3.7
REV100089,REST1024,USER7217,4.1,Average experience. Food was okay but nothing special.,2023-07-31,2,4,2,4,1,54,Positive,3.44
REV100090,REST1193,USER7267,5.0,Not worth the hype. There are better options nearby.,2023-02-01,1,4,1,5,5,52,Very Positive,3.5999999999999996
REV100091,REST1099,USER7193,5.0,Absolutely loved everything! From appetizers to dessert.,2023-12-18,4,3,5,4,2,56,Very Positive,4.5
REV100092,REST1121,USER6950,5.0,Not worth the hype. There are better options nearby.,2023-06-03,2,3,3,1,3,52,Very Positive,3.6
REV100093,REST1020,USER7056,4.7,Cozy atmosphere and friendly staff. Perfect for date night.,2023-10-20,4,3,3,5,1,59,Very Positive,3.8800000000000003
REV100094,REST1132,USER5492,5.0,Not worth the hype. There are better options nearby.,2023-08-18,1,2,1,2,2,52,Very Positive,2.9
REV100095,REST1044,USER5789,5.0,Amazing flavors and generous portions. Highly recommended!,2023-03-06,4,3,3,1,1,58,Very Positive,3.6
REV100096,REST1010,USER7798,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-08-11,1,4,1,3,5,59,Very Positive,3.3999999999999995
REV100097,REST1051,USER6309,4.3,Amazing flavors and generous portions. Highly recommended!,2023-02-04,1,5,4,3,4,58,Positive,4.22
REV100098,REST1022,USER7261,2.5,Cozy atmosphere and friendly staff. Perfect for date night.,2023-06-16,6,4,5,5,2,59,Neutral,3.8
REV100099,REST1070,USER5050,5.0,Absolutely loved everything! From appetizers to dessert.,2023-12-25,3,1,2,3,1,56,Very Positive,3.1000000000000005
REV100100,REST1159,USER5460,3.5,Not worth the hype. There are better options nearby.,2023-08-01,7,5,4,3,3,52,Neutral,3.9000000000000004
REV100101,REST1038,USER5432,4.0,Amazing flavors and generous portions. Highly recommended!,2023-10-16,1,3,3,4,2,58,Positive,3.5
REV100102,REST1199,USER7193,4.0,Average experience. Food was okay but nothing special.,2023-06-26,0,1,4,1,3,54,Positive,3.1
REV100103,REST1105,USER7682,4.3,Best BBQ in town! The Cornbread was incredible.,2023-09-06,1,5,1,2,2,47,Positive,3.22
REV100104,REST1146,USER5153,3.9,Not worth the hype. There are better options nearby.,2023-03-30,1,3,2,5,1,52,Positive,3.2600000000000002
REV100105,REST1070,USER7532,4.3,Cozy atmosphere and friendly staff. Perfect for date night.,2023-11-08,2,5,4,5,4,59,Positive,4.42
REV100106,REST1174,USER6621,3.8,Cozy atmosphere and friendly staff. Perfect for date night.,2023-06-19,0,3,1,5,4,59,Positive,2.92
REV100107,REST1176,USER6946,4.5,Disappointing. Service was slow and food was cold.,2023-05-18,4,4,5,2,5,50,Positive,4.3
REV100108,REST1095,USER6241,3.9,Great food and excellent service! Will definitely come back.,2023-06-09,3,1,5,5,4,60,Positive,3.7600000000000002
REV100109,REST1071,USER5933,5.0,Food was good but the wait was too long.,2023-03-10,0,4,5,2,2,40,Very Positive,4.5
REV100110,REST1076,USER6103,2.8,Food was good but the wait was too long.,2023-08-02,3,2,3,2,4,40,Neutral,2.6199999999999997
REV100111,REST1154,USER6809,4.5,Average experience. Food was okay but nothing special.,2023-04-19,4,1,2,4,4,54,Positive,3.0
REV100112,REST1104,USER5230,3.3,Food was good but the wait was too long.,2023-09-21,2,4,3,5,3,40,Neutral,3.5199999999999996
REV100113,REST1040,USER7906,4.7,Average experience. Food was okay but nothing special.,2023-09-17,4,4,2,4,2,54,Very Positive,3.68
REV100114,REST1103,USER5711,4.6,Amazing flavors and generous portions. Highly recommended!,2023-04-09,5,4,2,5,3,58,Very Positive,3.74
REV100115,REST1051,USER5135,5.0,Great food and excellent service! Will definitely come back.,2023-08-22,1,4,1,3,4,60,Very Positive,3.3999999999999995
REV100116,REST1012,USER6122,4.2,Overpriced for what you get. Won't be returning.,2023-07-08,4,4,5,4,4,48,Positive,4.380000000000001
REV100117,REST1118,USER7602,3.4,Absolutely loved everything! From appetizers to dessert.,2023-03-05,3,4,2,2,3,56,Neutral,2.96
REV100118,REST1174,USER6525,3.3,Great food and excellent service! Will definitely come back.,2023-09-08,2,3,3,2,3,60,Neutral,3.02
REV100119,REST1152,USER6943,5.0,Food was good but the wait was too long.,2023-10-28,2,4,2,5,4,40,Very Positive,3.9000000000000004
REV100120,REST1141,USER5669,5.0,Overpriced for what you get. Won't be returning.,2023-05-13,2,1,5,3,1,48,Very Positive,4.0
REV100121,REST1191,USER5112,4.9,Average experience. Food was okay but nothing special.,2023-07-17,3,5,5,3,2,54,Very Positive,4.76
REV100122,REST1012,USER5906,5.0,Amazing flavors and generous portions. Highly recommended!,2023-11-28,1,5,2,2,2,58,Very Positive,3.8000000000000003
REV100123,REST1057,USER7668,4.5,Disappointing. Service was slow and food was cold.,2023-07-29,1,3,3,2,2,50,Positive,3.5000000000000004
REV100124,REST1131,USER6941,4.9,Great food and excellent service! Will definitely come back.,2023-03-09,2,4,1,5,1,60,Very Positive,3.5600000000000005
REV100125,REST1165,USER5916,3.5,Amazing flavors and generous portions. Highly recommended!,2023-05-10,2,2,5,3,4,58,Neutral,3.6000000000000005
REV100126,REST1155,USER6735,3.6,Best Thai in town! The Tom Yum was incredible.,2023-07-12,6,5,3,3,1,46,Positive,3.6399999999999997
REV100127,REST1089,USER5893,4.7,Food was good but the wait was too long.,2023-08-27,3,3,2,1,5,40,Very Positive,3.18
REV100128,REST1077,USER7394,3.7,Absolutely loved everything! From appetizers to dessert.,2023-02-22,5,5,3,3,5,56,Positive,3.6799999999999997
REV100129,REST1001,USER7299,4.0,Absolutely loved everything! From appetizers to dessert.,2023-11-28,1,5,2,2,2,56,Positive,3.4000000000000004
REV100130,REST1152,USER6222,4.9,Not worth the hype. There are better options nearby.,2023-12-17,1,3,2,4,2,52,Very Positive,3.56
REV100131,REST1027,USER6377,2.8,Food was good but the wait was too long.,2023-05-22,5,3,3,5,5,40,Neutral,3.1199999999999997
REV100132,REST1163,USER6069,4.9,Overpriced for what you get. Won't be returning.,2023-12-02,5,1,1,3,3,48,Very Positive,2.7600000000000007
REV100133,REST1182,USER5614,4.6,Best French in town! The Coq au Vin was incredible.,2023-09-22,5,5,5,5,3,51,Very Positive,4.84
REV100134,REST1195,USER7457,4.9,Disappointing. Service was slow and food was cold.,2023-07-26,5,4,2,3,3,50,Very Positive,3.66
REV100135,REST1169,USER7954,5.0,Overpriced for what you get. Won't be returning.,2023-01-14,2,1,3,1,3,48,Very Positive,3.2
REV100136,REST1167,USER6062,5.0,Food was good but the wait was too long.,2023-08-03,4,5,2,3,1,40,Very Positive,3.9000000000000004
REV100137,REST1103,USER7388,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-12-29,3,5,3,2,4,59,Very Positive,4.1
REV100138,REST1146,USER7975,4.7,Disappointing. Service was slow and food was cold.,2024-01-01,2,3,4,1,2,50,Very Positive,3.7800000000000002
REV100139,REST1056,USER7751,5.0,Absolutely loved everything! From appetizers to dessert.,2023-07-03,5,2,2,4,5,56,Very Positive,3.4
REV100140,REST1129,USER7693,4.4,Best American in town! The Steak was incredible.,2023-10-13,3,1,4,4,2,48,Positive,3.56
REV100141,REST1046,USER6928,3.9,Best Mexican in town! The Tacos was incredible.,2023-03-07,2,4,2,5,5,47,Positive,3.46
REV100142,REST1189,USER7784,3.8,Best Mexican in town! The Guacamole was incredible.,2023-06-21,5,3,4,4,2,51,Positive,3.7199999999999998
REV100143,REST1167,USER6455,5.0,Average experience. Food was okay but nothing special.,2023-04-25,3,4,2,4,2,54,Very Positive,3.8000000000000003
REV100144,REST1190,USER6357,4.9,Best Seafood in town! The Calamari was incredible.,2023-07-10,3,2,3,4,1,50,Very Positive,3.66
REV100145,REST1066,USER6899,4.7,Not worth the hype. There are better options nearby.,2023-03-02,1,2,2,1,5,52,Very Positive,2.98
REV100146,REST1120,USER6934,4.8,Great food and excellent service! Will definitely come back.,2023-04-10,1,5,3,3,3,60,Very Positive,4.12
REV100147,REST1128,USER7170,3.4,Average experience. Food was okay but nothing special.,2023-06-02,1,5,1,4,4,54,Neutral,3.06
REV100148,REST1105,USER5562,4.6,Great food and excellent service! Will definitely come back.,2023-04-13,3,5,2,2,4,60,Very Positive,3.64
REV100149,REST1087,USER5586,4.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-06-11,2,5,5,4,5,59,Positive,4.5
REV100150,REST1183,USER6997,4.2,Amazing flavors and generous portions. Highly recommended!,2023-06-20,2,2,3,2,5,58,Positive,3.18
REV100151,REST1161,USER7598,4.1,Amazing flavors and generous portions. Highly recommended!,2023-01-30,3,1,2,3,2,58,Positive,2.74
REV100152,REST1001,USER5857,4.0,Food was good but the wait was too long.,2023-03-28,8,1,2,2,4,40,Positive,2.6000000000000005
REV100153,REST1147,USER5360,5.0,Amazing flavors and generous portions. Highly recommended!,2023-03-08,2,4,3,1,4,58,Very Positive,3.8000000000000003
REV100154,REST1157,USER6652,3.9,Cozy atmosphere and friendly staff. Perfect for date night.,2023-08-08,5,4,5,3,5,59,Positive,4.16
REV100155,REST1122,USER5154,3.5,Cozy atmosphere and friendly staff. Perfect for date night.,2023-10-01,5,3,2,4,5,59,Neutral,3.0
REV100156,REST1051,USER6319,3.9,Overpriced for what you get. Won't be returning.,2023-09-29,5,4,3,5,3,48,Positive,3.76
REV100157,REST1048,USER7566,5.0,Great food and excellent service! Will definitely come back.,2023-05-08,2,5,1,2,1,60,Very Positive,3.5
REV100158,REST1057,USER5528,4.9,Overpriced for what you get. Won't be returning.,2023-02-22,3,3,2,2,1,48,Very Positive,3.3600000000000003
REV100159,REST1098,USER5684,4.8,Absolutely loved everything! From appetizers to dessert.,2023-02-03,3,1,3,4,2,56,Very Positive,3.42
REV100160,REST1011,USER6867,3.8,Best Vegetarian in town! The Salad was incredible.,2023-09-24,0,1,2,2,3,50,Positive,2.5200000000000005
REV100161,REST1152,USER6776,4.0,Absolutely loved everything! From appetizers to dessert.,2023-12-18,1,3,5,1,1,56,Positive,3.8000000000000003
REV100162,REST1034,USER6471,2.9,Overpriced for what you get. Won't be returning.,2023-04-07,3,3,1,2,3,48,Neutral,2.2600000000000002
REV100163,REST1042,USER5935,4.7,Cozy atmosphere and friendly staff. Perfect for date night.,2023-04-25,3,3,1,3,2,59,Very Positive,3.08
REV100164,REST1186,USER5089,5.0,Amazing flavors and generous portions. Highly recommended!,2023-10-29,7,4,1,2,3,58,Very Positive,3.3
REV100165,REST1129,USER6501,4.3,Amazing flavors and generous portions. Highly recommended!,2023-12-31,1,4,4,1,3,58,Positive,3.82
REV100166,REST1166,USER7622,5.0,Great food and excellent service! Will definitely come back.,2023-05-11,2,3,4,1,5,60,Very Positive,3.9000000000000004
REV100167,REST1197,USER7432,4.8,Absolutely loved everything! From appetizers to dessert.,2023-01-25,1,2,1,2,3,56,Very Positive,2.82
REV100168,REST1169,USER5197,4.4,Average experience. Food was okay but nothing special.,2023-12-20,2,1,4,4,3,54,Positive,3.56
REV100169,REST1029,USER6557,5.0,Cozy atmosphere and friendly staff. Perfect for date night.,2023-03-05,1,2,5,2,2,59,Very Positive,4.1
REV100170,REST1140,USER7874,2.8,Best Indian in town! The Samosa was incredible.,2023-03-20,2,5,5,2,5,47,Neutral,3.8200000000000003
REV100171,REST1052,USER6723,4.9,Great food and excellent service! Will definitely come back.,2023-12-05,4,5,5,3,1,60,Very Positive,4.76
REV100172,REST1025,USER7550,5.0,Absolutely loved everything! From appetizers to dessert.,2023-11-07,3,1,2,1,4,56,Very Positive,2.9000000000000004
REV100173,REST1179,USER5429,4.3,Amazing flavors and generous portions. Highly recommended!,2023-09-19,5,1,1,3,1,58,Positive,2.5200000000000005
REV100174,REST1184,USER6157,5.0,Not worth the hype. There are better options nearby.,2023-02-28,5,2,5,4,2,52,Very Positive,4.3
REV100175,REST1027,USER7494,5.0,Food was good but the wait was too long.,2023-04-13,4,4,5,1,3,40,Very Positive,4.3999999999999995
REV100176,REST1199,USER6466,5.0,Best Vegetarian in town! The Veggie Burger was incredible.,2023-12-27,8,4,1,4,3,58,Very Positive,3.4999999999999996
REV100177,REST1104,USER5161,4.6,Best BBQ in town! The Pulled Pork was incredible.,2023-10-08,4,4,1,3,2,49,Very Positive,3.2399999999999993
REV100178,REST1127,USER6354,5.0,Disappointing. Service was slow and food was cold.,2023-05-01,7,4,3,4,2,50,Very Positive,4.1000000000000005
REV100179,REST1000,USER5452,4.4,Great food and excellent service! Will definitely come back.,2023-10-21,3,5,5,4,2,60,Positive,4.66
REV100180,REST1171,USER5368,4.3,Food was good but the wait was too long.,2023-09-19,3,5,5,2,5,40,Positive,4.42
REV100181,REST1019,USER7639,4.1,Average experience. Food was okay but nothing special.,2023-04-29,2,2,5,4,2,54,Positive,3.9399999999999995
REV100182,REST1116,USER6901,3.2,Best Vegetarian in town! The Salad was incredible.,2023-01-26,2,4,2,1,3,50,Neutral,2.7800000000000007
REV100183,REST1025,USER6190,3.5,Amazing flavors and generous portions. Highly recommended!,2023-07-04,4,3,4,5,4,58,Neutral,3.7
REV100184,REST1173,USER5474,4.0,Overpriced for what you get. Won't be returning.,2023-02-18,2,5,1,5,5,48,Positive,3.4000000000000004
REV100185,REST1194,USER5566,5.0,Great food and excellent service! Will definitely come back.,2023-12-06,5,1,4,3,1,60,Very Positive,3.7
REV100186,REST1165,USER6464,5.0,Amazing flavors and generous portions. Highly recommended!,2023-08-13,3,2,3,5,2,58,Very Positive,3.8
REV100187,REST1159,USER6526,4.7,Best Mexican in town! The Tacos was incredible.,2023-06-25,3,3,3,2,4,47,Very Positive,3.5800000000000005
REV100188,REST1046,USER6639,4.3,Average experience. Food was okay but nothing special.,2023-08-22,2,3,1,5,5,54,Positive,3.12
REV100189,REST1069,USER6727,4.5,Cozy atmosphere and friendly staff. Perfect for date night.,2023-11-29,2,5,5,2,5,59,Positive,4.5
REV100190,REST1042,USER7851,5.0,Average experience. Food was okay but nothing special.,2023-01-31,3,1,5,5,2,54,Very Positive,4.2
REV100191,REST1040,USER7419,4.1,Average experience. Food was okay but nothing special.,2023-09-05,2,3,2,4,2,54,Positive,3.2399999999999998
REV100192,REST1145,USER7503,4.8,Food was good but the wait was too long.,2023-07-14,4,1,5,3,2,40,Very Positive,3.92
REV100193,REST1199,USER7803,4.6,Overpriced for what you get. Won't be returning.,2023-03-08,6,3,1,1,1,48,Very Positive,2.84
REV100194,REST1123,USER6684,5.0,Food was good but the wait was too long.,2023-08-14,4,4,1,2,1,40,Very Positive,3.3
REV100195,REST1011,USER7682,4.0,Average experience. Food was okay but nothing special.,2023-06-10,3,3,1,4,1,54,Positive,2.9
REV100196,REST1003,USER7743,4.3,Absolutely loved everything! From appetizers to dessert.,2023-06-23,4,1,1,1,2,56,Positive,2.3200000000000003
REV100197,REST1132,USER6772,5.0,Absolutely loved everything! From appetizers to dessert.,2023-12-05,1,4,5,2,5,56,Very Positive,4.5
REV100198,REST1186,USER6416,4.6,Disappointing. Service was slow and food was cold.,2023-12-06,0,2,4,3,4,50,Very Positive,3.74
REV100199,REST1173,USER7286,3.9,Cozy atmosphere and friendly staff. Perfect for date night.,2023-11-10,3,2,1,2,4,59,Positive,2.4600000000000004
REV100200,REST1013,USER7070,4.9,Great food and excellent service! Will definitely come back.,2023-08-29,2,5,4,2,4,60,Very Positive,4.36
REV100201,REST1126,USER7013,4.2,Amazing flavors and generous portions. Highly recommended!,2023-06-14,0,5,5,4,2,58,Positive,4.58
REV100202,REST1061,USER5206,4.9,Overpriced for what you get. Won't be returning.,2023-09-17,2,4,1,2,5,48,Very Positive,3.2600000000000007
REV100203,REST1057,USER6651,5.0,Absolutely loved everything! From appetizers to dessert.,2023-05-01,1,1,3,1,4,56,Very Positive,3.2
