user_id,join_date,location,review_count,helpfulness_score,user_tenure_days,user_activity
USER5299,2022-06-07,City 15,10,3.04,1271,Active
USER5300,2020-07-20,City 1,18,3.7,1958,Active
USER5301,2023-07-21,City 2,8,3.93,862,Active
USER5302,2023-12-12,City 3,23,3.41,718,Super Reviewer
USER5303,2020-07-24,City 4,17,3.53,1954,Active
USER5304,2022-06-27,City 5,16,4.03,1251,Active
USER5305,2020-12-06,City 6,16,3.57,1819,Active
USER5306,2023-11-22,City 7,18,2.04,738,Active
USER5307,2021-09-05,City 8,21,3.21,1546,Super Reviewer
USER5308,2020-02-29,City 9,15,3.19,2100,Active
USER5309,2020-04-04,City 10,12,3.74,2065,Active
USER5310,2021-10-26,City 11,16,1.81,1495,Active
USER5311,2020-04-24,City 12,10,2.15,2045,Active
USER5312,2021-08-23,City 13,13,3.04,1559,Active
USER5313,2022-01-04,City 14,17,0.88,1425,Active
USER5314,2022-02-06,City 15,17,1.96,1392,Active
USER5315,2022-06-01,City 1,13,1.96,1277,Active
USER5316,2020-10-25,City 2,14,2.24,1861,Active
USER5317,2021-05-15,City 3,21,2.86,1659,Super Reviewer
USER5318,2022-12-23,City 4,13,2.23,1072,Active
USER5319,2022-04-23,City 5,13,3.55,1316,Active
USER5320,2023-03-05,City 6,17,3.79,1000,Active
USER5321,2023-10-28,City 7,13,3.33,763,Active
USER5322,2021-01-03,City 8,14,3.62,1791,Active
USER5323,2020-12-14,City 9,21,3.4,1811,Super Reviewer
USER5324,2020-12-24,City 10,10,2.93,1801,Active
USER5325,2020-06-10,City 11,17,2.2,1998,Active
USER5326,2023-06-02,City 12,13,3.22,911,Active
USER5327,2022-02-22,City 13,14,4.89,1376,Active
USER5328,2023-06-23,City 14,17,2.55,890,Active
USER5329,2023-10-31,City 15,13,1.3,760,Active
USER5330,2021-05-08,City 1,17,2.89,1666,Active
USER5331,2022-10-16,City 2,15,2.17,1140,Active
USER5332,2023-04-09,City 3,14,3.48,965,Active
USER5333,2020-10-20,City 4,10,1.81,1866,Active
USER5334,2021-04-20,City 5,18,3.42,1684,Active
USER5335,2022-08-02,City 6,13,2.1,1215,Active
USER5336,2023-07-30,City 7,16,1.59,853,Active
USER5337,2021-06-04,City 8,25,4.09,1639,Super Reviewer
USER5338,2022-07-30,City 9,14,1.56,1218,Active
USER5339,2021-06-06,City 10,15,3.7,1637,Active
USER5340,2023-09-27,City 11,16,1.59,794,Active
USER5341,2020-01-20,City 12,14,1.82,2140,Active
USER5342,2022-08-10,City 13,12,4.44,1207,Active
USER5343,2021-08-12,City 14,7,2.55,1570,Active
USER5344,2023-10-19,City 15,16,2.93,772,Active
USER5345,2023-01-24,City 1,16,3.0,1040,Active
USER5346,2020-11-19,City 2,14,1.61,1836,Active
USER5347,2020-05-31,City 3,15,2.06,2008,Active
USER5348,2022-06-23,City 4,16,2.25,1255,Active
USER5349,2021-12-08,City 5,16,1.72,1452,Active
USER5350,2023-04-18,City 6,14,2.96,956,Active
USER5351,2021-09-04,City 7,15,4.01,1547,Active
USER5352,2023-08-01,City 8,21,4.72,851,Super Reviewer
USER5353,2022-05-18,City 9,15,1.3,1291,Active
USER5354,2023-11-14,City 10,10,3.04,746,Active
USER5355,2021-05-27,City 11,10,3.6,1647,Active
USER5356,2022-07-24,City 12,23,4.18,1224,Super Reviewer
USER5357,2021-09-10,City 13,15,3.13,1541,Active
USER5358,2021-02-11,City 14,16,4.25,1752,Active
USER5359,2022-02-26,City 15,12,3.37,1372,Active
USER5360,2022-09-16,City 1,18,3.22,1170,Active
USER5361,2020-08-06,City 2,15,2.73,1941,Active
USER5362,2021-04-30,City 3,16,1.73,1674,Active
USER5363,2022-02-20,City 4,19,3.95,1378,Active
USER5364,2023-03-17,City 5,11,1.57,988,Active
USER5365,2022-01-05,City 6,20,4.51,1424,Active
USER5366,2023-03-23,City 7,14,2.62,982,Active
USER5367,2021-08-28,City 8,17,3.79,1554,Active
USER5368,2023-12-03,City 9,17,2.36,727,Active
USER5369,2021-08-27,City 10,12,3.7,1555,Active
USER5370,2020-02-14,City 11,19,1.78,2115,Active
USER5371,2023-09-10,City 12,17,3.51,811,Active
USER5372,2022-03-21,City 13,12,2.77,1349,Active
USER5373,2021-07-16,City 14,18,1.9,1597,Active
USER5374,2020-01-17,City 15,18,2.51,2143,Active
USER5375,2023-03-05,City 1,17,4.46,1000,Active
USER5376,2023-11-05,City 2,20,2.39,755,Active
USER5377,2020-04-10,City 3,9,1.52,2059,Active
USER5378,2023-05-26,City 4,8,4.03,918,Active
USER5379,2022-10-14,City 5,14,4.7,1142,Active
USER5380,2021-08-09,City 6,13,3.07,1573,Active
USER5381,2021-04-16,City 7,15,3.55,1688,Active
USER5382,2023-05-28,City 8,8,3.67,916,Active
USER5383,2021-12-22,City 9,6,1.69,1438,Active
USER5384,2021-03-24,City 10,14,4.46,1711,Active
USER5385,2023-07-27,City 11,12,3.21,856,Active
USER5386,2021-01-24,City 12,14,3.94,1770,Active
USER5387,2023-06-25,City 13,13,2.6,888,Active
USER5388,2021-05-28,City 14,11,4.0,1646,Active
USER5389,2023-10-20,City 15,13,2.73,771,Active
USER5390,2023-09-12,City 1,10,3.75,809,Active
USER5391,2023-10-26,City 2,15,4.02,765,Active
USER5392,2020-10-07,City 3,16,2.98,1879,Active
USER5393,2023-07-10,City 4,8,1.46,873,Active
USER5394,2020-07-17,City 5,12,2.71,1961,Active
USER5395,2023-07-09,City 6,16,3.83,874,Active
USER5396,2023-08-16,City 7,10,3.33,836,Active
USER5397,2020-03-21,City 8,12,2.29,2079,Active
USER5398,2021-09-24,City 9,12,3.02,1527,Active
USER5399,2022-06-21,City 10,16,4.0,1257,Active
USER5400,2020-03-09,City 11,18,3.41,2091,Active
USER5401,2023-04-01,City 12,6,2.05,973,Active
USER5402,2022-01-17,City 13,17,3.22,1412,Active
USER5403,2020-09-26,City 14,19,3.74,1890,Active
USER5404,2020-07-03,City 15,12,2.36,1975,Active
USER5405,2021-08-27,City 1,13,1.15,1555,Active
USER5406,2021-10-31,City 2,13,3.89,1490,Active
USER5407,2022-04-30,City 3,20,3.09,1309,Active
USER5408,2020-12-25,City 4,14,3.37,1800,Active
USER5409,2021-02-15,City 5,9,3.21,1748,Active
USER5410,2020-09-27,City 6,15,3.84,1889,Active
USER5411,2023-01-09,City 7,17,4.06,1055,Active
USER5412,2022-01-19,City 8,18,4.71,1410,Active
USER5413,2022-12-23,City 9,12,3.03,1072,Active
USER5414,2022-10-24,City 10,18,4.74,1132,Active
USER5415,2021-07-12,City 11,6,2.26,1601,Active
USER5416,2020-12-02,City 12,24,0.52,1823,Super Reviewer
USER5417,2021-06-10,City 13,14,3.89,1633,Active
USER5418,2022-09-13,City 14,11,3.75,1173,Active
USER5419,2021-08-27,City 15,13,3.24,1555,Active
USER5420,2021-11-24,City 1,18,4.62,1466,Active
USER5421,2020-08-23,City 2,11,2.8,1924,Active
USER5422,2022-08-17,City 3,15,2.9,1200,Active
USER5423,2020-06-03,City 4,11,3.39,2005,Active
USER5424,2020-10-15,City 5,16,2.8,1871,Active
USER5425,2021-04-07,City 6,10,2.97,1697,Active
USER5426,2023-10-17,City 7,18,3.68,774,Active
USER5427,2023-10-13,City 8,17,1.41,778,Active
USER5428,2022-03-24,City 9,18,3.07,1346,Active
USER5429,2023-02-15,City 10,21,2.88,1018,Super Reviewer
USER5430,2022-01-19,City 11,13,3.85,1410,Active
USER5431,2020-07-03,City 12,9,3.78,1975,Active
USER5432,2022-03-19,City 13,12,4.78,1351,Active
USER5433,2020-01-29,City 14,13,3.58,2131,Active
USER5434,2021-06-25,City 15,10,4.05,1618,Active
USER5435,2023-01-03,City 1,15,4.14,1061,Active
USER5436,2020-09-10,City 2,15,3.8,1906,Active
USER5437,2022-07-20,City 3,25,1.61,1228,Super Reviewer
USER5438,2022-01-24,City 4,17,2.18,1405,Active
USER5439,2023-10-09,City 5,18,4.46,782,Active
USER5440,2023-10-08,City 6,10,3.95,783,Active
USER5441,2021-06-20,City 7,18,2.06,1623,Active
USER5442,2023-04-12,City 8,10,1.5,962,Active
USER5443,2022-02-19,City 9,18,1.64,1379,Active
USER5444,2023-07-31,City 10,13,4.03,852,Active
USER5445,2022-01-30,City 11,20,3.24,1399,Active
USER5446,2020-08-09,City 12,18,2.42,1938,Active
USER5447,2023-10-14,City 13,14,3.16,777,Active
USER5448,2021-04-23,City 14,8,2.5,1681,Active
USER5449,2022-08-23,City 15,12,3.98,1194,Active
USER5450,2020-02-21,City 1,18,3.48,2108,Active
USER5451,2023-06-22,City 2,25,3.76,891,Super Reviewer
USER5452,2023-02-23,City 3,13,3.27,1010,Active
USER5453,2021-11-02,City 4,11,3.8,1488,Active
USER5454,2023-06-03,City 5,16,3.96,910,Active
USER5455,2021-03-29,City 6,16,2.84,1706,Active
USER5456,2023-08-19,City 7,19,2.12,833,Active
USER5457,2020-05-09,City 8,14,1.45,2030,Active
USER5458,2023-07-25,City 9,12,4.05,858,Active
USER5459,2022-08-08,City 10,22,3.79,1209,Super Reviewer
USER5460,2023-12-06,City 11,15,3.1,724,Active
USER5461,2021-09-10,City 12,17,4.16,1541,Active
USER5462,2023-08-22,City 13,10,0.94,830,Active
USER5463,2022-04-16,City 14,16,1.37,1323,Active
USER5464,2020-08-26,City 15,15,3.19,1921,Active
USER5465,2020-10-13,City 1,15,1.47,1873,Active
USER5466,2020-04-02,City 2,8,1.79,2067,Active
USER5467,2020-03-17,City 3,19,2.32,2083,Active
USER5468,2021-09-15,City 4,15,2.67,1536,Active
USER5469,2022-10-05,City 5,6,4.43,1151,Active
USER5470,2020-08-25,City 6,14,2.0,1922,Active
USER5471,2020-07-18,City 7,20,3.49,1960,Active
USER5472,2021-04-25,City 8,25,3.88,1679,Super Reviewer
USER5473,2023-01-05,City 9,16,3.16,1059,Active
USER5474,2020-10-04,City 10,14,3.52,1882,Active
USER5475,2022-03-06,City 11,8,2.97,1364,Active
USER5476,2022-07-18,City 12,18,4.18,1230,Active
USER5477,2022-01-29,City 13,15,1.41,1400,Active
USER5478,2023-10-05,City 14,12,4.03,786,Active
USER5479,2023-11-27,City 15,17,4.16,733,Active
USER5480,2023-01-11,City 1,16,4.11,1053,Active
USER5481,2022-05-08,City 2,15,1.36,1301,Active
USER5482,2023-04-17,City 3,22,3.0,957,Super Reviewer
USER5483,2020-11-12,City 4,17,3.46,1843,Active
USER5484,2022-04-29,City 5,13,1.24,1310,Active
USER5485,2023-09-03,City 6,18,3.79,818,Active
USER5486,2020-07-21,City 7,14,1.64,1957,Active
USER5487,2022-09-29,City 8,15,2.54,1157,Active
USER5488,2023-06-14,City 9,10,3.77,899,Active
USER5489,2022-04-15,City 10,14,4.26,1324,Active
USER5490,2021-07-26,City 11,18,3.73,1587,Active
USER5491,2020-03-08,City 12,14,1.96,2092,Active
USER5492,2023-11-14,City 13,16,3.94,746,Active
USER5493,2022-01-28,City 14,19,1.71,1401,Active
